date,start,end,11WD7WALS5S--9-Y,11WD7WALS1S--10A
01.01.2019,00:00,01:00,81.0,0.0
01.01.2019,01:00,02:00,82.0,0.0
01.01.2019,02:00,03:00,81.0,0.0
01.01.2019,03:00,04:00,82.0,0.0
01.01.2019,04:00,05:00,81.0,0.0
01.01.2019,05:00,06:00,81.0,0.0
01.01.2019,06:00,07:00,84.0,0.0
01.01.2019,07:00,08:00,82.0,0.0
01.01.2019,08:00,09:00,84.0,0.0
01.01.2019,09:00,10:00,84.0,0.0
01.01.2019,10:00,11:00,84.0,0.0
01.01.2019,11:00,12:00,83.0,0.0
01.01.2019,12:00,13:00,82.0,0.0
01.01.2019,13:00,14:00,82.0,0.0
01.01.2019,14:00,15:00,83.0,0.0
01.01.2019,15:00,16:00,82.0,0.0
01.01.2019,16:00,17:00,82.0,0.0
01.01.2019,17:00,18:00,83.0,0.0
01.01.2019,18:00,19:00,83.0,0.0
01.01.2019,19:00,20:00,82.0,0.0
01.01.2019,20:00,21:00,82.0,0.0
01.01.2019,21:00,22:00,82.0,0.0
01.01.2019,22:00,23:00,83.0,0.0
01.01.2019,23:00,00:00,62.0,0.0
02.01.2019,00:00,01:00,89.0,0.0
02.01.2019,01:00,02:00,123.0,0.0
02.01.2019,02:00,03:00,151.0,0.0
02.01.2019,03:00,04:00,153.0,0.0
02.01.2019,04:00,05:00,152.0,0.0
02.01.2019,05:00,06:00,151.0,0.0
02.01.2019,06:00,07:00,152.0,0.0
02.01.2019,07:00,08:00,151.0,0.0
02.01.2019,08:00,09:00,151.0,0.0
02.01.2019,09:00,10:00,151.0,0.0
02.01.2019,10:00,11:00,152.0,1.0
02.01.2019,11:00,12:00,142.0,145.0
02.01.2019,12:00,13:00,93.0,302.0
02.01.2019,13:00,14:00,81.0,349.0
02.01.2019,14:00,15:00,82.0,504.0
02.01.2019,15:00,16:00,83.0,539.0
02.01.2019,16:00,17:00,83.0,585.0
02.01.2019,17:00,18:00,81.0,522.0
02.01.2019,18:00,19:00,84.0,527.0
02.01.2019,19:00,20:00,81.0,509.0
02.01.2019,20:00,21:00,84.0,635.0
02.01.2019,21:00,22:00,82.0,621.0
02.01.2019,22:00,23:00,83.0,683.0
02.01.2019,23:00,00:00,62.0,476.0
03.01.2019,00:00,01:00,82.0,514.0
03.01.2019,01:00,02:00,83.0,613.0
03.01.2019,02:00,03:00,83.0,678.0
03.01.2019,03:00,04:00,82.0,695.0
03.01.2019,04:00,05:00,83.0,697.0
03.01.2019,05:00,06:00,86.0,697.0
03.01.2019,06:00,07:00,134.0,701.0
03.01.2019,07:00,08:00,174.0,705.0
03.01.2019,08:00,09:00,153.0,702.0
03.01.2019,09:00,10:00,189.0,698.0
03.01.2019,10:00,11:00,241.0,704.0
03.01.2019,11:00,12:00,240.0,702.0
03.01.2019,12:00,13:00,239.0,703.0
03.01.2019,13:00,14:00,240.0,705.0
03.01.2019,14:00,15:00,240.0,703.0
03.01.2019,15:00,16:00,240.0,702.0
03.01.2019,16:00,17:00,240.0,704.0
03.01.2019,17:00,18:00,215.0,699.0
03.01.2019,18:00,19:00,239.0,699.0
03.01.2019,19:00,20:00,239.0,704.0
03.01.2019,20:00,21:00,239.0,702.0
03.01.2019,21:00,22:00,215.0,699.0
03.01.2019,22:00,23:00,187.0,701.0
03.01.2019,23:00,00:00,127.0,700.0
04.01.2019,00:00,01:00,87.0,697.0
04.01.2019,01:00,02:00,80.0,701.0
04.01.2019,02:00,03:00,80.0,700.0
04.01.2019,03:00,04:00,80.0,701.0
04.01.2019,04:00,05:00,80.0,701.0
04.01.2019,05:00,06:00,98.0,694.0
