date,start,end,11WD7WEIS5B--E-Y,11WD7WEIS5GVGTGU,11WD7WEIS5GVGTHS,11WD7WEIS1B--F-M,11WD7WEIS1B--G-J,11WD7WEIS1B--H-G
01.01.2019,00:00,01:00,219,0,0,0,0,291
01.01.2019,01:00,02:00,180,0,0,0,0,289
01.01.2019,02:00,03:00,176,0,0,0,0,289
01.01.2019,03:00,04:00,178,0,0,0,0,288
01.01.2019,04:00,05:00,177,0,0,0,0,288
01.01.2019,05:00,06:00,171,0,0,0,0,288
01.01.2019,06:00,07:00,170,0,0,0,0,287
01.01.2019,07:00,08:00,168,0,0,0,0,289
01.01.2019,08:00,09:00,169,0,0,0,0,289
01.01.2019,09:00,10:00,171,0,0,0,0,289
01.01.2019,10:00,11:00,172,0,0,0,0,289
01.01.2019,11:00,12:00,172,0,0,0,0,289
01.01.2019,12:00,13:00,171,0,0,0,0,288
01.01.2019,13:00,14:00,173,0,0,0,0,289
01.01.2019,14:00,15:00,172,0,0,0,0,288
01.01.2019,15:00,16:00,172,0,0,0,0,290
01.01.2019,16:00,17:00,172,0,0,0,0,291
01.01.2019,17:00,18:00,171,0,0,0,0,289
01.01.2019,18:00,19:00,169,0,0,0,0,288
01.01.2019,19:00,20:00,169,0,0,0,0,288
01.01.2019,20:00,21:00,169,0,0,0,0,288
01.01.2019,21:00,22:00,169,0,0,0,0,288
01.01.2019,22:00,23:00,170,0,0,0,0,278
01.01.2019,23:00,00:00,169,0,0,0,0,276
02.01.2019,00:00,01:00,169,0,0,0,0,287
02.01.2019,01:00,02:00,170,0,0,0,0,288
02.01.2019,02:00,03:00,170,0,0,0,0,288
02.01.2019,03:00,04:00,170,0,0,0,0,287
02.01.2019,04:00,05:00,169,0,0,0,0,287
02.01.2019,05:00,06:00,169,0,0,0,0,301
02.01.2019,06:00,07:00,170,0,0,0,0,308
02.01.2019,07:00,08:00,227,0,0,0,80,309
02.01.2019,08:00,09:00,271,0,0,22,283,316
02.01.2019,09:00,10:00,290,1,2,90,347,477
02.01.2019,10:00,11:00,302,0,0,74,486,615
02.01.2019,11:00,12:00,296,0,0,0,580,601
02.01.2019,12:00,13:00,300,0,0,106,498,601
02.01.2019,13:00,14:00,240,0,0,140,361,472
02.01.2019,14:00,15:00,191,0,0,142,533,616
02.01.2019,15:00,16:00,203,0,0,143,649,642
02.01.2019,16:00,17:00,205,0,0,159,648,644
02.01.2019,17:00,18:00,273,0,0,276,650,654
02.01.2019,18:00,19:00,320,0,0,320,649,656
02.01.2019,19:00,20:00,321,0,0,322,649,655
02.01.2019,20:00,21:00,321,0,0,322,654,657
02.01.2019,21:00,22:00,320,0,0,322,659,657
02.01.2019,22:00,23:00,316,0,0,322,659,664
02.01.2019,23:00,00:00,317,0,0,323,656,664
03.01.2019,00:00,01:00,319,0,0,320,653,662
03.01.2019,01:00,02:00,318,0,0,321,656,665
03.01.2019,02:00,03:00,319,0,0,319,653,663
03.01.2019,03:00,04:00,317,0,0,321,653,662
03.01.2019,04:00,05:00,318,0,0,322,651,663
03.01.2019,05:00,06:00,318,0,0,322,647,661
03.01.2019,06:00,07:00,317,0,0,322,648,662
03.01.2019,07:00,08:00,319,0,0,321,646,660
03.01.2019,08:00,09:00,319,0,0,321,647,660
03.01.2019,09:00,10:00,318,0,0,320,650,660
03.01.2019,10:00,11:00,319,0,0,322,648,604
03.01.2019,11:00,12:00,318,0,0,324,649,591
03.01.2019,12:00,13:00,320,0,0,322,649,653
03.01.2019,13:00,14:00,319,0,0,321,652,652
03.01.2019,14:00,15:00,321,0,0,320,652,653
03.01.2019,15:00,16:00,319,0,0,320,651,654
03.01.2019,16:00,17:00,319,0,0,323,649,653
03.01.2019,17:00,18:00,315,0,0,321,650,654
03.01.2019,18:00,19:00,319,0,0,322,650,657
03.01.2019,19:00,20:00,322,0,0,323,649,659
03.01.2019,20:00,21:00,321,0,0,320,652,660
03.01.2019,21:00,22:00,315,0,0,319,651,658
03.01.2019,22:00,23:00,306,0,0,319,649,657
03.01.2019,23:00,00:00,315,0,0,322,650,661
04.01.2019,00:00,01:00,320,0,0,324,650,662
04.01.2019,01:00,02:00,318,0,0,321,649,662
