date,start,end,11WD7WEST5S--C-P,11WD7WSFN1S--E-Z
01.01.2019,00:00,01:00,,0
01.01.2019,01:00,02:00,,0
01.01.2019,02:00,03:00,,0
01.01.2019,03:00,04:00,,0
01.01.2019,04:00,05:00,,0
01.01.2019,05:00,06:00,,0
01.01.2019,06:00,07:00,,0
01.01.2019,07:00,08:00,,0
01.01.2019,08:00,09:00,,0
01.01.2019,09:00,10:00,,0
01.01.2019,10:00,11:00,,0
01.01.2019,11:00,12:00,,0
01.01.2019,12:00,13:00,,0
01.01.2019,13:00,14:00,,0
01.01.2019,14:00,15:00,,0
01.01.2019,15:00,16:00,,0
01.01.2019,16:00,17:00,,0
01.01.2019,17:00,18:00,,0
01.01.2019,18:00,19:00,,0
01.01.2019,19:00,20:00,,0
01.01.2019,20:00,21:00,,0
01.01.2019,21:00,22:00,,0
01.01.2019,22:00,23:00,,0
01.01.2019,23:00,00:00,,0
02.01.2019,00:00,01:00,,0
02.01.2019,01:00,02:00,,0
02.01.2019,02:00,03:00,,0
02.01.2019,03:00,04:00,,0
02.01.2019,04:00,05:00,,0
02.01.2019,05:00,06:00,,0
02.01.2019,06:00,07:00,,0
02.01.2019,07:00,08:00,,0
02.01.2019,08:00,09:00,,0
02.01.2019,09:00,10:00,,129
02.01.2019,10:00,11:00,,207
02.01.2019,11:00,12:00,,214
02.01.2019,12:00,13:00,,218
02.01.2019,13:00,14:00,,239
02.01.2019,14:00,15:00,,348
02.01.2019,15:00,16:00,,657
02.01.2019,16:00,17:00,,770
02.01.2019,17:00,18:00,,772
02.01.2019,18:00,19:00,,778
02.01.2019,19:00,20:00,,780
02.01.2019,20:00,21:00,,779
02.01.2019,21:00,22:00,,781
02.01.2019,22:00,23:00,,777
02.01.2019,23:00,00:00,,779
03.01.2019,00:00,01:00,,782
03.01.2019,01:00,02:00,,778
03.01.2019,02:00,03:00,,781
03.01.2019,03:00,04:00,,781
03.01.2019,04:00,05:00,,696
03.01.2019,05:00,06:00,,773
03.01.2019,06:00,07:00,,770
03.01.2019,07:00,08:00,,777
03.01.2019,08:00,09:00,,777
03.01.2019,09:00,10:00,,777
03.01.2019,10:00,11:00,,778
03.01.2019,11:00,12:00,,779
03.01.2019,12:00,13:00,,781
03.01.2019,13:00,14:00,,780
03.01.2019,14:00,15:00,,779
03.01.2019,15:00,16:00,,778
03.01.2019,16:00,17:00,,779
03.01.2019,17:00,18:00,,779
03.01.2019,18:00,19:00,,778
03.01.2019,19:00,20:00,,780
03.01.2019,20:00,21:00,,779
03.01.2019,21:00,22:00,,778
03.01.2019,22:00,23:00,,779
03.01.2019,23:00,00:00,,778
04.01.2019,00:00,01:00,,781
04.01.2019,01:00,02:00,,778
04.01.2019,02:00,03:00,,782
04.01.2019,03:00,04:00,,777
04.01.2019,04:00,05:00,,780
04.01.2019,05:00,06:00,,781
04.01.2019,06:00,07:00,,781
04.01.2019,07:00,08:00,,779
04.01.2019,08:00,09:00,,778
04.01.2019,09:00,10:00,,779
04.01.2019,10:00,11:00,,779
04.01.2019,11:00,12:00,,777
04.01.2019,12:00,13:00,,781
04.01.2019,13:00,14:00,,781
04.01.2019,14:00,15:00,,778
04.01.2019,15:00,16:00,,780
04.01.2019,16:00,17:00,,780
04.01.2019,17:00,18:00,,778
04.01.2019,18:00,19:00,,777
04.01.2019,19:00,20:00,,782
04.01.2019,20:00,21:00,,777
04.01.2019,21:00,22:00,,609
04.01.2019,22:00,23:00,,320
04.01.2019,23:00,00:00,,220
05.01.2019,00:00,01:00,,212
05.01.2019,01:00,02:00,,214
05.01.2019,02:00,03:00,,217
05.01.2019,03:00,04:00,,216
05.01.2019,04:00,05:00,,217
05.01.2019,05:00,06:00,,215
05.01.2019,06:00,07:00,,214
05.01.2019,07:00,08:00,,284
05.01.2019,08:00,09:00,,401
05.01.2019,09:00,10:00,,701
05.01.2019,10:00,11:00,,776
05.01.2019,11:00,12:00,,776
05.01.2019,12:00,13:00,,780
05.01.2019,13:00,14:00,,778
05.01.2019,14:00,15:00,,779
05.01.2019,15:00,16:00,,777
05.01.2019,16:00,17:00,,778
05.01.2019,17:00,18:00,,778
05.01.2019,18:00,19:00,,780
05.01.2019,19:00,20:00,,779
05.01.2019,20:00,21:00,,779
05.01.2019,21:00,22:00,,778
05.01.2019,22:00,23:00,,777
05.01.2019,23:00,00:00,,596
06.01.2019,00:00,01:00,,555
06.01.2019,01:00,02:00,,754
06.01.2019,02:00,03:00,,780
06.01.2019,03:00,04:00,,780
06.01.2019,04:00,05:00,,781
06.01.2019,05:00,06:00,,779
06.01.2019,06:00,07:00,,779
06.01.2019,07:00,08:00,,778
06.01.2019,08:00,09:00,,780
06.01.2019,09:00,10:00,,781
06.01.2019,10:00,11:00,,775
06.01.2019,11:00,12:00,,778
06.01.2019,12:00,13:00,,780
06.01.2019,13:00,14:00,,780
06.01.2019,14:00,15:00,,781
06.01.2019,15:00,16:00,,782
06.01.2019,16:00,17:00,,781
06.01.2019,17:00,18:00,,782
06.01.2019,18:00,19:00,,780
06.01.2019,19:00,20:00,,779
06.01.2019,20:00,21:00,,779
06.01.2019,21:00,22:00,,781
06.01.2019,22:00,23:00,,779
06.01.2019,23:00,00:00,,779
07.01.2019,00:00,01:00,,779
07.01.2019,01:00,02:00,,778
07.01.2019,02:00,03:00,,780
07.01.2019,03:00,04:00,,778
07.01.2019,04:00,05:00,,779
07.01.2019,05:00,06:00,,778
07.01.2019,06:00,07:00,,778
07.01.2019,07:00,08:00,,779
07.01.2019,08:00,09:00,,779
07.01.2019,09:00,10:00,,778
07.01.2019,10:00,11:00,,780
07.01.2019,11:00,12:00,,781
07.01.2019,12:00,13:00,,780
07.01.2019,13:00,14:00,,777
07.01.2019,14:00,15:00,,774
07.01.2019,15:00,16:00,,779
07.01.2019,16:00,17:00,,778
07.01.2019,17:00,18:00,,777
07.01.2019,18:00,19:00,,776
07.01.2019,19:00,20:00,,591
07.01.2019,20:00,21:00,,164
07.01.2019,21:00,22:00,,0
07.01.2019,22:00,23:00,,0
07.01.2019,23:00,00:00,,0
08.01.2019,00:00,01:00,,0
08.01.2019,01:00,02:00,,0
08.01.2019,02:00,03:00,,0
08.01.2019,03:00,04:00,,0
08.01.2019,04:00,05:00,,0
08.01.2019,05:00,06:00,,0
08.01.2019,06:00,07:00,,0
08.01.2019,07:00,08:00,,0
08.01.2019,08:00,09:00,,0
08.01.2019,09:00,10:00,,0
08.01.2019,10:00,11:00,,0
08.01.2019,11:00,12:00,,0
08.01.2019,12:00,13:00,,0
08.01.2019,13:00,14:00,,0
08.01.2019,14:00,15:00,,0
08.01.2019,15:00,16:00,,0
08.01.2019,16:00,17:00,,0
08.01.2019,17:00,18:00,,0
08.01.2019,18:00,19:00,,0
08.01.2019,19:00,20:00,,0
08.01.2019,20:00,21:00,,0
08.01.2019,21:00,22:00,,0
08.01.2019,22:00,23:00,,0
08.01.2019,23:00,00:00,,0
09.01.2019,00:00,01:00,,0
09.01.2019,01:00,02:00,,0
09.01.2019,02:00,03:00,,0
09.01.2019,03:00,04:00,,0
09.01.2019,04:00,05:00,,0
09.01.2019,05:00,06:00,,100
09.01.2019,06:00,07:00,,346
09.01.2019,07:00,08:00,,536
09.01.2019,08:00,09:00,,756
09.01.2019,09:00,10:00,,775
09.01.2019,10:00,11:00,,776
09.01.2019,11:00,12:00,,779
09.01.2019,12:00,13:00,,778
09.01.2019,13:00,14:00,,779
