Timestamp,11WD8BOXB1L---N8,11WD8BOXB1L---P4
2018-01-01 00:00:00,0,439
2018-01-01 01:00:00,0,437
2018-01-01 02:00:00,0,438
2018-01-01 03:00:00,0,437
2018-01-01 04:00:00,0,437
2018-01-01 05:00:00,0,438
2018-01-01 06:00:00,0,436
2018-01-01 07:00:00,0,436
2018-01-01 08:00:00,0,436
2018-01-01 09:00:00,0,441
2018-01-01 10:00:00,0,441
2018-01-01 11:00:00,0,441
2018-01-01 12:00:00,0,439
2018-01-01 13:00:00,0,439
2018-01-01 14:00:00,0,438
2018-01-01 15:00:00,18,440
2018-01-01 16:00:00,122,459
2018-01-01 17:00:00,180,480
2018-01-01 18:00:00,174,482
2018-01-01 19:00:00,180,481
2018-01-01 20:00:00,213,481
2018-01-01 21:00:00,214,475
2018-01-01 22:00:00,214,479
2018-01-01 23:00:00,216,477
2018-01-02 00:00:00,214,460
2018-01-02 01:00:00,215,464
2018-01-02 02:00:00,214,472
2018-01-02 03:00:00,182,476
2018-01-02 04:00:00,172,476
2018-01-02 05:00:00,203,471
2018-01-02 06:00:00,194,432
2018-01-02 07:00:00,177,433
2018-01-02 08:00:00,181,436
2018-01-02 09:00:00,386,446
2018-01-02 10:00:00,462,444
2018-01-02 11:00:00,496,447
2018-01-02 12:00:00,496,421
2018-01-02 13:00:00,497,426
2018-01-02 14:00:00,498,423
2018-01-02 15:00:00,498,420
2018-01-02 16:00:00,498,428
2018-01-02 17:00:00,497,429
2018-01-02 18:00:00,497,429
2018-01-02 19:00:00,497,446
2018-01-02 20:00:00,498,452
2018-01-02 21:00:00,499,455
2018-01-02 22:00:00,498,439
2018-01-02 23:00:00,437,370
2018-01-03 00:00:00,445,354
2018-01-03 01:00:00,445,129
2018-01-03 02:00:00,435,113
2018-01-03 03:00:00,429,116
2018-01-03 04:00:00,427,111
2018-01-03 05:00:00,425,127
2018-01-03 06:00:00,435,125
2018-01-03 07:00:00,432,138
2018-01-03 08:00:00,494,170
2018-01-03 09:00:00,440,166
2018-01-03 10:00:00,492,170
2018-01-03 11:00:00,497,166
2018-01-03 12:00:00,497,167
2018-01-03 13:00:00,496,164
2018-01-03 14:00:00,486,163
2018-01-03 15:00:00,485,155
2018-01-03 16:00:00,440,119
2018-01-03 17:00:00,400,136
2018-01-03 18:00:00,398,146
2018-01-03 19:00:00,396,119
2018-01-03 20:00:00,399,116
2018-01-03 21:00:00,397,117
2018-01-03 22:00:00,401,114
2018-01-03 23:00:00,433,136
2018-01-04 00:00:00,431,116
2018-01-04 01:00:00,432,102
2018-01-04 02:00:00,433,109
2018-01-04 03:00:00,432,114
2018-01-04 04:00:00,434,113
2018-01-04 05:00:00,434,144
2018-01-04 06:00:00,429,149
2018-01-04 07:00:00,492,164
2018-01-04 08:00:00,495,396
2018-01-04 09:00:00,494,448
2018-01-04 10:00:00,493,450
2018-01-04 11:00:00,494,452
2018-01-04 12:00:00,124,114
2018-01-04 13:00:00,0,0
2018-01-04 14:00:00,0,0
2018-01-04 15:00:00,0,0
2018-01-04 16:00:00,0,0
2018-01-04 17:00:00,0,0
2018-01-04 18:00:00,0,0
2018-01-04 19:00:00,0,0
2018-01-04 20:00:00,0,0
2018-01-04 21:00:00,0,0
2018-01-04 22:00:00,0,0
2018-01-04 23:00:00,0,0
2018-01-05 00:00:00,0,0
2018-01-05 01:00:00,0,0
2018-01-05 02:00:00,0,0
2018-01-05 03:00:00,0,0
2018-01-05 04:00:00,0,0
2018-01-05 05:00:00,0,0
2018-01-05 06:00:00,0,0
2018-01-05 07:00:00,0,0
2018-01-05 08:00:00,215,190
2018-01-05 09:00:00,417,474
2018-01-05 10:00:00,489,475
2018-01-05 11:00:00,490,474
2018-01-05 12:00:00,497,466
2018-01-05 13:00:00,499,468
2018-01-05 14:00:00,498,472
2018-01-05 15:00:00,496,474
2018-01-05 16:00:00,498,479
2018-01-05 17:00:00,497,470
2018-01-05 18:00:00,499,472
2018-01-05 19:00:00,500,475
2018-01-05 20:00:00,498,475
2018-01-05 21:00:00,497,478
2018-01-05 22:00:00,494,481
2018-01-05 23:00:00,495,484
2018-01-06 00:00:00,496,472
2018-01-06 01:00:00,497,470
2018-01-06 02:00:00,497,475
2018-01-06 03:00:00,495,476
2018-01-06 04:00:00,496,476
2018-01-06 05:00:00,497,477
2018-01-06 06:00:00,496,475
2018-01-06 07:00:00,495,479
2018-01-06 08:00:00,483,472
2018-01-06 09:00:00,490,475
2018-01-06 10:00:00,495,476
2018-01-06 11:00:00,496,475
2018-01-06 12:00:00,497,471
2018-01-06 13:00:00,497,477
2018-01-06 14:00:00,496,479
2018-01-06 15:00:00,496,481
2018-01-06 16:00:00,492,482
2018-01-06 17:00:00,497,467
2018-01-06 18:00:00,497,466
2018-01-06 19:00:00,498,477
2018-01-06 20:00:00,495,457
2018-01-06 21:00:00,489,456
2018-01-06 22:00:00,497,481
2018-01-06 23:00:00,494,473
2018-01-07 00:00:00,492,485
2018-01-07 01:00:00,494,494
2018-01-07 02:00:00,459,479
2018-01-07 03:00:00,445,444
2018-01-07 04:00:00,431,445
2018-01-07 05:00:00,491,475
2018-01-07 06:00:00,476,211
2018-01-07 07:00:00,489,174
2018-01-07 08:00:00,497,177
2018-01-07 09:00:00,491,182
2018-01-07 10:00:00,498,178
2018-01-07 11:00:00,500,167
2018-01-07 12:00:00,496,177
2018-01-07 13:00:00,498,419
2018-01-07 14:00:00,498,418
2018-01-07 15:00:00,496,468
2018-01-07 16:00:00,497,472
2018-01-07 17:00:00,497,478
2018-01-07 18:00:00,496,474
2018-01-07 19:00:00,498,468
2018-01-07 20:00:00,497,470
2018-01-07 21:00:00,497,472
2018-01-07 22:00:00,495,474
2018-01-07 23:00:00,497,474
2018-01-08 00:00:00,496,484
2018-01-08 01:00:00,497,477
2018-01-08 02:00:00,496,477
2018-01-08 03:00:00,498,478
2018-01-08 04:00:00,497,481
2018-01-08 05:00:00,498,496
2018-01-08 06:00:00,497,496
2018-01-08 07:00:00,498,497
2018-01-08 08:00:00,499,485
2018-01-08 09:00:00,498,469
2018-01-08 10:00:00,499,468
2018-01-08 11:00:00,499,467
2018-01-08 12:00:00,498,468
2018-01-08 13:00:00,499,494
2018-01-08 14:00:00,498,494
2018-01-08 15:00:00,497,494
2018-01-08 16:00:00,498,494
2018-01-08 17:00:00,497,490
2018-01-08 18:00:00,498,487
2018-01-08 19:00:00,497,475
2018-01-08 20:00:00,497,480
2018-01-08 21:00:00,498,480
2018-01-08 22:00:00,498,473
2018-01-08 23:00:00,404,418
2018-01-09 00:00:00,490,481
2018-01-09 01:00:00,408,477
2018-01-09 02:00:00,398,412
2018-01-09 03:00:00,396,382
2018-01-09 04:00:00,396,388
2018-01-09 05:00:00,424,465
2018-01-09 06:00:00,424,478
2018-01-09 07:00:00,398,441
2018-01-09 08:00:00,399,438
2018-01-09 09:00:00,397,369
2018-01-09 10:00:00,399,462
2018-01-09 11:00:00,482,472
2018-01-09 12:00:00,495,483
2018-01-09 13:00:00,498,479
2018-01-09 14:00:00,496,476
2018-01-09 15:00:00,497,478
2018-01-09 16:00:00,497,473
2018-01-09 17:00:00,496,475
2018-01-09 18:00:00,498,484
2018-01-09 19:00:00,497,472
2018-01-09 20:00:00,498,482
2018-01-09 21:00:00,498,485
2018-01-09 22:00:00,499,471
2018-01-09 23:00:00,499,485
2018-01-10 00:00:00,499,479
2018-01-10 01:00:00,497,480
2018-01-10 02:00:00,497,479
2018-01-10 03:00:00,496,486
2018-01-10 04:00:00,497,479
2018-01-10 05:00:00,497,475
2018-01-10 06:00:00,498,476
2018-01-10 07:00:00,499,479
2018-01-10 08:00:00,498,474
2018-01-10 09:00:00,497,477
2018-01-10 10:00:00,496,496
2018-01-10 11:00:00,496,495
2018-01-10 12:00:00,497,479
2018-01-10 13:00:00,496,473
2018-01-10 14:00:00,498,473
2018-01-10 15:00:00,497,476
2018-01-10 16:00:00,498,475
2018-01-10 17:00:00,499,475
2018-01-10 18:00:00,499,479
2018-01-10 19:00:00,497,480
2018-01-10 20:00:00,498,480
2018-01-10 21:00:00,499,478
2018-01-10 22:00:00,498,477
2018-01-10 23:00:00,498,472
2018-01-11 00:00:00,498,471
2018-01-11 01:00:00,498,472
2018-01-11 02:00:00,497,471
2018-01-11 03:00:00,497,471
2018-01-11 04:00:00,498,469
2018-01-11 05:00:00,497,483
2018-01-11 06:00:00,496,494
2018-01-11 07:00:00,496,476
2018-01-11 08:00:00,498,495
2018-01-11 09:00:00,499,480
2018-01-11 10:00:00,496,482
2018-01-11 11:00:00,497,482
2018-01-11 12:00:00,498,477
2018-01-11 13:00:00,497,482
2018-01-11 14:00:00,498,482
2018-01-11 15:00:00,500,489
2018-01-11 16:00:00,498,487
2018-01-11 17:00:00,499,481
2018-01-11 18:00:00,496,471
2018-01-11 19:00:00,497,468
2018-01-11 20:00:00,497,469
2018-01-11 21:00:00,497,472
2018-01-11 22:00:00,497,482
2018-01-11 23:00:00,498,471
2018-01-12 00:00:00,499,472
2018-01-12 01:00:00,498,474
