Timestamp,11WD8BOXB1L---R0,11WD8BOXB1L---Q2
2016-01-01 00:00:00,600,830
2016-01-01 01:00:00,602,835
2016-01-01 02:00:00,604,837
2016-01-01 03:00:00,603,836
2016-01-01 04:00:00,602,836
2016-01-01 05:00:00,603,836
2016-01-01 06:00:00,603,838
2016-01-01 07:00:00,603,837
2016-01-01 08:00:00,602,837
2016-01-01 09:00:00,601,839
2016-01-01 10:00:00,602,836
2016-01-01 11:00:00,602,837
2016-01-01 12:00:00,604,838
2016-01-01 13:00:00,604,838
2016-01-01 14:00:00,604,836
2016-01-01 15:00:00,602,837
2016-01-01 16:00:00,603,835
2016-01-01 17:00:00,602,837
2016-01-01 18:00:00,603,834
2016-01-01 19:00:00,600,835
2016-01-01 20:00:00,601,836
2016-01-01 21:00:00,602,835
2016-01-01 22:00:00,601,835
2016-01-01 23:00:00,602,836
2016-01-02 00:00:00,601,838
2016-01-02 01:00:00,602,838
2016-01-02 02:00:00,602,796
2016-01-02 03:00:00,602,741
2016-01-02 04:00:00,598,719
2016-01-02 05:00:00,583,697
2016-01-02 06:00:00,580,711
2016-01-02 07:00:00,588,791
2016-01-02 08:00:00,588,837
2016-01-02 09:00:00,587,838
2016-01-02 10:00:00,589,835
2016-01-02 11:00:00,585,837
2016-01-02 12:00:00,482,835
2016-01-02 13:00:00,373,826
2016-01-02 14:00:00,370,819
2016-01-02 15:00:00,372,578
2016-01-02 16:00:00,373,534
2016-01-02 17:00:00,378,533
2016-01-02 18:00:00,556,551
2016-01-02 19:00:00,558,596
2016-01-02 20:00:00,542,548
2016-01-02 21:00:00,431,544
2016-01-02 22:00:00,570,726
2016-01-02 23:00:00,565,750
2016-01-03 00:00:00,430,799
2016-01-03 01:00:00,400,779
2016-01-03 02:00:00,400,767
2016-01-03 03:00:00,401,741
2016-01-03 04:00:00,416,743
2016-01-03 05:00:00,427,744
2016-01-03 06:00:00,419,740
2016-01-03 07:00:00,418,745
2016-01-03 08:00:00,513,743
2016-01-03 09:00:00,569,770
2016-01-03 10:00:00,538,772
2016-01-03 11:00:00,582,773
2016-01-03 12:00:00,581,774
2016-01-03 13:00:00,584,787
2016-01-03 14:00:00,580,803
2016-01-03 15:00:00,578,825
2016-01-03 16:00:00,582,817
2016-01-03 17:00:00,580,699
2016-01-03 18:00:00,578,758
2016-01-03 19:00:00,574,758
2016-01-03 20:00:00,577,634
2016-01-03 21:00:00,579,699
2016-01-03 22:00:00,580,814
2016-01-03 23:00:00,568,813
2016-01-04 00:00:00,568,812
2016-01-04 01:00:00,572,809
2016-01-04 02:00:00,557,775
2016-01-04 03:00:00,525,774
2016-01-04 04:00:00,561,772
2016-01-04 05:00:00,559,772
2016-01-04 06:00:00,551,791
2016-01-04 07:00:00,556,815
2016-01-04 08:00:00,548,820
2016-01-04 09:00:00,546,805
2016-01-04 10:00:00,557,706
2016-01-04 11:00:00,553,794
2016-01-04 12:00:00,548,819
2016-01-04 13:00:00,539,819
2016-01-04 14:00:00,531,827
2016-01-04 15:00:00,521,827
2016-01-04 16:00:00,521,758
2016-01-04 17:00:00,521,763
2016-01-04 18:00:00,518,824
2016-01-04 19:00:00,516,792
2016-01-04 20:00:00,528,824
2016-01-04 21:00:00,531,827
2016-01-04 22:00:00,516,828
2016-01-04 23:00:00,519,824
2016-01-05 00:00:00,548,810
2016-01-05 01:00:00,554,818
2016-01-05 02:00:00,542,819
2016-01-05 03:00:00,537,817
2016-01-05 04:00:00,538,813
2016-01-05 05:00:00,545,820
2016-01-05 06:00:00,546,820
2016-01-05 07:00:00,563,819
2016-01-05 08:00:00,566,822
2016-01-05 09:00:00,565,818
2016-01-05 10:00:00,564,739
2016-01-05 11:00:00,568,749
2016-01-05 12:00:00,564,822
2016-01-05 13:00:00,570,822
2016-01-05 14:00:00,569,825
2016-01-05 15:00:00,565,824
2016-01-05 16:00:00,565,824
2016-01-05 17:00:00,565,829
2016-01-05 18:00:00,547,833
2016-01-05 19:00:00,543,830
2016-01-05 20:00:00,553,836
2016-01-05 21:00:00,552,835
2016-01-05 22:00:00,544,834
2016-01-05 23:00:00,547,834
2016-01-06 00:00:00,546,838
2016-01-06 01:00:00,545,825
2016-01-06 02:00:00,552,830
2016-01-06 03:00:00,549,831
2016-01-06 04:00:00,546,827
2016-01-06 05:00:00,560,834
2016-01-06 06:00:00,564,835
2016-01-06 07:00:00,576,834
2016-01-06 08:00:00,580,835
2016-01-06 09:00:00,585,836
2016-01-06 10:00:00,595,836
2016-01-06 11:00:00,588,832
2016-01-06 12:00:00,574,841
2016-01-06 13:00:00,571,839
2016-01-06 14:00:00,571,839
2016-01-06 15:00:00,572,830
2016-01-06 16:00:00,570,833
2016-01-06 17:00:00,577,834
2016-01-06 18:00:00,560,828
2016-01-06 19:00:00,569,822
2016-01-06 20:00:00,573,723
2016-01-06 21:00:00,572,763
2016-01-06 22:00:00,551,689
2016-01-06 23:00:00,551,777
2016-01-07 00:00:00,552,829
2016-01-07 01:00:00,553,834
2016-01-07 02:00:00,549,828
2016-01-07 03:00:00,553,831
2016-01-07 04:00:00,557,834
2016-01-07 05:00:00,566,833
2016-01-07 06:00:00,572,832
2016-01-07 07:00:00,573,836
2016-01-07 08:00:00,568,839
2016-01-07 09:00:00,569,838
2016-01-07 10:00:00,568,839
2016-01-07 11:00:00,564,838
2016-01-07 12:00:00,569,839
2016-01-07 13:00:00,569,838
2016-01-07 14:00:00,551,837
2016-01-07 15:00:00,554,841
2016-01-07 16:00:00,543,829
2016-01-07 17:00:00,542,694
2016-01-07 18:00:00,539,830
2016-01-07 19:00:00,545,838
2016-01-07 20:00:00,545,840
2016-01-07 21:00:00,546,833
2016-01-07 22:00:00,550,819
2016-01-07 23:00:00,552,607
2016-01-08 00:00:00,504,619
2016-01-08 01:00:00,554,748
2016-01-08 02:00:00,548,747
2016-01-08 03:00:00,503,746
2016-01-08 04:00:00,506,748
2016-01-08 05:00:00,458,743
2016-01-08 06:00:00,466,741
2016-01-08 07:00:00,561,743
2016-01-08 08:00:00,563,701
2016-01-08 09:00:00,571,700
2016-01-08 10:00:00,566,699
2016-01-08 11:00:00,551,720
2016-01-08 12:00:00,547,592
2016-01-08 13:00:00,584,719
2016-01-08 14:00:00,580,739
2016-01-08 15:00:00,572,655
2016-01-08 16:00:00,565,667
2016-01-08 17:00:00,555,827
2016-01-08 18:00:00,540,837
2016-01-08 19:00:00,560,832
2016-01-08 20:00:00,546,845
2016-01-08 21:00:00,547,846
2016-01-08 22:00:00,541,842
2016-01-08 23:00:00,547,843
2016-01-09 00:00:00,538,843
2016-01-09 01:00:00,544,841
2016-01-09 02:00:00,542,842
2016-01-09 03:00:00,541,834
2016-01-09 04:00:00,555,835
2016-01-09 05:00:00,593,841
2016-01-09 06:00:00,590,843
2016-01-09 07:00:00,581,839
2016-01-09 08:00:00,581,847
2016-01-09 09:00:00,585,846
2016-01-09 10:00:00,585,848
2016-01-09 11:00:00,585,846
2016-01-09 12:00:00,585,849
2016-01-09 13:00:00,590,849
2016-01-09 14:00:00,584,850
2016-01-09 15:00:00,585,845
2016-01-09 16:00:00,579,841
2016-01-09 17:00:00,584,848
2016-01-09 18:00:00,584,849
2016-01-09 19:00:00,583,845
2016-01-09 20:00:00,586,845
2016-01-09 21:00:00,589,845
2016-01-09 22:00:00,587,842
2016-01-09 23:00:00,594,841
2016-01-10 00:00:00,593,832
2016-01-10 01:00:00,597,835
2016-01-10 02:00:00,587,806
2016-01-10 03:00:00,586,804
2016-01-10 04:00:00,592,808
2016-01-10 05:00:00,586,798
2016-01-10 06:00:00,588,740
2016-01-10 07:00:00,585,808
2016-01-10 08:00:00,588,808
2016-01-10 09:00:00,592,807
2016-01-10 10:00:00,595,764
2016-01-10 11:00:00,594,831
2016-01-10 12:00:00,594,833
2016-01-10 13:00:00,593,832
2016-01-10 14:00:00,595,844
2016-01-10 15:00:00,596,847
2016-01-10 16:00:00,595,841
2016-01-10 17:00:00,596,836
2016-01-10 18:00:00,601,837
2016-01-10 19:00:00,598,837
2016-01-10 20:00:00,596,831
2016-01-10 21:00:00,595,836
2016-01-10 22:00:00,597,836
2016-01-10 23:00:00,593,836
2016-01-11 00:00:00,595,835
2016-01-11 01:00:00,596,839
2016-01-11 02:00:00,596,836
2016-01-11 03:00:00,597,829
2016-01-11 04:00:00,596,837
2016-01-11 05:00:00,593,835
2016-01-11 06:00:00,568,846
2016-01-11 07:00:00,568,845
2016-01-11 08:00:00,556,843
2016-01-11 09:00:00,547,844
2016-01-11 10:00:00,554,847
2016-01-11 11:00:00,545,847
2016-01-11 12:00:00,556,846
2016-01-11 13:00:00,567,846
2016-01-11 14:00:00,568,844
2016-01-11 15:00:00,572,844
2016-01-11 16:00:00,577,845
2016-01-11 17:00:00,561,839
2016-01-11 18:00:00,562,844
2016-01-11 19:00:00,561,834
2016-01-11 20:00:00,568,837
2016-01-11 21:00:00,575,834
2016-01-11 22:00:00,574,831
2016-01-11 23:00:00,564,832
2016-01-12 00:00:00,570,829
2016-01-12 01:00:00,570,834
2016-01-12 02:00:00,566,835
2016-01-12 03:00:00,559,833
2016-01-12 04:00:00,544,837
2016-01-12 05:00:00,557,836
2016-01-12 06:00:00,558,837
2016-01-12 07:00:00,564,834
2016-01-12 08:00:00,568,838
2016-01-12 09:00:00,570,830
2016-01-12 10:00:00,582,835
2016-01-12 11:00:00,568,834
2016-01-12 12:00:00,572,837
2016-01-12 13:00:00,568,828
2016-01-12 14:00:00,572,840
2016-01-12 15:00:00,568,844
2016-01-12 16:00:00,552,837
2016-01-12 17:00:00,555,840
2016-01-12 18:00:00,560,844
2016-01-12 19:00:00,545,843
2016-01-12 20:00:00,550,845
2016-01-12 21:00:00,562,842
2016-01-12 22:00:00,561,840
2016-01-12 23:00:00,561,763
2016-01-13 00:00:00,556,848
2016-01-13 01:00:00,560,846
2016-01-13 02:00:00,560,851
2016-01-13 03:00:00,557,852
2016-01-13 04:00:00,564,845
2016-01-13 05:00:00,560,849
2016-01-13 06:00:00,547,844
2016-01-13 07:00:00,561,835
2016-01-13 08:00:00,569,658
2016-01-13 09:00:00,568,599
2016-01-13 10:00:00,565,639
2016-01-13 11:00:00,564,663
2016-01-13 12:00:00,445,788
2016-01-13 13:00:00,380,769
2016-01-13 14:00:00,382,771
2016-01-13 15:00:00,554,842
2016-01-13 16:00:00,556,846
2016-01-13 17:00:00,553,846
2016-01-13 18:00:00,560,847
2016-01-13 19:00:00,552,849
2016-01-13 20:00:00,557,850
2016-01-13 21:00:00,564,848
2016-01-13 22:00:00,562,843
2016-01-13 23:00:00,557,849
2016-01-14 00:00:00,566,849
2016-01-14 01:00:00,573,849
2016-01-14 02:00:00,570,848
2016-01-14 03:00:00,577,849
2016-01-14 04:00:00,576,849
2016-01-14 05:00:00,571,849
2016-01-14 06:00:00,587,846
2016-01-14 07:00:00,591,837
2016-01-14 08:00:00,588,831
2016-01-14 09:00:00,591,844
2016-01-14 10:00:00,583,847
2016-01-14 11:00:00,560,811
2016-01-14 12:00:00,574,825
2016-01-14 13:00:00,593,841
2016-01-14 14:00:00,575,843
2016-01-14 15:00:00,567,846
2016-01-14 16:00:00,562,846
2016-01-14 17:00:00,554,853
2016-01-14 18:00:00,543,844
2016-01-14 19:00:00,545,845
2016-01-14 20:00:00,546,850
2016-01-14 21:00:00,554,845
2016-01-14 22:00:00,557,847
2016-01-14 23:00:00,563,850
2016-01-15 00:00:00,560,850
2016-01-15 01:00:00,549,846
2016-01-15 02:00:00,562,844
2016-01-15 03:00:00,549,851
2016-01-15 04:00:00,553,845
2016-01-15 05:00:00,561,848
2016-01-15 06:00:00,560,851
2016-01-15 07:00:00,567,846
2016-01-15 08:00:00,575,843
2016-01-15 09:00:00,583,845
2016-01-15 10:00:00,570,843
2016-01-15 11:00:00,554,842
