date,start,end,11WD8BOXB1L---R0,11WD8BOXB1L---Q2
1012021,00:00,01:00,606.0,830.0
1012021,01:00,02:00,607.0,831.0
1012021,02:00,03:00,602.0,824.0
1012021,03:00,04:00,603.0,825.0
1012021,04:00,05:00,606.0,823.0
1012021,05:00,06:00,606.0,825.0
1012021,06:00,07:00,606.0,833.0
1012021,07:00,08:00,606.0,834.0
1012021,08:00,09:00,605.0,816.0
1012021,09:00,10:00,605.0,820.0
1012021,10:00,11:00,608.0,822.0
1012021,11:00,12:00,614.0,833.0
1012021,12:00,13:00,605.0,834.0
1012021,13:00,14:00,608.0,834.0
1012021,14:00,15:00,606.0,829.0
1012021,15:00,16:00,607.0,830.0
1012021,16:00,17:00,609.0,832.0
1012021,17:00,18:00,609.0,829.0
1012021,18:00,19:00,607.0,834.0
1012021,19:00,20:00,604.0,829.0
1012021,20:00,21:00,607.0,831.0
1012021,21:00,22:00,607.0,832.0
1012021,22:00,23:00,606.0,827.0
1012021,23:00,00:00,605.0,832.0
2012021,00:00,01:00,606.0,814.0
2012021,01:00,02:00,606.0,810.0
2012021,02:00,03:00,606.0,807.0
2012021,03:00,04:00,604.0,827.0
2012021,04:00,05:00,591.0,808.0
2012021,05:00,06:00,609.0,832.0
2012021,06:00,07:00,597.0,832.0
2012021,07:00,08:00,584.0,833.0
2012021,08:00,09:00,608.0,794.0
2012021,09:00,10:00,609.0,834.0
2012021,10:00,11:00,609.0,832.0
2012021,11:00,12:00,610.0,831.0
2012021,12:00,13:00,610.0,832.0
2012021,13:00,14:00,612.0,832.0
2012021,14:00,15:00,610.0,832.0
2012021,15:00,16:00,609.0,831.0
2012021,16:00,17:00,609.0,831.0
2012021,17:00,18:00,608.0,832.0
2012021,18:00,19:00,609.0,832.0
2012021,19:00,20:00,607.0,834.0
2012021,20:00,21:00,606.0,833.0
2012021,21:00,22:00,607.0,831.0
2012021,22:00,23:00,608.0,832.0
2012021,23:00,00:00,602.0,830.0
3012021,00:00,01:00,600.0,810.0
3012021,01:00,02:00,601.0,809.0
3012021,02:00,03:00,601.0,803.0
3012021,03:00,04:00,579.0,734.0
3012021,04:00,05:00,470.0,529.0
3012021,05:00,06:00,415.0,507.0
3012021,06:00,07:00,340.0,508.0
3012021,07:00,08:00,368.0,510.0
3012021,08:00,09:00,406.0,567.0
3012021,09:00,10:00,553.0,582.0
3012021,10:00,11:00,513.0,602.0
3012021,11:00,12:00,535.0,708.0
3012021,12:00,13:00,568.0,718.0
3012021,13:00,14:00,603.0,833.0
3012021,14:00,15:00,603.0,834.0
3012021,15:00,16:00,602.0,834.0
3012021,16:00,17:00,602.0,836.0
3012021,17:00,18:00,605.0,833.0
3012021,18:00,19:00,601.0,832.0
3012021,19:00,20:00,601.0,828.0
3012021,20:00,21:00,600.0,777.0
3012021,21:00,22:00,601.0,621.0
3012021,22:00,23:00,544.0,629.0
3012021,23:00,00:00,307.0,520.0
4012021,00:00,01:00,465.0,663.0
4012021,01:00,02:00,510.0,752.0
4012021,02:00,03:00,600.0,826.0
4012021,03:00,04:00,593.0,823.0
4012021,04:00,05:00,470.0,698.0
4012021,05:00,06:00,340.0,558.0
4012021,06:00,07:00,543.0,568.0
4012021,07:00,08:00,576.0,808.0
4012021,08:00,09:00,578.0,830.0
4012021,09:00,10:00,575.0,831.0
