Timestamp,11WD8LIPD1L---R6,11WD8LIPD1L---S4
2016-01-01 00:00:00,846,0
2016-01-01 01:00:00,843,0
2016-01-01 02:00:00,844,0
2016-01-01 03:00:00,848,0
2016-01-01 04:00:00,805,0
2016-01-01 05:00:00,792,0
2016-01-01 06:00:00,612,0
2016-01-01 07:00:00,770,0
2016-01-01 08:00:00,835,0
2016-01-01 09:00:00,736,0
2016-01-01 10:00:00,651,0
2016-01-01 11:00:00,838,0
2016-01-01 12:00:00,839,0
2016-01-01 13:00:00,840,0
2016-01-01 14:00:00,839,0
2016-01-01 15:00:00,840,0
2016-01-01 16:00:00,837,0
2016-01-01 17:00:00,839,0
2016-01-01 18:00:00,841,0
2016-01-01 19:00:00,840,0
2016-01-01 20:00:00,841,0
2016-01-01 21:00:00,842,0
2016-01-01 22:00:00,844,0
2016-01-01 23:00:00,848,0
2016-01-02 00:00:00,710,0
2016-01-02 01:00:00,602,0
2016-01-02 02:00:00,440,0
2016-01-02 03:00:00,433,0
2016-01-02 04:00:00,435,0
2016-01-02 05:00:00,436,0
2016-01-02 06:00:00,446,0
2016-01-02 07:00:00,604,0
2016-01-02 08:00:00,604,0
2016-01-02 09:00:00,605,0
2016-01-02 10:00:00,606,0
2016-01-02 11:00:00,605,0
2016-01-02 12:00:00,606,0
2016-01-02 13:00:00,606,0
2016-01-02 14:00:00,605,0
2016-01-02 15:00:00,604,0
2016-01-02 16:00:00,606,0
2016-01-02 17:00:00,605,0
2016-01-02 18:00:00,606,0
2016-01-02 19:00:00,606,0
2016-01-02 20:00:00,607,0
2016-01-02 21:00:00,605,0
2016-01-02 22:00:00,605,0
2016-01-02 23:00:00,597,0
2016-01-03 00:00:00,439,0
2016-01-03 01:00:00,436,0
2016-01-03 02:00:00,436,0
2016-01-03 03:00:00,436,0
2016-01-03 04:00:00,436,0
2016-01-03 05:00:00,435,0
2016-01-03 06:00:00,437,0
2016-01-03 07:00:00,450,0
2016-01-03 08:00:00,606,0
2016-01-03 09:00:00,604,0
2016-01-03 10:00:00,607,0
2016-01-03 11:00:00,606,0
2016-01-03 12:00:00,606,0
2016-01-03 13:00:00,607,0
2016-01-03 14:00:00,606,0
2016-01-03 15:00:00,605,0
2016-01-03 16:00:00,606,0
2016-01-03 17:00:00,606,0
2016-01-03 18:00:00,605,0
2016-01-03 19:00:00,606,0
2016-01-03 20:00:00,606,0
2016-01-03 21:00:00,607,0
2016-01-03 22:00:00,644,0
2016-01-03 23:00:00,755,0
2016-01-04 00:00:00,711,0
2016-01-04 01:00:00,449,0
2016-01-04 02:00:00,436,0
2016-01-04 03:00:00,437,0
2016-01-04 04:00:00,436,37
2016-01-04 05:00:00,668,303
2016-01-04 06:00:00,684,509
2016-01-04 07:00:00,701,572
2016-01-04 08:00:00,739,733
2016-01-04 09:00:00,811,804
2016-01-04 10:00:00,772,834
2016-01-04 11:00:00,440,835
2016-01-04 12:00:00,0,827
2016-01-04 13:00:00,0,774
2016-01-04 14:00:00,0,674
2016-01-04 15:00:00,0,825
2016-01-04 16:00:00,0,827
2016-01-04 17:00:00,0,824
2016-01-04 18:00:00,0,825
2016-01-04 19:00:00,0,826
2016-01-04 20:00:00,0,827
2016-01-04 21:00:00,0,827
2016-01-04 22:00:00,0,822
2016-01-04 23:00:00,0,827
2016-01-05 00:00:00,0,830
2016-01-05 01:00:00,0,770
2016-01-05 02:00:00,0,744
2016-01-05 03:00:00,0,746
2016-01-05 04:00:00,0,824
2016-01-05 05:00:00,0,828
2016-01-05 06:00:00,0,832
2016-01-05 07:00:00,0,832
2016-01-05 08:00:00,0,828
2016-01-05 09:00:00,0,828
2016-01-05 10:00:00,0,830
2016-01-05 11:00:00,0,796
2016-01-05 12:00:00,0,830
2016-01-05 13:00:00,0,829
2016-01-05 14:00:00,0,828
2016-01-05 15:00:00,0,830
2016-01-05 16:00:00,0,835
2016-01-05 17:00:00,0,833
2016-01-05 18:00:00,0,834
2016-01-05 19:00:00,0,831
2016-01-05 20:00:00,0,830
2016-01-05 21:00:00,0,830
2016-01-05 22:00:00,0,830
2016-01-05 23:00:00,0,830
2016-01-06 00:00:00,0,822
2016-01-06 01:00:00,0,827
2016-01-06 02:00:00,0,825
2016-01-06 03:00:00,0,827
2016-01-06 04:00:00,0,825
2016-01-06 05:00:00,0,827
2016-01-06 06:00:00,0,825
2016-01-06 07:00:00,0,827
2016-01-06 08:00:00,0,826
2016-01-06 09:00:00,0,826
2016-01-06 10:00:00,0,826
2016-01-06 11:00:00,0,825
2016-01-06 12:00:00,0,829
2016-01-06 13:00:00,0,828
2016-01-06 14:00:00,0,829
2016-01-06 15:00:00,0,829
2016-01-06 16:00:00,0,828
2016-01-06 17:00:00,0,826
2016-01-06 18:00:00,0,827
2016-01-06 19:00:00,0,827
2016-01-06 20:00:00,0,825
2016-01-06 21:00:00,0,827
2016-01-06 22:00:00,0,827
2016-01-06 23:00:00,0,825
2016-01-07 00:00:00,0,828
2016-01-07 01:00:00,0,831
2016-01-07 02:00:00,0,831
2016-01-07 03:00:00,0,829
2016-01-07 04:00:00,0,829
2016-01-07 05:00:00,0,828
2016-01-07 06:00:00,0,827
2016-01-07 07:00:00,0,829
2016-01-07 08:00:00,0,826
2016-01-07 09:00:00,0,811
2016-01-07 10:00:00,0,819
2016-01-07 11:00:00,0,826
2016-01-07 12:00:00,0,823
2016-01-07 13:00:00,0,784
2016-01-07 14:00:00,0,728
2016-01-07 15:00:00,0,603
2016-01-07 16:00:00,0,604
2016-01-07 17:00:00,0,601
2016-01-07 18:00:00,0,601
2016-01-07 19:00:00,0,604
2016-01-07 20:00:00,0,642
2016-01-07 21:00:00,0,600
2016-01-07 22:00:00,0,599
2016-01-07 23:00:00,0,599
2016-01-08 00:00:00,0,601
2016-01-08 01:00:00,0,600
2016-01-08 02:00:00,0,603
2016-01-08 03:00:00,0,602
2016-01-08 04:00:00,0,602
2016-01-08 05:00:00,0,608
2016-01-08 06:00:00,0,742
2016-01-08 07:00:00,0,741
2016-01-08 08:00:00,0,742
2016-01-08 09:00:00,0,742
2016-01-08 10:00:00,0,739
2016-01-08 11:00:00,0,730
2016-01-08 12:00:00,0,599
2016-01-08 13:00:00,0,616
2016-01-08 14:00:00,0,634
2016-01-08 15:00:00,0,625
2016-01-08 16:00:00,0,623
2016-01-08 17:00:00,0,639
2016-01-08 18:00:00,0,825
2016-01-08 19:00:00,0,829
2016-01-08 20:00:00,0,821
2016-01-08 21:00:00,0,824
2016-01-08 22:00:00,0,829
2016-01-08 23:00:00,0,833
2016-01-09 00:00:00,0,783
2016-01-09 01:00:00,0,822
2016-01-09 02:00:00,0,828
2016-01-09 03:00:00,257,837
2016-01-09 04:00:00,477,834
2016-01-09 05:00:00,502,820
2016-01-09 06:00:00,648,842
2016-01-09 07:00:00,786,842
2016-01-09 08:00:00,860,850
2016-01-09 09:00:00,866,857
2016-01-09 10:00:00,869,856
2016-01-09 11:00:00,871,853
2016-01-09 12:00:00,871,852
2016-01-09 13:00:00,872,851
2016-01-09 14:00:00,872,853
2016-01-09 15:00:00,871,851
2016-01-09 16:00:00,866,851
2016-01-09 17:00:00,868,855
2016-01-09 18:00:00,868,855
2016-01-09 19:00:00,869,856
2016-01-09 20:00:00,866,854
2016-01-09 21:00:00,864,851
2016-01-09 22:00:00,840,831
2016-01-09 23:00:00,790,789
2016-01-10 00:00:00,865,863
2016-01-10 01:00:00,675,692
2016-01-10 02:00:00,455,451
2016-01-10 03:00:00,453,453
2016-01-10 04:00:00,440,437
2016-01-10 05:00:00,439,436
2016-01-10 06:00:00,442,441
2016-01-10 07:00:00,629,632
2016-01-10 08:00:00,801,779
2016-01-10 09:00:00,855,816
2016-01-10 10:00:00,721,711
2016-01-10 11:00:00,749,746
2016-01-10 12:00:00,741,739
2016-01-10 13:00:00,678,675
2016-01-10 14:00:00,705,702
2016-01-10 15:00:00,844,844
2016-01-10 16:00:00,857,848
2016-01-10 17:00:00,866,860
2016-01-10 18:00:00,867,860
2016-01-10 19:00:00,857,840
2016-01-10 20:00:00,673,668
2016-01-10 21:00:00,638,638
2016-01-10 22:00:00,789,781
2016-01-10 23:00:00,835,825
2016-01-11 00:00:00,689,682
2016-01-11 01:00:00,675,671
2016-01-11 02:00:00,649,647
2016-01-11 03:00:00,627,622
2016-01-11 04:00:00,720,717
2016-01-11 05:00:00,862,852
2016-01-11 06:00:00,863,853
2016-01-11 07:00:00,863,851
2016-01-11 08:00:00,863,861
2016-01-11 09:00:00,864,861
2016-01-11 10:00:00,863,862
2016-01-11 11:00:00,868,860
2016-01-11 12:00:00,866,858
2016-01-11 13:00:00,866,859
2016-01-11 14:00:00,866,858
2016-01-11 15:00:00,867,857
2016-01-11 16:00:00,870,859
2016-01-11 17:00:00,868,859
2016-01-11 18:00:00,867,855
2016-01-11 19:00:00,864,855
2016-01-11 20:00:00,865,855
2016-01-11 21:00:00,863,856
2016-01-11 22:00:00,852,847
2016-01-11 23:00:00,679,671
2016-01-12 00:00:00,677,669
2016-01-12 01:00:00,664,664
2016-01-12 02:00:00,641,630
2016-01-12 03:00:00,610,615
2016-01-12 04:00:00,760,763
2016-01-12 05:00:00,793,790
2016-01-12 06:00:00,859,857
2016-01-12 07:00:00,864,861
2016-01-12 08:00:00,863,855
2016-01-12 09:00:00,863,853
2016-01-12 10:00:00,862,855
2016-01-12 11:00:00,865,856
2016-01-12 12:00:00,862,855
2016-01-12 13:00:00,864,862
2016-01-12 14:00:00,870,865
2016-01-12 15:00:00,869,865
2016-01-12 16:00:00,866,864
2016-01-12 17:00:00,866,862
2016-01-12 18:00:00,866,862
2016-01-12 19:00:00,863,864
2016-01-12 20:00:00,862,863
2016-01-12 21:00:00,821,813
2016-01-12 22:00:00,703,699
2016-01-12 23:00:00,678,675
2016-01-13 00:00:00,717,714
2016-01-13 01:00:00,863,857
2016-01-13 02:00:00,865,860
2016-01-13 03:00:00,867,860
2016-01-13 04:00:00,865,859
2016-01-13 05:00:00,869,865
2016-01-13 06:00:00,864,862
2016-01-13 07:00:00,855,862
2016-01-13 08:00:00,680,688
2016-01-13 09:00:00,678,670
2016-01-13 10:00:00,677,671
2016-01-13 11:00:00,678,672
2016-01-13 12:00:00,678,672
2016-01-13 13:00:00,676,672
2016-01-13 14:00:00,678,678
2016-01-13 15:00:00,798,805
2016-01-13 16:00:00,862,846
2016-01-13 17:00:00,860,846
2016-01-13 18:00:00,863,848
2016-01-13 19:00:00,863,847
2016-01-13 20:00:00,864,846
2016-01-13 21:00:00,862,856
2016-01-13 22:00:00,863,859
2016-01-13 23:00:00,863,856
2016-01-14 00:00:00,865,859
2016-01-14 01:00:00,864,859
2016-01-14 02:00:00,864,858
2016-01-14 03:00:00,865,856
2016-01-14 04:00:00,861,858
2016-01-14 05:00:00,859,856
2016-01-14 06:00:00,863,860
2016-01-14 07:00:00,861,858
2016-01-14 08:00:00,860,857
2016-01-14 09:00:00,860,858
2016-01-14 10:00:00,864,858
2016-01-14 11:00:00,856,859
2016-01-14 12:00:00,861,859
2016-01-14 13:00:00,863,858
2016-01-14 14:00:00,859,857
2016-01-14 15:00:00,756,757
2016-01-14 16:00:00,747,745
2016-01-14 17:00:00,845,847
2016-01-14 18:00:00,862,858
2016-01-14 19:00:00,867,863
2016-01-14 20:00:00,863,858
2016-01-14 21:00:00,862,855
2016-01-14 22:00:00,862,858
2016-01-14 23:00:00,861,857
2016-01-15 00:00:00,864,857
2016-01-15 01:00:00,863,859
2016-01-15 02:00:00,863,858
2016-01-15 03:00:00,862,858
2016-01-15 04:00:00,862,856
2016-01-15 05:00:00,862,861
2016-01-15 06:00:00,863,862
2016-01-15 07:00:00,865,864
2016-01-15 08:00:00,863,863
2016-01-15 09:00:00,860,855
2016-01-15 10:00:00,863,862
2016-01-15 11:00:00,864,862
2016-01-15 12:00:00,864,861
2016-01-15 13:00:00,864,861
2016-01-15 14:00:00,863,862
2016-01-15 15:00:00,865,864
2016-01-15 16:00:00,865,860
2016-01-15 17:00:00,864,862
2016-01-15 18:00:00,864,862
2016-01-15 19:00:00,865,862
2016-01-15 20:00:00,864,861
2016-01-15 21:00:00,861,861
2016-01-15 22:00:00,863,861
2016-01-15 23:00:00,865,861
2016-01-16 00:00:00,864,858
2016-01-16 01:00:00,864,859
2016-01-16 02:00:00,866,860
2016-01-16 03:00:00,865,861
2016-01-16 04:00:00,866,860
2016-01-16 05:00:00,863,861
2016-01-16 06:00:00,865,863
2016-01-16 07:00:00,865,861
2016-01-16 08:00:00,864,862
2016-01-16 09:00:00,864,864
2016-01-16 10:00:00,865,865
2016-01-16 11:00:00,865,865
2016-01-16 12:00:00,863,866
2016-01-16 13:00:00,864,865
2016-01-16 14:00:00,865,867
2016-01-16 15:00:00,864,866
2016-01-16 16:00:00,863,867
2016-01-16 17:00:00,862,867
2016-01-16 18:00:00,865,869
2016-01-16 19:00:00,864,868
2016-01-16 20:00:00,866,869
2016-01-16 21:00:00,866,868
2016-01-16 22:00:00,866,868
2016-01-16 23:00:00,861,867
2016-01-17 00:00:00,860,867
2016-01-17 01:00:00,860,867
2016-01-17 02:00:00,861,866
2016-01-17 03:00:00,860,866
2016-01-17 04:00:00,860,859
2016-01-17 05:00:00,859,860
2016-01-17 06:00:00,861,859
2016-01-17 07:00:00,861,864
2016-01-17 08:00:00,862,863
2016-01-17 09:00:00,862,863
2016-01-17 10:00:00,859,863
2016-01-17 11:00:00,859,864
2016-01-17 12:00:00,860,864
2016-01-17 13:00:00,858,860
2016-01-17 14:00:00,860,864
2016-01-17 15:00:00,859,863
2016-01-17 16:00:00,858,860
2016-01-17 17:00:00,860,862
2016-01-17 18:00:00,858,859
2016-01-17 19:00:00,859,859
2016-01-17 20:00:00,860,859
2016-01-17 21:00:00,858,852
2016-01-17 22:00:00,858,848
2016-01-17 23:00:00,859,846
2016-01-18 00:00:00,862,850
2016-01-18 01:00:00,861,849
2016-01-18 02:00:00,862,851
2016-01-18 03:00:00,862,856
2016-01-18 04:00:00,861,851
2016-01-18 05:00:00,858,862
2016-01-18 06:00:00,858,863
2016-01-18 07:00:00,857,859
2016-01-18 08:00:00,856,859
2016-01-18 09:00:00,858,860
2016-01-18 10:00:00,857,862
2016-01-18 11:00:00,861,865
2016-01-18 12:00:00,862,866
2016-01-18 13:00:00,858,861
2016-01-18 14:00:00,861,861
2016-01-18 15:00:00,860,860
2016-01-18 16:00:00,858,858
2016-01-18 17:00:00,858,859
2016-01-18 18:00:00,857,860
2016-01-18 19:00:00,863,863
2016-01-18 20:00:00,862,864
2016-01-18 21:00:00,861,859
2016-01-18 22:00:00,864,861
2016-01-18 23:00:00,863,862
2016-01-19 00:00:00,863,865
2016-01-19 01:00:00,816,819
2016-01-19 02:00:00,829,830
2016-01-19 03:00:00,851,850
2016-01-19 04:00:00,846,847
2016-01-19 05:00:00,805,799
2016-01-19 06:00:00,860,861
2016-01-19 07:00:00,861,861
2016-01-19 08:00:00,860,859
2016-01-19 09:00:00,861,860
2016-01-19 10:00:00,861,860
2016-01-19 11:00:00,862,860
2016-01-19 12:00:00,864,861
2016-01-19 13:00:00,864,859
2016-01-19 14:00:00,862,859
2016-01-19 15:00:00,859,860
2016-01-19 16:00:00,861,859
2016-01-19 17:00:00,863,858
2016-01-19 18:00:00,861,859
2016-01-19 19:00:00,862,859
2016-01-19 20:00:00,863,860
2016-01-19 21:00:00,862,863
2016-01-19 22:00:00,865,863
2016-01-19 23:00:00,868,863
2016-01-20 00:00:00,867,865
2016-01-20 01:00:00,868,864
2016-01-20 02:00:00,868,865
2016-01-20 03:00:00,866,865
2016-01-20 04:00:00,865,865
2016-01-20 05:00:00,862,863
2016-01-20 06:00:00,865,865
2016-01-20 07:00:00,864,862
2016-01-20 08:00:00,863,861
2016-01-20 09:00:00,858,856
2016-01-20 10:00:00,858,856
2016-01-20 11:00:00,859,857
2016-01-20 12:00:00,859,855
2016-01-20 13:00:00,858,857
2016-01-20 14:00:00,858,858
2016-01-20 15:00:00,858,858
2016-01-20 16:00:00,859,857
2016-01-20 17:00:00,859,858
2016-01-20 18:00:00,862,857
2016-01-20 19:00:00,861,860
2016-01-20 20:00:00,863,861
2016-01-20 21:00:00,859,859
2016-01-20 22:00:00,862,862
2016-01-20 23:00:00,863,863
2016-01-21 00:00:00,862,861
2016-01-21 01:00:00,861,863
2016-01-21 02:00:00,846,843
2016-01-21 03:00:00,849,850
2016-01-21 04:00:00,851,848
2016-01-21 05:00:00,858,862
2016-01-21 06:00:00,856,862
2016-01-21 07:00:00,861,862
2016-01-21 08:00:00,861,861
2016-01-21 09:00:00,858,858
2016-01-21 10:00:00,855,859
2016-01-21 11:00:00,856,859
2016-01-21 12:00:00,861,857
2016-01-21 13:00:00,857,859
2016-01-21 14:00:00,858,859
2016-01-21 15:00:00,857,860
2016-01-21 16:00:00,854,860
2016-01-21 17:00:00,851,857
2016-01-21 18:00:00,852,856
2016-01-21 19:00:00,851,856
2016-01-21 20:00:00,852,858
2016-01-21 21:00:00,853,861
2016-01-21 22:00:00,856,859
2016-01-21 23:00:00,858,861
2016-01-22 00:00:00,860,850
2016-01-22 01:00:00,830,538
2016-01-22 02:00:00,839,809
2016-01-22 03:00:00,533,844
2016-01-22 04:00:00,833,855
2016-01-22 05:00:00,857,858
2016-01-22 06:00:00,854,858
2016-01-22 07:00:00,853,859
2016-01-22 08:00:00,855,861
2016-01-22 09:00:00,853,860
2016-01-22 10:00:00,853,859
2016-01-22 11:00:00,855,858
2016-01-22 12:00:00,855,858
2016-01-22 13:00:00,858,859
2016-01-22 14:00:00,857,860
2016-01-22 15:00:00,851,851
2016-01-22 16:00:00,851,855
2016-01-22 17:00:00,854,859
2016-01-22 18:00:00,853,862
2016-01-22 19:00:00,860,863
2016-01-22 20:00:00,847,855
2016-01-22 21:00:00,775,772
2016-01-22 22:00:00,804,804
2016-01-22 23:00:00,783,780
2016-01-23 00:00:00,754,755
2016-01-23 01:00:00,684,680
2016-01-23 02:00:00,712,709
2016-01-23 03:00:00,848,857
2016-01-23 04:00:00,733,731
2016-01-23 05:00:00,747,749
2016-01-23 06:00:00,684,687
2016-01-23 07:00:00,714,714
2016-01-23 08:00:00,748,753
2016-01-23 09:00:00,765,761
2016-01-23 10:00:00,710,711
2016-01-23 11:00:00,719,716
2016-01-23 12:00:00,715,714
2016-01-23 13:00:00,706,703
2016-01-23 14:00:00,723,718
2016-01-23 15:00:00,724,716
2016-01-23 16:00:00,716,674
2016-01-23 17:00:00,675,669
2016-01-23 18:00:00,676,673
2016-01-23 19:00:00,677,674
2016-01-23 20:00:00,688,688
2016-01-23 21:00:00,681,677
2016-01-23 22:00:00,821,818
2016-01-23 23:00:00,862,855
2016-01-24 00:00:00,817,815
2016-01-24 01:00:00,819,814
2016-01-24 02:00:00,862,860
2016-01-24 03:00:00,861,859
2016-01-24 04:00:00,859,858
2016-01-24 05:00:00,861,858
2016-01-24 06:00:00,856,856
2016-01-24 07:00:00,857,852
2016-01-24 08:00:00,857,854
2016-01-24 09:00:00,859,853
2016-01-24 10:00:00,854,853
