date,start,end,11WD8DRES5X----D
1012018,00:00,01:00,116
1012018,01:00,02:00,116
1012018,02:00,03:00,116
1012018,03:00,04:00,116
1012018,04:00,05:00,116
1012018,05:00,06:00,116
1012018,06:00,07:00,116
1012018,07:00,08:00,116
1012018,08:00,09:00,116
1012018,09:00,10:00,116
1012018,10:00,11:00,116
1012018,11:00,12:00,116
1012018,12:00,13:00,116
1012018,13:00,14:00,116
1012018,14:00,15:00,132
1012018,15:00,16:00,150
1012018,16:00,17:00,150
1012018,17:00,18:00,152
1012018,18:00,19:00,152
1012018,19:00,20:00,153
1012018,20:00,21:00,189
1012018,21:00,22:00,230
1012018,22:00,23:00,231
1012018,23:00,00:00,230
2012018,00:00,01:00,228
2012018,01:00,02:00,227
2012018,02:00,03:00,228
2012018,03:00,04:00,228
2012018,04:00,05:00,228
2012018,05:00,06:00,230
2012018,06:00,07:00,232
2012018,07:00,08:00,234
2012018,08:00,09:00,235
2012018,09:00,10:00,235
2012018,10:00,11:00,235
2012018,11:00,12:00,238
2012018,12:00,13:00,241
2012018,13:00,14:00,240
2012018,14:00,15:00,241
2012018,15:00,16:00,242
2012018,16:00,17:00,243
2012018,17:00,18:00,243
2012018,18:00,19:00,244
2012018,19:00,20:00,243
2012018,20:00,21:00,242
2012018,21:00,22:00,243
2012018,22:00,23:00,236
2012018,23:00,00:00,233
3012018,00:00,01:00,202
3012018,01:00,02:00,170
3012018,02:00,03:00,170
3012018,03:00,04:00,170
3012018,04:00,05:00,170
3012018,05:00,06:00,170
3012018,06:00,07:00,214
3012018,07:00,08:00,229
3012018,08:00,09:00,230
3012018,09:00,10:00,236
3012018,10:00,11:00,237
3012018,11:00,12:00,237
3012018,12:00,13:00,237
3012018,13:00,14:00,237
3012018,14:00,15:00,232
3012018,15:00,16:00,238
3012018,16:00,17:00,241
3012018,17:00,18:00,239
3012018,18:00,19:00,240
3012018,19:00,20:00,240
3012018,20:00,21:00,235
3012018,21:00,22:00,226
3012018,22:00,23:00,224
3012018,23:00,00:00,208
4012018,00:00,01:00,170
4012018,01:00,02:00,170
4012018,02:00,03:00,170
4012018,03:00,04:00,170
4012018,04:00,05:00,170
4012018,05:00,06:00,209
4012018,06:00,07:00,221
4012018,07:00,08:00,221
4012018,08:00,09:00,221
4012018,09:00,10:00,220
4012018,10:00,11:00,221
4012018,11:00,12:00,221
4012018,12:00,13:00,220
4012018,13:00,14:00,222
4012018,14:00,15:00,232
4012018,15:00,16:00,231
4012018,16:00,17:00,232
4012018,17:00,18:00,232
4012018,18:00,19:00,236
4012018,19:00,20:00,235
4012018,20:00,21:00,236
4012018,21:00,22:00,227
4012018,22:00,23:00,225
4012018,23:00,00:00,217
5012018,00:00,01:00,210
5012018,01:00,02:00,181
5012018,02:00,03:00,181
5012018,03:00,04:00,181
5012018,04:00,05:00,181
5012018,05:00,06:00,201
5012018,06:00,07:00,220
5012018,07:00,08:00,220
5012018,08:00,09:00,221
5012018,09:00,10:00,219
5012018,10:00,11:00,218
5012018,11:00,12:00,218
5012018,12:00,13:00,217
5012018,13:00,14:00,218
5012018,14:00,15:00,219
5012018,15:00,16:00,220
5012018,16:00,17:00,221
5012018,17:00,18:00,230
5012018,18:00,19:00,233
5012018,19:00,20:00,234
5012018,20:00,21:00,235
5012018,21:00,22:00,235
5012018,22:00,23:00,224
5012018,23:00,00:00,223
6012018,00:00,01:00,201
6012018,01:00,02:00,201
6012018,02:00,03:00,201
6012018,03:00,04:00,201
6012018,04:00,05:00,201
6012018,05:00,06:00,201
6012018,06:00,07:00,223
6012018,07:00,08:00,226
6012018,08:00,09:00,235
6012018,09:00,10:00,233
6012018,10:00,11:00,233
6012018,11:00,12:00,229
6012018,12:00,13:00,229
6012018,13:00,14:00,229
6012018,14:00,15:00,231
6012018,15:00,16:00,231
6012018,16:00,17:00,231
6012018,17:00,18:00,232
6012018,18:00,19:00,234
6012018,19:00,20:00,235
6012018,20:00,21:00,235
6012018,21:00,22:00,236
6012018,22:00,23:00,235
6012018,23:00,00:00,226
7012018,00:00,01:00,201
7012018,01:00,02:00,201
7012018,02:00,03:00,201
7012018,03:00,04:00,201
7012018,04:00,05:00,202
7012018,05:00,06:00,231
7012018,06:00,07:00,233
7012018,07:00,08:00,239
7012018,08:00,09:00,240
7012018,09:00,10:00,249
7012018,10:00,11:00,250
7012018,11:00,12:00,251
7012018,12:00,13:00,252
7012018,13:00,14:00,252
7012018,14:00,15:00,252
7012018,15:00,16:00,252
7012018,16:00,17:00,251
7012018,17:00,18:00,252
7012018,18:00,19:00,252
7012018,19:00,20:00,253
7012018,20:00,21:00,253
7012018,21:00,22:00,253
7012018,22:00,23:00,253
7012018,23:00,00:00,244
8012018,00:00,01:00,240
8012018,01:00,02:00,240
8012018,02:00,03:00,240
8012018,03:00,04:00,240
8012018,04:00,05:00,242
8012018,05:00,06:00,253
8012018,06:00,07:00,253
8012018,07:00,08:00,252
8012018,08:00,09:00,253
8012018,09:00,10:00,253
8012018,10:00,11:00,252
8012018,11:00,12:00,252
8012018,12:00,13:00,251
8012018,13:00,14:00,251
8012018,14:00,15:00,252
8012018,15:00,16:00,252
8012018,16:00,17:00,252
8012018,17:00,18:00,252
8012018,18:00,19:00,252
8012018,19:00,20:00,250
8012018,20:00,21:00,250
8012018,21:00,22:00,252
8012018,22:00,23:00,251
8012018,23:00,00:00,234
9012018,00:00,01:00,221
9012018,01:00,02:00,221
9012018,02:00,03:00,221
9012018,03:00,04:00,221
9012018,04:00,05:00,221
9012018,05:00,06:00,221
9012018,06:00,07:00,229
9012018,07:00,08:00,232
9012018,08:00,09:00,242
9012018,09:00,10:00,243
9012018,10:00,11:00,241
9012018,11:00,12:00,240
9012018,12:00,13:00,240
9012018,13:00,14:00,240
9012018,14:00,15:00,240
9012018,15:00,16:00,240
9012018,16:00,17:00,241
9012018,17:00,18:00,240
9012018,18:00,19:00,241
9012018,19:00,20:00,242
9012018,20:00,21:00,242
9012018,21:00,22:00,242
9012018,22:00,23:00,242
9012018,23:00,00:00,229
10012018,00:00,01:00,229
10012018,01:00,02:00,230
10012018,02:00,03:00,231
10012018,03:00,04:00,231
10012018,04:00,05:00,233
10012018,05:00,06:00,236
10012018,06:00,07:00,246
10012018,07:00,08:00,247
10012018,08:00,09:00,247
10012018,09:00,10:00,247
10012018,10:00,11:00,247
