date,start,end,11WD7FUEH5GMERKA
5092022,00:00,01:00,
5092022,01:00,02:00,
5092022,02:00,03:00,
5092022,03:00,04:00,
5092022,04:00,05:00,
5092022,05:00,06:00,
5092022,06:00,07:00,
5092022,07:00,08:00,
5092022,08:00,09:00,
5092022,09:00,10:00,
5092022,10:00,11:00,
5092022,11:00,12:00,
5092022,12:00,13:00,
5092022,13:00,14:00,
5092022,14:00,15:00,
5092022,15:00,16:00,
5092022,16:00,17:00,
5092022,17:00,18:00,
5092022,18:00,19:00,
5092022,19:00,20:00,
5092022,20:00,21:00,
5092022,21:00,22:00,
5092022,22:00,23:00,
5092022,23:00,00:00,
6092022,00:00,01:00,
6092022,01:00,02:00,
6092022,02:00,03:00,
6092022,03:00,04:00,
6092022,04:00,05:00,
6092022,05:00,06:00,
6092022,06:00,07:00,
6092022,07:00,08:00,
6092022,08:00,09:00,
6092022,09:00,10:00,
6092022,10:00,11:00,
6092022,11:00,12:00,
6092022,12:00,13:00,
6092022,13:00,14:00,
6092022,14:00,15:00,
6092022,15:00,16:00,
6092022,16:00,17:00,
6092022,17:00,18:00,
6092022,18:00,19:00,
6092022,19:00,20:00,
6092022,20:00,21:00,
6092022,21:00,22:00,
6092022,22:00,23:00,
6092022,23:00,00:00,
7092022,00:00,01:00,
7092022,01:00,02:00,
7092022,02:00,03:00,
7092022,03:00,04:00,
7092022,04:00,05:00,
7092022,05:00,06:00,
7092022,06:00,07:00,
7092022,07:00,08:00,
7092022,08:00,09:00,
7092022,09:00,10:00,
7092022,10:00,11:00,
7092022,11:00,12:00,
7092022,12:00,13:00,
7092022,13:00,14:00,
7092022,14:00,15:00,
7092022,15:00,16:00,
7092022,16:00,17:00,
7092022,17:00,18:00,
7092022,18:00,19:00,
7092022,19:00,20:00,
7092022,20:00,21:00,
7092022,21:00,22:00,
7092022,22:00,23:00,
7092022,23:00,00:00,
8092022,00:00,01:00,
8092022,01:00,02:00,
8092022,02:00,03:00,
8092022,03:00,04:00,
8092022,04:00,05:00,
8092022,05:00,06:00,
8092022,06:00,07:00,
8092022,07:00,08:00,
8092022,08:00,09:00,
8092022,09:00,10:00,
8092022,10:00,11:00,
8092022,11:00,12:00,
8092022,12:00,13:00,
8092022,13:00,14:00,
8092022,14:00,15:00,
8092022,15:00,16:00,
8092022,16:00,17:00,
8092022,17:00,18:00,
8092022,18:00,19:00,
8092022,19:00,20:00,
8092022,20:00,21:00,
8092022,21:00,22:00,
8092022,22:00,23:00,
8092022,23:00,00:00,
9092022,00:00,01:00,
9092022,01:00,02:00,
9092022,02:00,03:00,
9092022,03:00,04:00,
9092022,04:00,05:00,
9092022,05:00,06:00,
9092022,06:00,07:00,
9092022,07:00,08:00,
9092022,08:00,09:00,
9092022,09:00,10:00,
9092022,10:00,11:00,
9092022,11:00,12:00,
9092022,12:00,13:00,
9092022,13:00,14:00,
9092022,14:00,15:00,
9092022,15:00,16:00,
9092022,16:00,17:00,
9092022,17:00,18:00,
9092022,18:00,19:00,
9092022,19:00,20:00,
9092022,20:00,21:00,
9092022,21:00,22:00,
9092022,22:00,23:00,
9092022,23:00,00:00,
10092022,00:00,01:00,
10092022,01:00,02:00,
10092022,02:00,03:00,
10092022,03:00,04:00,
10092022,04:00,05:00,
10092022,05:00,06:00,
10092022,06:00,07:00,
10092022,07:00,08:00,
10092022,08:00,09:00,
10092022,09:00,10:00,
10092022,10:00,11:00,
10092022,11:00,12:00,
10092022,12:00,13:00,
10092022,13:00,14:00,
10092022,14:00,15:00,
10092022,15:00,16:00,
10092022,16:00,17:00,
10092022,17:00,18:00,
10092022,18:00,19:00,
10092022,19:00,20:00,
10092022,20:00,21:00,
10092022,21:00,22:00,
10092022,22:00,23:00,
10092022,23:00,00:00,
11092022,00:00,01:00,0.0
11092022,01:00,02:00,0.0
11092022,02:00,03:00,0.0
11092022,03:00,04:00,0.0
11092022,04:00,05:00,0.0
11092022,05:00,06:00,0.0
11092022,06:00,07:00,0.0
11092022,07:00,08:00,0.0
11092022,08:00,09:00,0.0
11092022,09:00,10:00,0.0
11092022,10:00,11:00,0.0
11092022,11:00,12:00,0.0
11092022,12:00,13:00,0.0
11092022,13:00,14:00,0.0
11092022,14:00,15:00,0.0
11092022,15:00,16:00,0.0
11092022,16:00,17:00,0.0
11092022,17:00,18:00,0.0
11092022,18:00,19:00,0.0
11092022,19:00,20:00,0.0
11092022,20:00,21:00,0.0
11092022,21:00,22:00,0.0
11092022,22:00,23:00,0.0
11092022,23:00,00:00,0.0
