date,start,end,11WD8REUT5X---CX
1012016,00:00,01:00,75
1012016,01:00,02:00,75
1012016,02:00,03:00,75
1012016,03:00,04:00,74
1012016,04:00,05:00,74
1012016,05:00,06:00,74
1012016,06:00,07:00,74
1012016,07:00,08:00,75
1012016,08:00,09:00,75
1012016,09:00,10:00,74
1012016,10:00,11:00,75
1012016,11:00,12:00,75
1012016,12:00,13:00,75
1012016,13:00,14:00,74
1012016,14:00,15:00,74
1012016,15:00,16:00,74
1012016,16:00,17:00,74
1012016,17:00,18:00,80
1012016,18:00,19:00,84
1012016,19:00,20:00,84
1012016,20:00,21:00,84
1012016,21:00,22:00,84
1012016,22:00,23:00,84
1012016,23:00,00:00,85
2012016,00:00,01:00,85
2012016,01:00,02:00,84
2012016,02:00,03:00,84
2012016,03:00,04:00,84
2012016,04:00,05:00,82
2012016,05:00,06:00,79
2012016,06:00,07:00,80
2012016,07:00,08:00,79
2012016,08:00,09:00,79
2012016,09:00,10:00,79
2012016,10:00,11:00,80
2012016,11:00,12:00,79
2012016,12:00,13:00,80
2012016,13:00,14:00,79
2012016,14:00,15:00,79
2012016,15:00,16:00,76
2012016,16:00,17:00,74
2012016,17:00,18:00,75
2012016,18:00,19:00,75
2012016,19:00,20:00,75
2012016,20:00,21:00,75
2012016,21:00,22:00,75
2012016,22:00,23:00,75
2012016,23:00,00:00,75
3012016,00:00,01:00,75
3012016,01:00,02:00,74
3012016,02:00,03:00,75
3012016,03:00,04:00,74
3012016,04:00,05:00,74
3012016,05:00,06:00,74
3012016,06:00,07:00,74
3012016,07:00,08:00,75
3012016,08:00,09:00,74
3012016,09:00,10:00,75
3012016,10:00,11:00,80
3012016,11:00,12:00,80
3012016,12:00,13:00,81
3012016,13:00,14:00,84
3012016,14:00,15:00,83
3012016,15:00,16:00,83
3012016,16:00,17:00,84
3012016,17:00,18:00,84
3012016,18:00,19:00,85
3012016,19:00,20:00,84
3012016,20:00,21:00,84
3012016,21:00,22:00,84
3012016,22:00,23:00,84
3012016,23:00,00:00,84
4012016,00:00,01:00,84
4012016,01:00,02:00,84
4012016,02:00,03:00,85
4012016,03:00,04:00,84
4012016,04:00,05:00,84
4012016,05:00,06:00,84
4012016,06:00,07:00,84
4012016,07:00,08:00,84
4012016,08:00,09:00,84
4012016,09:00,10:00,84
4012016,10:00,11:00,84
4012016,11:00,12:00,84
4012016,12:00,13:00,84
4012016,13:00,14:00,84
4012016,14:00,15:00,84
4012016,15:00,16:00,84
4012016,16:00,17:00,84
4012016,17:00,18:00,83
4012016,18:00,19:00,84
4012016,19:00,20:00,84
4012016,20:00,21:00,83
4012016,21:00,22:00,83
4012016,22:00,23:00,84
4012016,23:00,00:00,84
5012016,00:00,01:00,81
5012016,01:00,02:00,79
5012016,02:00,03:00,80
5012016,03:00,04:00,79
5012016,04:00,05:00,80
5012016,05:00,06:00,79
5012016,06:00,07:00,79
5012016,07:00,08:00,79
