Timestamp,11WD2S2610001015,11WD2S262000102W,11WD2S260000100F
2019-01-01 00:00:00,79,0,28
2019-01-01 01:00:00,68,0,27
2019-01-01 02:00:00,63,0,0
2019-01-01 03:00:00,66,0,0
2019-01-01 04:00:00,73,0,0
2019-01-01 05:00:00,69,0,0
2019-01-01 06:00:00,71,0,0
2019-01-01 07:00:00,73,0,0
2019-01-01 08:00:00,62,0,0
2019-01-01 09:00:00,62,0,0
2019-01-01 10:00:00,61,0,0
2019-01-01 11:00:00,61,0,0
2019-01-01 12:00:00,66,0,0
2019-01-01 13:00:00,65,0,0
2019-01-01 14:00:00,69,0,0
2019-01-01 15:00:00,70,0,0
2019-01-01 16:00:00,69,0,0
2019-01-01 17:00:00,69,0,0
2019-01-01 18:00:00,69,0,0
2019-01-01 19:00:00,69,0,0
2019-01-01 20:00:00,69,0,0
2019-01-01 21:00:00,69,0,0
2019-01-01 22:00:00,80,0,0
2019-01-01 23:00:00,65,0,0
2019-01-02 00:00:00,58,0,0
2019-01-02 01:00:00,60,0,0
2019-01-02 02:00:00,61,0,0
2019-01-02 03:00:00,59,0,0
2019-01-02 04:00:00,65,0,0
2019-01-02 05:00:00,70,0,12
2019-01-02 06:00:00,72,0,28
2019-01-02 07:00:00,75,47,42
2019-01-02 08:00:00,106,102,85
2019-01-02 09:00:00,106,98,81
2019-01-02 10:00:00,106,95,81
2019-01-02 11:00:00,107,96,84
2019-01-02 12:00:00,108,97,87
2019-01-02 13:00:00,111,103,93
2019-01-02 14:00:00,110,107,74
2019-01-02 15:00:00,111,102,59
2019-01-02 16:00:00,110,106,79
2019-01-02 17:00:00,111,109,89
2019-01-02 18:00:00,112,109,90
2019-01-02 19:00:00,112,107,99
2019-01-02 20:00:00,113,112,100
2019-01-02 21:00:00,113,114,93
2019-01-02 22:00:00,106,105,89
2019-01-02 23:00:00,96,94,75
2019-01-03 00:00:00,98,97,73
2019-01-03 01:00:00,95,94,72
2019-01-03 02:00:00,95,94,71
2019-01-03 03:00:00,95,93,71
2019-01-03 04:00:00,111,110,79
2019-01-03 05:00:00,113,111,97
2019-01-03 06:00:00,113,111,105
2019-01-03 07:00:00,112,109,103
2019-01-03 08:00:00,110,108,98
2019-01-03 09:00:00,109,107,96
2019-01-03 10:00:00,109,107,96
2019-01-03 11:00:00,109,107,94
2019-01-03 12:00:00,109,107,94
2019-01-03 13:00:00,110,110,99
2019-01-03 14:00:00,111,111,101
2019-01-03 15:00:00,113,113,104
2019-01-03 16:00:00,113,113,109
2019-01-03 17:00:00,113,113,114
2019-01-03 18:00:00,113,113,111
2019-01-03 19:00:00,113,113,106
2019-01-03 20:00:00,113,113,92
2019-01-03 21:00:00,113,114,83
2019-01-03 22:00:00,113,113,100
2019-01-03 23:00:00,113,113,90
2019-01-04 00:00:00,105,104,79
2019-01-04 01:00:00,99,97,77
2019-01-04 02:00:00,99,97,77
2019-01-04 03:00:00,102,101,83
2019-01-04 04:00:00,113,111,100
2019-01-04 05:00:00,114,112,104
2019-01-04 06:00:00,112,110,99
2019-01-04 07:00:00,110,108,96
2019-01-04 08:00:00,109,107,96
2019-01-04 09:00:00,110,109,97
2019-01-04 10:00:00,109,108,99
