Timestamp,11WD2WBW1000039N,11WD2WBW2000040U
2016-01-01 00:00:00,40,40
2016-01-01 01:00:00,39,39
2016-01-01 02:00:00,40,40
2016-01-01 03:00:00,38,38
2016-01-01 04:00:00,37,36
2016-01-01 05:00:00,40,40
2016-01-01 06:00:00,39,44
2016-01-01 07:00:00,38,41
2016-01-01 08:00:00,39,42
2016-01-01 09:00:00,38,41
2016-01-01 10:00:00,38,41
2016-01-01 11:00:00,39,40
2016-01-01 12:00:00,39,38
2016-01-01 13:00:00,39,38
2016-01-01 14:00:00,60,37
2016-01-01 15:00:00,63,38
2016-01-01 16:00:00,63,42
2016-01-01 17:00:00,57,47
2016-01-01 18:00:00,65,42
2016-01-01 19:00:00,62,43
2016-01-01 20:00:00,63,42
2016-01-01 21:00:00,60,42
2016-01-01 22:00:00,60,41
2016-01-01 23:00:00,59,42
2016-01-02 00:00:00,56,41
2016-01-02 01:00:00,57,42
2016-01-02 02:00:00,57,42
2016-01-02 03:00:00,56,42
2016-01-02 04:00:00,57,42
2016-01-02 05:00:00,57,42
2016-01-02 06:00:00,66,42
2016-01-02 07:00:00,73,42
2016-01-02 08:00:00,69,58
2016-01-02 09:00:00,64,62
2016-01-02 10:00:00,59,58
2016-01-02 11:00:00,49,58
2016-01-02 12:00:00,50,58
2016-01-02 13:00:00,50,58
2016-01-02 14:00:00,54,56
2016-01-02 15:00:00,55,53
2016-01-02 16:00:00,60,59
2016-01-02 17:00:00,83,83
2016-01-02 18:00:00,88,89
2016-01-02 19:00:00,86,89
2016-01-02 20:00:00,84,65
2016-01-02 21:00:00,61,60
2016-01-02 22:00:00,67,71
2016-01-02 23:00:00,61,61
2016-01-03 00:00:00,62,61
2016-01-03 01:00:00,61,62
2016-01-03 02:00:00,62,61
2016-01-03 03:00:00,61,60
2016-01-03 04:00:00,62,63
2016-01-03 05:00:00,66,66
2016-01-03 06:00:00,67,68
2016-01-03 07:00:00,66,77
2016-01-03 08:00:00,66,75
2016-01-03 09:00:00,65,76
2016-01-03 10:00:00,66,77
2016-01-03 11:00:00,66,76
2016-01-03 12:00:00,66,80
2016-01-03 13:00:00,65,74
2016-01-03 14:00:00,75,90
2016-01-03 15:00:00,58,79
2016-01-03 16:00:00,66,92
2016-01-03 17:00:00,71,103
2016-01-03 18:00:00,70,80
2016-01-03 19:00:00,71,88
2016-01-03 20:00:00,65,79
2016-01-03 21:00:00,61,75
2016-01-03 22:00:00,61,64
2016-01-03 23:00:00,61,69
2016-01-04 00:00:00,63,71
2016-01-04 01:00:00,66,75
2016-01-04 02:00:00,60,71
2016-01-04 03:00:00,75,86
2016-01-04 04:00:00,80,83
2016-01-04 05:00:00,74,74
2016-01-04 06:00:00,77,80
2016-01-04 07:00:00,91,89
2016-01-04 08:00:00,84,83
2016-01-04 09:00:00,84,83
2016-01-04 10:00:00,79,75
2016-01-04 11:00:00,79,74
2016-01-04 12:00:00,76,74
2016-01-04 13:00:00,81,80
2016-01-04 14:00:00,79,77
2016-01-04 15:00:00,73,72
2016-01-04 16:00:00,70,69
2016-01-04 17:00:00,70,69
2016-01-04 18:00:00,72,68
2016-01-04 19:00:00,65,71
2016-01-04 20:00:00,61,73
2016-01-04 21:00:00,61,72
2016-01-04 22:00:00,61,64
2016-01-04 23:00:00,61,62
2016-01-05 00:00:00,61,61
2016-01-05 01:00:00,63,62
2016-01-05 02:00:00,54,72
2016-01-05 03:00:00,61,69
2016-01-05 04:00:00,55,68
2016-01-05 05:00:00,58,67
2016-01-05 06:00:00,72,70
2016-01-05 07:00:00,86,83
2016-01-05 08:00:00,90,83
2016-01-05 09:00:00,93,83
2016-01-05 10:00:00,92,83
2016-01-05 11:00:00,98,85
2016-01-05 12:00:00,93,89
2016-01-05 13:00:00,93,92
2016-01-05 14:00:00,92,89
2016-01-05 15:00:00,86,85
2016-01-05 16:00:00,82,80
2016-01-05 17:00:00,97,97
2016-01-05 18:00:00,85,81
2016-01-05 19:00:00,84,89
2016-01-05 20:00:00,84,84
2016-01-05 21:00:00,80,79
2016-01-05 22:00:00,69,69
2016-01-05 23:00:00,68,68
2016-01-06 00:00:00,70,72
2016-01-06 01:00:00,70,77
2016-01-06 02:00:00,70,76
2016-01-06 03:00:00,70,77
2016-01-06 04:00:00,70,77
2016-01-06 05:00:00,70,77
2016-01-06 06:00:00,78,83
2016-01-06 07:00:00,92,96
2016-01-06 08:00:00,100,98
2016-01-06 09:00:00,101,101
2016-01-06 10:00:00,103,95
2016-01-06 11:00:00,106,97
2016-01-06 12:00:00,100,98
2016-01-06 13:00:00,104,104
2016-01-06 14:00:00,100,96
2016-01-06 15:00:00,94,92
2016-01-06 16:00:00,90,90
2016-01-06 17:00:00,87,87
2016-01-06 18:00:00,86,87
2016-01-06 19:00:00,88,88
2016-01-06 20:00:00,84,82
2016-01-06 21:00:00,66,97
2016-01-06 22:00:00,67,82
2016-01-06 23:00:00,74,77
2016-01-07 00:00:00,75,70
2016-01-07 01:00:00,75,72
2016-01-07 02:00:00,73,70
2016-01-07 03:00:00,75,75
