date,start,end,11WD7HERN2S--4-X
1012019,00:00,01:00,131.0
1012019,01:00,02:00,127.0
1012019,02:00,03:00,123.0
1012019,03:00,04:00,131.0
1012019,04:00,05:00,132.0
1012019,05:00,06:00,126.0
1012019,06:00,07:00,125.0
1012019,07:00,08:00,126.0
1012019,08:00,09:00,124.0
1012019,09:00,10:00,124.0
1012019,10:00,11:00,124.0
1012019,11:00,12:00,125.0
1012019,12:00,13:00,125.0
1012019,13:00,14:00,126.0
1012019,14:00,15:00,126.0
1012019,15:00,16:00,126.0
1012019,16:00,17:00,126.0
1012019,17:00,18:00,129.0
1012019,18:00,19:00,132.0
1012019,19:00,20:00,145.0
1012019,20:00,21:00,144.0
1012019,21:00,22:00,144.0
1012019,22:00,23:00,134.0
1012019,23:00,00:00,99.0
2012019,00:00,01:00,114.0
2012019,01:00,02:00,111.0
2012019,02:00,03:00,110.0
2012019,03:00,04:00,110.0
2012019,04:00,05:00,115.0
2012019,05:00,06:00,150.0
2012019,06:00,07:00,178.0
2012019,07:00,08:00,191.0
2012019,08:00,09:00,200.0
2012019,09:00,10:00,200.0
2012019,10:00,11:00,190.0
2012019,11:00,12:00,180.0
2012019,12:00,13:00,165.0
2012019,13:00,14:00,150.0
2012019,14:00,15:00,159.0
2012019,15:00,16:00,160.0
2012019,16:00,17:00,164.0
2012019,17:00,18:00,186.0
2012019,18:00,19:00,182.0
2012019,19:00,20:00,180.0
2012019,20:00,21:00,180.0
2012019,21:00,22:00,181.0
2012019,22:00,23:00,179.0
2012019,23:00,00:00,118.0
3012019,00:00,01:00,146.0
3012019,01:00,02:00,146.0
3012019,02:00,03:00,146.0
3012019,03:00,04:00,146.0
3012019,04:00,05:00,145.0
3012019,05:00,06:00,148.0
3012019,06:00,07:00,193.0
3012019,07:00,08:00,289.0
3012019,08:00,09:00,264.0
3012019,09:00,10:00,295.0
3012019,10:00,11:00,349.0
3012019,11:00,12:00,389.0
3012019,12:00,13:00,400.0
3012019,13:00,14:00,400.0
3012019,14:00,15:00,400.0
3012019,15:00,16:00,400.0
3012019,16:00,17:00,400.0
3012019,17:00,18:00,395.0
3012019,18:00,19:00,400.0
3012019,19:00,20:00,401.0
3012019,20:00,21:00,402.0
3012019,21:00,22:00,401.0
3012019,22:00,23:00,391.0
3012019,23:00,00:00,276.0
4012019,00:00,01:00,165.0
4012019,01:00,02:00,157.0
4012019,02:00,03:00,143.0
4012019,03:00,04:00,150.0
4012019,04:00,05:00,154.0
4012019,05:00,06:00,182.0
4012019,06:00,07:00,201.0
4012019,07:00,08:00,191.0
4012019,08:00,09:00,191.0
4012019,09:00,10:00,208.0
4012019,10:00,11:00,224.0
4012019,11:00,12:00,233.0
4012019,12:00,13:00,268.0
4012019,13:00,14:00,210.0
4012019,14:00,15:00,190.0
4012019,15:00,16:00,161.0
4012019,16:00,17:00,181.0
4012019,17:00,18:00,228.0
4012019,18:00,19:00,185.0
4012019,19:00,20:00,186.0
4012019,20:00,21:00,211.0
4012019,21:00,22:00,186.0
4012019,22:00,23:00,164.0
4012019,23:00,00:00,160.0
5012019,00:00,01:00,137.0
5012019,01:00,02:00,130.0
5012019,02:00,03:00,130.0
5012019,03:00,04:00,131.0
5012019,04:00,05:00,132.0
5012019,05:00,06:00,151.0
5012019,06:00,07:00,160.0
5012019,07:00,08:00,157.0
5012019,08:00,09:00,160.0
5012019,09:00,10:00,160.0
5012019,10:00,11:00,160.0
5012019,11:00,12:00,161.0
5012019,12:00,13:00,177.0
5012019,13:00,14:00,206.0
5012019,14:00,15:00,156.0
5012019,15:00,16:00,162.0
5012019,16:00,17:00,172.0
5012019,17:00,18:00,199.0
5012019,18:00,19:00,162.0
5012019,19:00,20:00,160.0
5012019,20:00,21:00,160.0
5012019,21:00,22:00,159.0
5012019,22:00,23:00,160.0
5012019,23:00,00:00,159.0
6012019,00:00,01:00,150.0
6012019,01:00,02:00,150.0
6012019,02:00,03:00,150.0
6012019,03:00,04:00,150.0
6012019,04:00,05:00,150.0
6012019,05:00,06:00,150.0
6012019,06:00,07:00,151.0
6012019,07:00,08:00,195.0
6012019,08:00,09:00,201.0
6012019,09:00,10:00,201.0
6012019,10:00,11:00,207.0
6012019,11:00,12:00,270.0
6012019,12:00,13:00,322.0
6012019,13:00,14:00,304.0
6012019,14:00,15:00,243.0
6012019,15:00,16:00,292.0
6012019,16:00,17:00,363.0
6012019,17:00,18:00,391.0
6012019,18:00,19:00,391.0
6012019,19:00,20:00,379.0
6012019,20:00,21:00,269.0
6012019,21:00,22:00,206.0
6012019,22:00,23:00,186.0
6012019,23:00,00:00,167.0
7012019,00:00,01:00,150.0
7012019,01:00,02:00,151.0
7012019,02:00,03:00,150.0
7012019,03:00,04:00,150.0
7012019,04:00,05:00,151.0
7012019,05:00,06:00,193.0
7012019,06:00,07:00,288.0
7012019,07:00,08:00,379.0
7012019,08:00,09:00,380.0
7012019,09:00,10:00,380.0
7012019,10:00,11:00,385.0
7012019,11:00,12:00,392.0
7012019,12:00,13:00,395.0
7012019,13:00,14:00,395.0
7012019,14:00,15:00,395.0
7012019,15:00,16:00,395.0
7012019,16:00,17:00,395.0
7012019,17:00,18:00,395.0
7012019,18:00,19:00,360.0
7012019,19:00,20:00,236.0
7012019,20:00,21:00,167.0
7012019,21:00,22:00,163.0
7012019,22:00,23:00,141.0
7012019,23:00,00:00,89.0
8012019,00:00,01:00,107.0
8012019,01:00,02:00,104.0
8012019,02:00,03:00,105.0
8012019,03:00,04:00,106.0
8012019,04:00,05:00,124.0
8012019,05:00,06:00,155.0
8012019,06:00,07:00,171.0
8012019,07:00,08:00,170.0
8012019,08:00,09:00,184.0
8012019,09:00,10:00,190.0
8012019,10:00,11:00,167.0
8012019,11:00,12:00,151.0
8012019,12:00,13:00,150.0
8012019,13:00,14:00,150.0
8012019,14:00,15:00,150.0
8012019,15:00,16:00,150.0
8012019,16:00,17:00,159.0
8012019,17:00,18:00,160.0
8012019,18:00,19:00,168.0
8012019,19:00,20:00,171.0
8012019,20:00,21:00,162.0
8012019,21:00,22:00,165.0
8012019,22:00,23:00,158.0
8012019,23:00,00:00,105.0
9012019,00:00,01:00,140.0
9012019,01:00,02:00,138.0
9012019,02:00,03:00,124.0
9012019,03:00,04:00,125.0
9012019,04:00,05:00,137.0
9012019,05:00,06:00,165.0
9012019,06:00,07:00,206.0
9012019,07:00,08:00,228.0
9012019,08:00,09:00,237.0
9012019,09:00,10:00,246.0
9012019,10:00,11:00,320.0
9012019,11:00,12:00,368.0
9012019,12:00,13:00,370.0
9012019,13:00,14:00,349.0
9012019,14:00,15:00,312.0
9012019,15:00,16:00,236.0
9012019,16:00,17:00,217.0
9012019,17:00,18:00,296.0
9012019,18:00,19:00,358.0
9012019,19:00,20:00,290.0
9012019,20:00,21:00,267.0
9012019,21:00,22:00,210.0
9012019,22:00,23:00,187.0
9012019,23:00,00:00,165.0
10012019,00:00,01:00,157.0
10012019,01:00,02:00,168.0
10012019,02:00,03:00,150.0
10012019,03:00,04:00,179.0
10012019,04:00,05:00,206.0
10012019,05:00,06:00,266.0
10012019,06:00,07:00,282.0
10012019,07:00,08:00,237.0
10012019,08:00,09:00,341.0
10012019,09:00,10:00,285.0
10012019,10:00,11:00,165.0
10012019,11:00,12:00,0.0
10012019,12:00,13:00,0.0
10012019,13:00,14:00,0.0
10012019,14:00,15:00,0.0
10012019,15:00,16:00,0.0
10012019,16:00,17:00,0.0
10012019,17:00,18:00,0.0
10012019,18:00,19:00,0.0
10012019,19:00,20:00,0.0
10012019,20:00,21:00,0.0
10012019,21:00,22:00,0.0
10012019,22:00,23:00,0.0
10012019,23:00,00:00,0.0
11012019,00:00,01:00,0.0
11012019,01:00,02:00,0.0
11012019,02:00,03:00,0.0
11012019,03:00,04:00,29.0
11012019,04:00,05:00,191.0
11012019,05:00,06:00,218.0
11012019,06:00,07:00,259.0
11012019,07:00,08:00,358.0
11012019,08:00,09:00,370.0
11012019,09:00,10:00,370.0
11012019,10:00,11:00,370.0
11012019,11:00,12:00,370.0
11012019,12:00,13:00,364.0
11012019,13:00,14:00,287.0
11012019,14:00,15:00,214.0
11012019,15:00,16:00,181.0
11012019,16:00,17:00,182.0
11012019,17:00,18:00,203.0
11012019,18:00,19:00,201.0
11012019,19:00,20:00,185.0
11012019,20:00,21:00,180.0
11012019,21:00,22:00,181.0
11012019,22:00,23:00,172.0
11012019,23:00,00:00,152.0
12012019,00:00,01:00,160.0
12012019,01:00,02:00,198.0
12012019,02:00,03:00,165.0
12012019,03:00,04:00,182.0
12012019,04:00,05:00,186.0
12012019,05:00,06:00,180.0
12012019,06:00,07:00,191.0
12012019,07:00,08:00,181.0
12012019,08:00,09:00,179.0
12012019,09:00,10:00,179.0
12012019,10:00,11:00,200.0
12012019,11:00,12:00,201.0
12012019,12:00,13:00,200.0
12012019,13:00,14:00,199.0
12012019,14:00,15:00,190.0
12012019,15:00,16:00,180.0
12012019,16:00,17:00,188.0
12012019,17:00,18:00,191.0
12012019,18:00,19:00,191.0
12012019,19:00,20:00,190.0
12012019,20:00,21:00,191.0
12012019,21:00,22:00,181.0
12012019,22:00,23:00,169.0
12012019,23:00,00:00,153.0
13012019,00:00,01:00,121.0
13012019,01:00,02:00,111.0
13012019,02:00,03:00,111.0
13012019,03:00,04:00,111.0
13012019,04:00,05:00,122.0
13012019,05:00,06:00,136.0
13012019,06:00,07:00,156.0
13012019,07:00,08:00,162.0
13012019,08:00,09:00,150.0
13012019,09:00,10:00,150.0
