date,start,end,11WD7IBBE2S--B-P
1012017,00:00,01:00,785.0
1012017,01:00,02:00,786.0
1012017,02:00,03:00,785.0
1012017,03:00,04:00,786.0
1012017,04:00,05:00,786.0
1012017,05:00,06:00,763.0
1012017,06:00,07:00,438.0
1012017,07:00,08:00,431.0
1012017,08:00,09:00,429.0
1012017,09:00,10:00,430.0
1012017,10:00,11:00,597.0
1012017,11:00,12:00,768.0
1012017,12:00,13:00,651.0
1012017,13:00,14:00,629.0
1012017,14:00,15:00,754.0
1012017,15:00,16:00,759.0
1012017,16:00,17:00,759.0
1012017,17:00,18:00,758.0
1012017,18:00,19:00,759.0
1012017,19:00,20:00,759.0
1012017,20:00,21:00,760.0
1012017,21:00,22:00,760.0
1012017,22:00,23:00,760.0
1012017,23:00,00:00,759.0
2012017,00:00,01:00,760.0
2012017,01:00,02:00,626.0
2012017,02:00,03:00,478.0
2012017,03:00,04:00,462.0
2012017,04:00,05:00,525.0
2012017,05:00,06:00,780.0
2012017,06:00,07:00,786.0
2012017,07:00,08:00,784.0
2012017,08:00,09:00,786.0
2012017,09:00,10:00,785.0
2012017,10:00,11:00,786.0
2012017,11:00,12:00,785.0
2012017,12:00,13:00,786.0
2012017,13:00,14:00,785.0
2012017,14:00,15:00,785.0
2012017,15:00,16:00,786.0
2012017,16:00,17:00,786.0
2012017,17:00,18:00,784.0
2012017,18:00,19:00,785.0
2012017,19:00,20:00,785.0
2012017,20:00,21:00,785.0
2012017,21:00,22:00,787.0
2012017,22:00,23:00,784.0
2012017,23:00,00:00,786.0
3012017,00:00,01:00,785.0
3012017,01:00,02:00,786.0
3012017,02:00,03:00,721.0
3012017,03:00,04:00,784.0
3012017,04:00,05:00,785.0
3012017,05:00,06:00,784.0
3012017,06:00,07:00,786.0
3012017,07:00,08:00,785.0
3012017,08:00,09:00,790.0
3012017,09:00,10:00,782.0
3012017,10:00,11:00,785.0
3012017,11:00,12:00,787.0
3012017,12:00,13:00,782.0
3012017,13:00,14:00,787.0
3012017,14:00,15:00,784.0
3012017,15:00,16:00,787.0
3012017,16:00,17:00,745.0
3012017,17:00,18:00,776.0
3012017,18:00,19:00,785.0
3012017,19:00,20:00,786.0
3012017,20:00,21:00,568.0
3012017,21:00,22:00,145.0
3012017,22:00,23:00,129.0
3012017,23:00,00:00,129.0
4012017,00:00,01:00,130.0
4012017,01:00,02:00,131.0
4012017,02:00,03:00,130.0
4012017,03:00,04:00,130.0
4012017,04:00,05:00,132.0
4012017,05:00,06:00,166.0
4012017,06:00,07:00,552.0
4012017,07:00,08:00,784.0
4012017,08:00,09:00,783.0
4012017,09:00,10:00,783.0
4012017,10:00,11:00,784.0
4012017,11:00,12:00,784.0
4012017,12:00,13:00,784.0
4012017,13:00,14:00,782.0
4012017,14:00,15:00,783.0
4012017,15:00,16:00,784.0
4012017,16:00,17:00,784.0
4012017,17:00,18:00,783.0
4012017,18:00,19:00,784.0
4012017,19:00,20:00,784.0
4012017,20:00,21:00,786.0
4012017,21:00,22:00,783.0
4012017,22:00,23:00,783.0
4012017,23:00,00:00,782.0
5012017,00:00,01:00,786.0
5012017,01:00,02:00,783.0
5012017,02:00,03:00,784.0
5012017,03:00,04:00,782.0
5012017,04:00,05:00,785.0
5012017,05:00,06:00,788.0
5012017,06:00,07:00,782.0
5012017,07:00,08:00,788.0
5012017,08:00,09:00,783.0
5012017,09:00,10:00,785.0
5012017,10:00,11:00,784.0
5012017,11:00,12:00,785.0
5012017,12:00,13:00,784.0
5012017,13:00,14:00,786.0
5012017,14:00,15:00,784.0
5012017,15:00,16:00,785.0
5012017,16:00,17:00,783.0
5012017,17:00,18:00,786.0
5012017,18:00,19:00,785.0
5012017,19:00,20:00,786.0
5012017,20:00,21:00,784.0
5012017,21:00,22:00,784.0
5012017,22:00,23:00,785.0
5012017,23:00,00:00,785.0
6012017,00:00,01:00,784.0
6012017,01:00,02:00,786.0
6012017,02:00,03:00,784.0
6012017,03:00,04:00,787.0
6012017,04:00,05:00,784.0
6012017,05:00,06:00,785.0
6012017,06:00,07:00,784.0
6012017,07:00,08:00,787.0
6012017,08:00,09:00,784.0
6012017,09:00,10:00,784.0
6012017,10:00,11:00,788.0
6012017,11:00,12:00,784.0
6012017,12:00,13:00,786.0
6012017,13:00,14:00,785.0
6012017,14:00,15:00,784.0
6012017,15:00,16:00,786.0
6012017,16:00,17:00,786.0
6012017,17:00,18:00,783.0
6012017,18:00,19:00,786.0
6012017,19:00,20:00,784.0
6012017,20:00,21:00,785.0
6012017,21:00,22:00,785.0
6012017,22:00,23:00,783.0
6012017,23:00,00:00,785.0
7012017,00:00,01:00,783.0
7012017,01:00,02:00,785.0
7012017,02:00,03:00,784.0
7012017,03:00,04:00,783.0
7012017,04:00,05:00,785.0
7012017,05:00,06:00,783.0
7012017,06:00,07:00,786.0
7012017,07:00,08:00,784.0
7012017,08:00,09:00,785.0
7012017,09:00,10:00,786.0
7012017,10:00,11:00,784.0
7012017,11:00,12:00,785.0
7012017,12:00,13:00,784.0
7012017,13:00,14:00,784.0
7012017,14:00,15:00,786.0
7012017,15:00,16:00,784.0
7012017,16:00,17:00,784.0
7012017,17:00,18:00,784.0
7012017,18:00,19:00,785.0
7012017,19:00,20:00,785.0
7012017,20:00,21:00,786.0
7012017,21:00,22:00,786.0
7012017,22:00,23:00,784.0
7012017,23:00,00:00,785.0
8012017,00:00,01:00,785.0
8012017,01:00,02:00,784.0
8012017,02:00,03:00,785.0
8012017,03:00,04:00,784.0
8012017,04:00,05:00,785.0
8012017,05:00,06:00,785.0
8012017,06:00,07:00,784.0
8012017,07:00,08:00,786.0
8012017,08:00,09:00,787.0
8012017,09:00,10:00,785.0
8012017,10:00,11:00,785.0
8012017,11:00,12:00,786.0
8012017,12:00,13:00,785.0
8012017,13:00,14:00,785.0
8012017,14:00,15:00,785.0
8012017,15:00,16:00,786.0
8012017,16:00,17:00,785.0
8012017,17:00,18:00,785.0
8012017,18:00,19:00,785.0
8012017,19:00,20:00,785.0
8012017,20:00,21:00,785.0
8012017,21:00,22:00,786.0
8012017,22:00,23:00,784.0
8012017,23:00,00:00,785.0
9012017,00:00,01:00,785.0
9012017,01:00,02:00,784.0
9012017,02:00,03:00,785.0
9012017,03:00,04:00,784.0
9012017,04:00,05:00,783.0
9012017,05:00,06:00,783.0
9012017,06:00,07:00,784.0
9012017,07:00,08:00,784.0
9012017,08:00,09:00,784.0
9012017,09:00,10:00,784.0
9012017,10:00,11:00,784.0
9012017,11:00,12:00,784.0
9012017,12:00,13:00,782.0
9012017,13:00,14:00,783.0
9012017,14:00,15:00,783.0
9012017,15:00,16:00,784.0
9012017,16:00,17:00,782.0
9012017,17:00,18:00,784.0
9012017,18:00,19:00,782.0
9012017,19:00,20:00,784.0
9012017,20:00,21:00,780.0
9012017,21:00,22:00,511.0
9012017,22:00,23:00,491.0
9012017,23:00,00:00,504.0
10012017,00:00,01:00,595.0
10012017,01:00,02:00,440.0
10012017,02:00,03:00,432.0
10012017,03:00,04:00,432.0
10012017,04:00,05:00,433.0
10012017,05:00,06:00,493.0
10012017,06:00,07:00,772.0
10012017,07:00,08:00,783.0
10012017,08:00,09:00,782.0
10012017,09:00,10:00,783.0
10012017,10:00,11:00,784.0
10012017,11:00,12:00,784.0
10012017,12:00,13:00,782.0
10012017,13:00,14:00,784.0
10012017,14:00,15:00,784.0
10012017,15:00,16:00,785.0
10012017,16:00,17:00,783.0
10012017,17:00,18:00,783.0
10012017,18:00,19:00,784.0
10012017,19:00,20:00,783.0
10012017,20:00,21:00,785.0
10012017,21:00,22:00,782.0
10012017,22:00,23:00,783.0
10012017,23:00,00:00,783.0
11012017,00:00,01:00,758.0
11012017,01:00,02:00,758.0
11012017,02:00,03:00,695.0
11012017,03:00,04:00,752.0
11012017,04:00,05:00,756.0
