date,start,end,11W0-0000-0163-M
 [MW] Original resolutions,,,
01.01.2021,00:00,01:00,179.0
01.01.2021,01:00,02:00,179.0
01.01.2021,02:00,03:00,179.0
01.01.2021,03:00,04:00,180.0
01.01.2021,04:00,05:00,179.0
01.01.2021,05:00,06:00,179.0
01.01.2021,06:00,07:00,179.0
01.01.2021,07:00,08:00,179.0
01.01.2021,08:00,09:00,179.0
01.01.2021,09:00,10:00,179.0
01.01.2021,10:00,11:00,179.0
01.01.2021,11:00,12:00,179.0
01.01.2021,12:00,13:00,179.0
01.01.2021,13:00,14:00,179.0
01.01.2021,14:00,15:00,179.0
01.01.2021,15:00,16:00,179.0
01.01.2021,16:00,17:00,179.0
01.01.2021,17:00,18:00,179.0
01.01.2021,18:00,19:00,179.0
01.01.2021,19:00,20:00,179.0
01.01.2021,20:00,21:00,179.0
01.01.2021,21:00,22:00,179.0
01.01.2021,22:00,23:00,179.0
01.01.2021,23:00,00:00,179.0
02.01.2021,00:00,01:00,180.0
02.01.2021,01:00,02:00,180.0
02.01.2021,02:00,03:00,176.0
02.01.2021,03:00,04:00,179.0
02.01.2021,04:00,05:00,180.0
02.01.2021,05:00,06:00,179.0
02.01.2021,06:00,07:00,179.0
02.01.2021,07:00,08:00,180.0
02.01.2021,08:00,09:00,179.0
02.01.2021,09:00,10:00,173.0
02.01.2021,10:00,11:00,169.0
02.01.2021,11:00,12:00,171.0
02.01.2021,12:00,13:00,170.0
02.01.2021,13:00,14:00,169.0
02.01.2021,14:00,15:00,169.0
02.01.2021,15:00,16:00,171.0
02.01.2021,16:00,17:00,170.0
02.01.2021,17:00,18:00,179.0
02.01.2021,18:00,19:00,186.0
02.01.2021,19:00,20:00,189.0
02.01.2021,20:00,21:00,188.0
02.01.2021,21:00,22:00,179.0
02.01.2021,22:00,23:00,189.0
02.01.2021,23:00,00:00,189.0
03.01.2021,00:00,01:00,189.0
03.01.2021,01:00,02:00,189.0
03.01.2021,02:00,03:00,179.0
03.01.2021,03:00,04:00,164.0
03.01.2021,04:00,05:00,156.0
03.01.2021,05:00,06:00,133.0
03.01.2021,06:00,07:00,47.0
03.01.2021,07:00,08:00,77.0
03.01.2021,08:00,09:00,179.0
03.01.2021,09:00,10:00,189.0
03.01.2021,10:00,11:00,189.0
03.01.2021,11:00,12:00,188.0
03.01.2021,12:00,13:00,188.0
03.01.2021,13:00,14:00,189.0
03.01.2021,14:00,15:00,189.0
03.01.2021,15:00,16:00,188.0
03.01.2021,16:00,17:00,188.0
03.01.2021,17:00,18:00,188.0
03.01.2021,18:00,19:00,189.0
03.01.2021,19:00,20:00,188.0
03.01.2021,20:00,21:00,188.0
03.01.2021,21:00,22:00,188.0
03.01.2021,22:00,23:00,189.0
03.01.2021,23:00,00:00,189.0
04.01.2021,00:00,01:00,189.0
04.01.2021,01:00,02:00,189.0
04.01.2021,02:00,03:00,189.0
04.01.2021,03:00,04:00,189.0
04.01.2021,04:00,05:00,189.0
04.01.2021,05:00,06:00,189.0
04.01.2021,06:00,07:00,188.0
04.01.2021,07:00,08:00,188.0
04.01.2021,08:00,09:00,188.0
04.01.2021,09:00,10:00,180.0
04.01.2021,10:00,11:00,180.0
04.01.2021,11:00,12:00,177.0
04.01.2021,12:00,13:00,188.0
04.01.2021,13:00,14:00,189.0
04.01.2021,14:00,15:00,179.0
04.01.2021,15:00,16:00,179.0
04.01.2021,16:00,17:00,179.0
04.01.2021,17:00,18:00,179.0
04.01.2021,18:00,19:00,176.0
04.01.2021,19:00,20:00,171.0
04.01.2021,20:00,21:00,166.0
04.01.2021,21:00,22:00,160.0
04.01.2021,22:00,23:00,160.0
04.01.2021,23:00,00:00,179.0
05.01.2021,00:00,01:00,179.0
05.01.2021,01:00,02:00,179.0
05.01.2021,02:00,03:00,179.0
05.01.2021,03:00,04:00,179.0
05.01.2021,04:00,05:00,179.0
05.01.2021,05:00,06:00,179.0
05.01.2021,06:00,07:00,179.0
05.01.2021,07:00,08:00,179.0
05.01.2021,08:00,09:00,175.0
05.01.2021,09:00,10:00,179.0
05.01.2021,10:00,11:00,169.0
05.01.2021,11:00,12:00,169.0
05.01.2021,12:00,13:00,161.0
05.01.2021,13:00,14:00,169.0
05.01.2021,14:00,15:00,170.0
05.01.2021,15:00,16:00,170.0
05.01.2021,16:00,17:00,170.0
05.01.2021,17:00,18:00,170.0
05.01.2021,18:00,19:00,164.0
05.01.2021,19:00,20:00,169.0
05.01.2021,20:00,21:00,170.0
05.01.2021,21:00,22:00,170.0
05.01.2021,22:00,23:00,170.0
05.01.2021,23:00,00:00,168.0
06.01.2021,00:00,01:00,165.0
06.01.2021,01:00,02:00,170.0
06.01.2021,02:00,03:00,170.0
06.01.2021,03:00,04:00,170.0
06.01.2021,04:00,05:00,160.0
06.01.2021,05:00,06:00,166.0
06.01.2021,06:00,07:00,169.0
06.01.2021,07:00,08:00,170.0
06.01.2021,08:00,09:00,166.0
06.01.2021,09:00,10:00,170.0
06.01.2021,10:00,11:00,164.0
06.01.2021,11:00,12:00,166.0
06.01.2021,12:00,13:00,174.0
06.01.2021,13:00,14:00,179.0
06.01.2021,14:00,15:00,179.0
06.01.2021,15:00,16:00,179.0
06.01.2021,16:00,17:00,179.0
06.01.2021,17:00,18:00,184.0
06.01.2021,18:00,19:00,189.0
06.01.2021,19:00,20:00,189.0
06.01.2021,20:00,21:00,189.0
06.01.2021,21:00,22:00,189.0
06.01.2021,22:00,23:00,189.0
06.01.2021,23:00,00:00,189.0
07.01.2021,00:00,01:00,179.0
07.01.2021,01:00,02:00,179.0
07.01.2021,02:00,03:00,179.0
07.01.2021,03:00,04:00,180.0
07.01.2021,04:00,05:00,179.0
07.01.2021,05:00,06:00,179.0
07.01.2021,06:00,07:00,179.0
07.01.2021,07:00,08:00,179.0
07.01.2021,08:00,09:00,179.0
07.01.2021,09:00,10:00,179.0
07.01.2021,10:00,11:00,179.0
07.01.2021,11:00,12:00,179.0
07.01.2021,12:00,13:00,179.0
07.01.2021,13:00,14:00,174.0
07.01.2021,14:00,15:00,170.0
07.01.2021,15:00,16:00,170.0
07.01.2021,16:00,17:00,179.0
07.01.2021,17:00,18:00,179.0
07.01.2021,18:00,19:00,179.0
07.01.2021,19:00,20:00,179.0
07.01.2021,20:00,21:00,179.0
07.01.2021,21:00,22:00,179.0
07.01.2021,22:00,23:00,179.0
07.01.2021,23:00,00:00,179.0
08.01.2021,00:00,01:00,179.0
08.01.2021,01:00,02:00,180.0
08.01.2021,02:00,03:00,180.0
08.01.2021,03:00,04:00,180.0
08.01.2021,04:00,05:00,179.0
08.01.2021,05:00,06:00,179.0
08.01.2021,06:00,07:00,177.0
08.01.2021,07:00,08:00,178.0
08.01.2021,08:00,09:00,179.0
08.01.2021,09:00,10:00,179.0
08.01.2021,10:00,11:00,179.0
08.01.2021,11:00,12:00,179.0
08.01.2021,12:00,13:00,179.0
08.01.2021,13:00,14:00,179.0
08.01.2021,14:00,15:00,179.0
08.01.2021,15:00,16:00,175.0
08.01.2021,16:00,17:00,171.0
08.01.2021,17:00,18:00,179.0
08.01.2021,18:00,19:00,179.0
08.01.2021,19:00,20:00,179.0
08.01.2021,20:00,21:00,179.0
08.01.2021,21:00,22:00,179.0
08.01.2021,22:00,23:00,179.0
08.01.2021,23:00,00:00,179.0
09.01.2021,00:00,01:00,179.0
09.01.2021,01:00,02:00,179.0
09.01.2021,02:00,03:00,180.0
09.01.2021,03:00,04:00,179.0
09.01.2021,04:00,05:00,179.0
09.01.2021,05:00,06:00,179.0
09.01.2021,06:00,07:00,179.0
09.01.2021,07:00,08:00,179.0
09.01.2021,08:00,09:00,175.0
09.01.2021,09:00,10:00,169.0
09.01.2021,10:00,11:00,170.0
09.01.2021,11:00,12:00,169.0
09.01.2021,12:00,13:00,177.0
09.01.2021,13:00,14:00,179.0
09.01.2021,14:00,15:00,179.0
09.01.2021,15:00,16:00,180.0
09.01.2021,16:00,17:00,179.0
09.01.2021,17:00,18:00,186.0
09.01.2021,18:00,19:00,189.0
09.01.2021,19:00,20:00,189.0
09.01.2021,20:00,21:00,188.0
09.01.2021,21:00,22:00,175.0
09.01.2021,22:00,23:00,169.0
09.01.2021,23:00,00:00,169.0
10.01.2021,00:00,01:00,170.0
