date,start,end,11WD7NORF5G-HTER,11WD7NORF5GAGUDC,11WD7NORF5GGUDFA
1012020,00:00,01:00,,0,351
1012020,01:00,02:00,,0,348
1012020,02:00,03:00,,0,353
1012020,03:00,04:00,,0,366
1012020,04:00,05:00,,0,353
1012020,05:00,06:00,,0,350
1012020,06:00,07:00,,0,350
1012020,07:00,08:00,,0,373
1012020,08:00,09:00,,0,453
1012020,09:00,10:00,,0,499
1012020,10:00,11:00,,0,499
1012020,11:00,12:00,,0,488
1012020,12:00,13:00,,0,460
1012020,13:00,14:00,,0,467
1012020,14:00,15:00,,0,496
1012020,15:00,16:00,,0,504
1012020,16:00,17:00,,0,569
1012020,17:00,18:00,,0,568
1012020,18:00,19:00,,0,570
1012020,19:00,20:00,,0,563
1012020,20:00,21:00,,0,563
1012020,21:00,22:00,,0,567
1012020,22:00,23:00,,0,565
1012020,23:00,00:00,,0,416
2012020,00:00,01:00,,0,365
2012020,01:00,02:00,,0,362
2012020,02:00,03:00,,0,364
2012020,03:00,04:00,,0,352
2012020,04:00,05:00,,0,360
2012020,05:00,06:00,,0,400
2012020,06:00,07:00,,3,361
2012020,07:00,08:00,,22,502
2012020,08:00,09:00,,70,551
2012020,09:00,10:00,,76,563
2012020,10:00,11:00,,76,565
2012020,11:00,12:00,,76,565
2012020,12:00,13:00,,76,565
2012020,13:00,14:00,,76,565
2012020,14:00,15:00,,76,579
2012020,15:00,16:00,,76,580
2012020,16:00,17:00,,76,564
2012020,17:00,18:00,,76,564
2012020,18:00,19:00,,76,564
2012020,19:00,20:00,,76,563
2012020,20:00,21:00,,76,508
2012020,21:00,22:00,,76,454
2012020,22:00,23:00,,69,242
2012020,23:00,00:00,,68,0
3012020,00:00,01:00,,68,0
3012020,01:00,02:00,,68,0
3012020,02:00,03:00,,68,0
3012020,03:00,04:00,,68,0
3012020,04:00,05:00,,68,0
3012020,05:00,06:00,,69,0
3012020,06:00,07:00,,68,0
3012020,07:00,08:00,,82,0
3012020,08:00,09:00,,87,0
3012020,09:00,10:00,,87,0
3012020,10:00,11:00,,87,0
3012020,11:00,12:00,,87,0
3012020,12:00,13:00,,88,0
3012020,13:00,14:00,,88,0
3012020,14:00,15:00,,87,0
3012020,15:00,16:00,,82,0
3012020,16:00,17:00,,82,0
3012020,17:00,18:00,,88,0
3012020,18:00,19:00,,87,0
3012020,19:00,20:00,,87,0
3012020,20:00,21:00,,86,0
3012020,21:00,22:00,,86,0
3012020,22:00,23:00,,86,0
3012020,23:00,00:00,,85,0
4012020,00:00,01:00,,78,0
4012020,01:00,02:00,,78,0
4012020,02:00,03:00,,78,0
4012020,03:00,04:00,,77,0
4012020,04:00,05:00,,76,0
4012020,05:00,06:00,,77,0
4012020,06:00,07:00,,78,0
4012020,07:00,08:00,,77,0
4012020,08:00,09:00,,79,0
4012020,09:00,10:00,,79,0
4012020,10:00,11:00,,79,0
4012020,11:00,12:00,,79,0
4012020,12:00,13:00,,84,0
4012020,13:00,14:00,,86,0
4012020,14:00,15:00,,86,0
4012020,15:00,16:00,,86,0
4012020,16:00,17:00,,86,0
4012020,17:00,18:00,,86,0
4012020,18:00,19:00,,85,0
4012020,19:00,20:00,,85,0
4012020,20:00,21:00,,84,0
4012020,21:00,22:00,,83,0
4012020,22:00,23:00,,83,0
4012020,23:00,00:00,,83,0
5012020,00:00,01:00,,83,0
5012020,01:00,02:00,,83,0
5012020,02:00,03:00,,83,0
5012020,03:00,04:00,,83,0
5012020,04:00,05:00,,82,0
5012020,05:00,06:00,,79,0
5012020,06:00,07:00,,79,0
5012020,07:00,08:00,,78,0
5012020,08:00,09:00,,72,0
5012020,09:00,10:00,,72,0
5012020,10:00,11:00,,72,0
5012020,11:00,12:00,,72,0
5012020,12:00,13:00,,79,0
5012020,13:00,14:00,,80,0
5012020,14:00,15:00,,80,0
5012020,15:00,16:00,,80,0
5012020,16:00,17:00,,80,0
