date,start,end,11WD8LIPD1L---R6,11WD8LIPD1L---S4
1012020,00:00,01:00,851,0
1012020,01:00,02:00,849,0
1012020,02:00,03:00,852,0
1012020,03:00,04:00,851,0
1012020,04:00,05:00,851,0
1012020,05:00,06:00,846,0
1012020,06:00,07:00,845,0
1012020,07:00,08:00,846,86
1012020,08:00,09:00,816,461
1012020,09:00,10:00,742,572
1012020,10:00,11:00,740,733
1012020,11:00,12:00,824,833
1012020,12:00,13:00,856,860
1012020,13:00,14:00,801,800
1012020,14:00,15:00,873,863
1012020,15:00,16:00,874,866
1012020,16:00,17:00,874,866
1012020,17:00,18:00,861,863
1012020,18:00,19:00,859,862
1012020,19:00,20:00,830,845
1012020,20:00,21:00,852,858
1012020,21:00,22:00,867,860
1012020,22:00,23:00,871,858
1012020,23:00,00:00,870,859
2012020,00:00,01:00,867,861
2012020,01:00,02:00,875,864
2012020,02:00,03:00,862,864
2012020,03:00,04:00,764,780
2012020,04:00,05:00,664,660
2012020,05:00,06:00,721,719
2012020,06:00,07:00,838,852
2012020,07:00,08:00,853,859
2012020,08:00,09:00,865,857
2012020,09:00,10:00,870,860
2012020,10:00,11:00,870,860
2012020,11:00,12:00,873,859
2012020,12:00,13:00,872,860
2012020,13:00,14:00,869,857
2012020,14:00,15:00,870,858
2012020,15:00,16:00,872,860
2012020,16:00,17:00,868,860
2012020,17:00,18:00,871,859
2012020,18:00,19:00,870,859
2012020,19:00,20:00,872,859
2012020,20:00,21:00,870,859
2012020,21:00,22:00,861,860
2012020,22:00,23:00,851,848
2012020,23:00,00:00,600,588
3012020,00:00,01:00,498,434
3012020,01:00,02:00,512,432
3012020,02:00,03:00,570,576
3012020,03:00,04:00,464,508
3012020,04:00,05:00,444,464
3012020,05:00,06:00,437,434
3012020,06:00,07:00,566,551
3012020,07:00,08:00,655,648
3012020,08:00,09:00,552,551
3012020,09:00,10:00,550,528
3012020,10:00,11:00,467,432
3012020,11:00,12:00,484,433
3012020,12:00,13:00,483,432
3012020,13:00,14:00,464,432
3012020,14:00,15:00,461,432
3012020,15:00,16:00,465,432
3012020,16:00,17:00,434,431
3012020,17:00,18:00,444,432
3012020,18:00,19:00,443,432
3012020,19:00,20:00,464,432
3012020,20:00,21:00,436,432
3012020,21:00,22:00,439,432
