date,start,end,11WD2BRE4000115K
1012020,00:00,01:00,164
1012020,01:00,02:00,149
1012020,02:00,03:00,163
1012020,03:00,04:00,144
1012020,04:00,05:00,152
1012020,05:00,06:00,154
1012020,06:00,07:00,145
1012020,07:00,08:00,144
1012020,08:00,09:00,141
1012020,09:00,10:00,132
1012020,10:00,11:00,135
1012020,11:00,12:00,151
1012020,12:00,13:00,158
1012020,13:00,14:00,148
1012020,14:00,15:00,150
1012020,15:00,16:00,127
1012020,16:00,17:00,97
1012020,17:00,18:00,103
1012020,18:00,19:00,120
1012020,19:00,20:00,144
1012020,20:00,21:00,154
1012020,21:00,22:00,135
1012020,22:00,23:00,128
1012020,23:00,00:00,0
2012020,00:00,01:00,56
2012020,01:00,02:00,56
2012020,02:00,03:00,105
2012020,03:00,04:00,127
2012020,04:00,05:00,122
2012020,05:00,06:00,150
2012020,06:00,07:00,151
2012020,07:00,08:00,149
2012020,08:00,09:00,146
2012020,09:00,10:00,111
2012020,10:00,11:00,77
2012020,11:00,12:00,86
2012020,12:00,13:00,90
2012020,13:00,14:00,90
2012020,14:00,15:00,83
2012020,15:00,16:00,68
2012020,16:00,17:00,62
2012020,17:00,18:00,72
2012020,18:00,19:00,67
2012020,19:00,20:00,76
2012020,20:00,21:00,83
2012020,21:00,22:00,68
2012020,22:00,23:00,87
2012020,23:00,00:00,0
3012020,00:00,01:00,91
3012020,01:00,02:00,96
3012020,02:00,03:00,105
3012020,03:00,04:00,99
3012020,04:00,05:00,114
3012020,05:00,06:00,117
3012020,06:00,07:00,90
3012020,07:00,08:00,121
3012020,08:00,09:00,120
3012020,09:00,10:00,118
3012020,10:00,11:00,115
3012020,11:00,12:00,112
3012020,12:00,13:00,111
3012020,13:00,14:00,111
3012020,14:00,15:00,108
3012020,15:00,16:00,102
3012020,16:00,17:00,127
3012020,17:00,18:00,131
3012020,18:00,19:00,144
3012020,19:00,20:00,139
3012020,20:00,21:00,102
3012020,21:00,22:00,109
3012020,22:00,23:00,110
3012020,23:00,00:00,0
4012020,00:00,01:00,86
4012020,01:00,02:00,83
4012020,02:00,03:00,80
4012020,03:00,04:00,73
4012020,04:00,05:00,71
4012020,05:00,06:00,95
4012020,06:00,07:00,92
4012020,07:00,08:00,88
4012020,08:00,09:00,88
4012020,09:00,10:00,96
4012020,10:00,11:00,97
4012020,11:00,12:00,97
4012020,12:00,13:00,98
4012020,13:00,14:00,101
4012020,14:00,15:00,113
4012020,15:00,16:00,113
4012020,16:00,17:00,113
4012020,17:00,18:00,118
4012020,18:00,19:00,130
4012020,19:00,20:00,111
4012020,20:00,21:00,100
4012020,21:00,22:00,108
4012020,22:00,23:00,106
4012020,23:00,00:00,0
5012020,00:00,01:00,103
5012020,01:00,02:00,111
5012020,02:00,03:00,113
5012020,03:00,04:00,120
5012020,04:00,05:00,112
5012020,05:00,06:00,116
5012020,06:00,07:00,122
5012020,07:00,08:00,122
5012020,08:00,09:00,122
5012020,09:00,10:00,121
5012020,10:00,11:00,121
5012020,11:00,12:00,123
5012020,12:00,13:00,134
5012020,13:00,14:00,131
5012020,14:00,15:00,120
5012020,15:00,16:00,123
5012020,16:00,17:00,132
5012020,17:00,18:00,133
5012020,18:00,19:00,133
5012020,19:00,20:00,140
5012020,20:00,21:00,127
5012020,21:00,22:00,125
5012020,22:00,23:00,107
5012020,23:00,00:00,0
6012020,00:00,01:00,121
6012020,01:00,02:00,133
6012020,02:00,03:00,133
6012020,03:00,04:00,133
6012020,04:00,05:00,133
6012020,05:00,06:00,133
6012020,06:00,07:00,128
6012020,07:00,08:00,145
6012020,08:00,09:00,131
6012020,09:00,10:00,137
6012020,10:00,11:00,133
6012020,11:00,12:00,140
6012020,12:00,13:00,143
6012020,13:00,14:00,144
6012020,14:00,15:00,144
6012020,15:00,16:00,153
6012020,16:00,17:00,156
6012020,17:00,18:00,154
6012020,18:00,19:00,146
6012020,19:00,20:00,146
6012020,20:00,21:00,138
6012020,21:00,22:00,126
6012020,22:00,23:00,120
6012020,23:00,00:00,0
7012020,00:00,01:00,120
7012020,01:00,02:00,119
7012020,02:00,03:00,118
7012020,03:00,04:00,122
7012020,04:00,05:00,139
7012020,05:00,06:00,148
7012020,06:00,07:00,169
7012020,07:00,08:00,170
7012020,08:00,09:00,164
7012020,09:00,10:00,165
7012020,10:00,11:00,168
7012020,11:00,12:00,168
7012020,12:00,13:00,167
7012020,13:00,14:00,167
7012020,14:00,15:00,167
7012020,15:00,16:00,170
7012020,16:00,17:00,169
7012020,17:00,18:00,172
7012020,18:00,19:00,168
7012020,19:00,20:00,142
7012020,20:00,21:00,138
7012020,21:00,22:00,119
7012020,22:00,23:00,115
7012020,23:00,00:00,0
8012020,00:00,01:00,160
8012020,01:00,02:00,165
8012020,02:00,03:00,168
8012020,03:00,04:00,173
8012020,04:00,05:00,166
8012020,05:00,06:00,115
8012020,06:00,07:00,103
8012020,07:00,08:00,85
8012020,08:00,09:00,79
8012020,09:00,10:00,75
8012020,10:00,11:00,68
8012020,11:00,12:00,68
8012020,12:00,13:00,69
8012020,13:00,14:00,82
8012020,14:00,15:00,0
8012020,15:00,16:00,0
8012020,16:00,17:00,0
8012020,17:00,18:00,0
8012020,18:00,19:00,176
8012020,19:00,20:00,169
8012020,20:00,21:00,172
8012020,21:00,22:00,175
8012020,22:00,23:00,153
8012020,23:00,00:00,0
9012020,00:00,01:00,122
9012020,01:00,02:00,120
9012020,02:00,03:00,138
9012020,03:00,04:00,154
9012020,04:00,05:00,171
9012020,05:00,06:00,171
9012020,06:00,07:00,138
9012020,07:00,08:00,162
9012020,08:00,09:00,165
9012020,09:00,10:00,160
9012020,10:00,11:00,138
9012020,11:00,12:00,117
9012020,12:00,13:00,106
9012020,13:00,14:00,103
9012020,14:00,15:00,113
9012020,15:00,16:00,95
9012020,16:00,17:00,93
9012020,17:00,18:00,116
9012020,18:00,19:00,122
9012020,19:00,20:00,121
9012020,20:00,21:00,110
9012020,21:00,22:00,90
9012020,22:00,23:00,84
9012020,23:00,00:00,0
10012020,00:00,01:00,0
10012020,01:00,02:00,107
10012020,02:00,03:00,125
10012020,03:00,04:00,133
10012020,04:00,05:00,142
10012020,05:00,06:00,118
10012020,06:00,07:00,116
10012020,07:00,08:00,119
10012020,08:00,09:00,122
10012020,09:00,10:00,126
10012020,10:00,11:00,138
10012020,11:00,12:00,137
10012020,12:00,13:00,132
10012020,13:00,14:00,135
10012020,14:00,15:00,148
10012020,15:00,16:00,135
10012020,16:00,17:00,127
10012020,17:00,18:00,128
10012020,18:00,19:00,125
10012020,19:00,20:00,119
10012020,20:00,21:00,129
10012020,21:00,22:00,107
10012020,22:00,23:00,111
10012020,23:00,00:00,0
11012020,00:00,01:00,0
11012020,01:00,02:00,124
11012020,02:00,03:00,124
11012020,03:00,04:00,112
11012020,04:00,05:00,110
11012020,05:00,06:00,117
11012020,06:00,07:00,110
11012020,07:00,08:00,119
11012020,08:00,09:00,121
11012020,09:00,10:00,111
11012020,10:00,11:00,101
11012020,11:00,12:00,107
11012020,12:00,13:00,124
11012020,13:00,14:00,130
11012020,14:00,15:00,123
11012020,15:00,16:00,107
11012020,16:00,17:00,136
11012020,17:00,18:00,132
11012020,18:00,19:00,144
11012020,19:00,20:00,129
11012020,20:00,21:00,130
11012020,21:00,22:00,129
11012020,22:00,23:00,131
11012020,23:00,00:00,0
12012020,00:00,01:00,0
12012020,01:00,02:00,110
12012020,02:00,03:00,119
12012020,03:00,04:00,110
12012020,04:00,05:00,120
12012020,05:00,06:00,121
12012020,06:00,07:00,120
12012020,07:00,08:00,121
12012020,08:00,09:00,121
12012020,09:00,10:00,123
12012020,10:00,11:00,126
12012020,11:00,12:00,93
12012020,12:00,13:00,99
12012020,13:00,14:00,92
12012020,14:00,15:00,117
12012020,15:00,16:00,125
12012020,16:00,17:00,125
12012020,17:00,18:00,118
12012020,18:00,19:00,118
12012020,19:00,20:00,136
12012020,20:00,21:00,129
12012020,21:00,22:00,111
12012020,22:00,23:00,137
12012020,23:00,00:00,0
13012020,00:00,01:00,0
13012020,01:00,02:00,134
13012020,02:00,03:00,129
13012020,03:00,04:00,102
13012020,04:00,05:00,106
13012020,05:00,06:00,108
13012020,06:00,07:00,107
13012020,07:00,08:00,114
13012020,08:00,09:00,116
13012020,09:00,10:00,127
13012020,10:00,11:00,148
13012020,11:00,12:00,148
13012020,12:00,13:00,133
13012020,13:00,14:00,124
13012020,14:00,15:00,100
13012020,15:00,16:00,101
13012020,16:00,17:00,127
13012020,17:00,18:00,142
13012020,18:00,19:00,129
13012020,19:00,20:00,140
13012020,20:00,21:00,139
13012020,21:00,22:00,143
13012020,22:00,23:00,148
13012020,23:00,00:00,0
14012020,00:00,01:00,0
14012020,01:00,02:00,138
14012020,02:00,03:00,136
14012020,03:00,04:00,129
14012020,04:00,05:00,120
14012020,05:00,06:00,124
14012020,06:00,07:00,123
14012020,07:00,08:00,110
14012020,08:00,09:00,101
14012020,09:00,10:00,123
14012020,10:00,11:00,98
14012020,11:00,12:00,87
14012020,12:00,13:00,91
14012020,13:00,14:00,130
14012020,14:00,15:00,144
14012020,15:00,16:00,142
14012020,16:00,17:00,128
14012020,17:00,18:00,117
14012020,18:00,19:00,122
14012020,19:00,20:00,139
14012020,20:00,21:00,133
14012020,21:00,22:00,143
14012020,22:00,23:00,119
14012020,23:00,00:00,0
15012020,00:00,01:00,0
15012020,01:00,02:00,140
15012020,02:00,03:00,123
15012020,03:00,04:00,128
15012020,04:00,05:00,67
15012020,05:00,06:00,55
15012020,06:00,07:00,55
15012020,07:00,08:00,68
15012020,08:00,09:00,104
15012020,09:00,10:00,139
15012020,10:00,11:00,148
15012020,11:00,12:00,144
15012020,12:00,13:00,142
15012020,13:00,14:00,142
15012020,14:00,15:00,142
15012020,15:00,16:00,139
15012020,16:00,17:00,131
15012020,17:00,18:00,129
15012020,18:00,19:00,128
15012020,19:00,20:00,128
15012020,20:00,21:00,128
15012020,21:00,22:00,112
15012020,22:00,23:00,96
15012020,23:00,00:00,64
16012020,00:00,01:00,56
16012020,01:00,02:00,56
16012020,02:00,03:00,57
16012020,03:00,04:00,57
16012020,04:00,05:00,91
16012020,05:00,06:00,98
16012020,06:00,07:00,88
16012020,07:00,08:00,108
16012020,08:00,09:00,110
16012020,09:00,10:00,117
16012020,10:00,11:00,118
16012020,11:00,12:00,103
16012020,12:00,13:00,104
16012020,13:00,14:00,115
