date,start,end,11WD7OPLA1G--318,11WD7BOLA5GDTN2T,11WD7BOLA5GGTN2E
1012017,00:00,01:00,358.0,0.0,0.0
1012017,01:00,02:00,357.0,0.0,0.0
1012017,02:00,03:00,283.0,0.0,0.0
1012017,03:00,04:00,181.0,0.0,0.0
1012017,04:00,05:00,216.0,0.0,0.0
1012017,05:00,06:00,258.0,0.0,0.0
1012017,06:00,07:00,306.0,0.0,0.0
1012017,07:00,08:00,356.0,0.0,0.0
1012017,08:00,09:00,389.0,0.0,0.0
1012017,09:00,10:00,412.0,0.0,0.0
1012017,10:00,11:00,390.0,0.0,0.0
1012017,11:00,12:00,368.0,0.0,0.0
1012017,12:00,13:00,320.0,0.0,0.0
1012017,13:00,14:00,228.0,0.0,0.0
1012017,14:00,15:00,248.0,0.0,0.0
1012017,15:00,16:00,377.0,0.0,0.0
1012017,16:00,17:00,414.0,0.0,0.0
1012017,17:00,18:00,407.0,0.0,0.0
1012017,18:00,19:00,406.0,0.0,0.0
1012017,19:00,20:00,407.0,0.0,0.0
1012017,20:00,21:00,420.0,0.0,0.0
1012017,21:00,22:00,423.0,0.0,0.0
1012017,22:00,23:00,411.0,0.0,0.0
1012017,23:00,00:00,320.0,0.0,0.0
2012017,00:00,01:00,47.0,0.0,0.0
2012017,01:00,02:00,44.0,0.0,0.0
2012017,02:00,03:00,48.0,0.0,0.0
2012017,03:00,04:00,56.0,0.0,0.0
2012017,04:00,05:00,139.0,0.0,0.0
2012017,05:00,06:00,232.0,0.0,0.0
2012017,06:00,07:00,324.0,0.0,0.0
2012017,07:00,08:00,277.0,0.0,0.0
2012017,08:00,09:00,260.0,0.0,0.0
2012017,09:00,10:00,268.0,0.0,0.0
2012017,10:00,11:00,289.0,0.0,0.0
2012017,11:00,12:00,295.0,0.0,0.0
2012017,12:00,13:00,293.0,0.0,0.0
2012017,13:00,14:00,280.0,0.0,0.0
2012017,14:00,15:00,281.0,0.0,0.0
2012017,15:00,16:00,289.0,0.0,0.0
2012017,16:00,17:00,290.0,0.0,0.0
2012017,17:00,18:00,281.0,0.0,0.0
2012017,18:00,19:00,287.0,0.0,0.0
2012017,19:00,20:00,307.0,0.0,0.0
2012017,20:00,21:00,317.0,0.0,0.0
2012017,21:00,22:00,312.0,0.0,0.0
2012017,22:00,23:00,338.0,0.0,0.0
2012017,23:00,00:00,356.0,0.0,0.0
3012017,00:00,01:00,368.0,0.0,0.0
3012017,01:00,02:00,180.0,0.0,0.0
3012017,02:00,03:00,158.0,0.0,0.0
3012017,03:00,04:00,163.0,0.0,0.0
3012017,04:00,05:00,166.0,0.0,0.0
3012017,05:00,06:00,237.0,0.0,0.0
3012017,06:00,07:00,326.0,0.0,0.0
3012017,07:00,08:00,288.0,0.0,0.0
3012017,08:00,09:00,262.0,0.0,0.0
3012017,09:00,10:00,263.0,0.0,0.0
3012017,10:00,11:00,312.0,0.0,0.0
3012017,11:00,12:00,259.0,0.0,0.0
3012017,12:00,13:00,254.0,0.0,0.0
3012017,13:00,14:00,228.0,0.0,0.0
3012017,14:00,15:00,154.0,0.0,0.0
3012017,15:00,16:00,173.0,0.0,0.0
3012017,16:00,17:00,126.0,0.0,0.0
3012017,17:00,18:00,138.0,0.0,0.0
3012017,18:00,19:00,106.0,0.0,0.0
3012017,19:00,20:00,121.0,0.0,0.0
3012017,20:00,21:00,106.0,0.0,0.0
3012017,21:00,22:00,129.0,0.0,0.0
3012017,22:00,23:00,170.0,0.0,0.0
3012017,23:00,00:00,159.0,0.0,0.0
4012017,00:00,01:00,70.0,0.0,0.0
4012017,01:00,02:00,71.0,0.0,0.0
4012017,02:00,03:00,71.0,0.0,0.0
4012017,03:00,04:00,71.0,0.0,0.0
4012017,04:00,05:00,68.0,0.0,0.0
4012017,05:00,06:00,66.0,0.0,0.0
4012017,06:00,07:00,86.0,0.0,0.0
4012017,07:00,08:00,302.0,0.0,0.0
4012017,08:00,09:00,179.0,0.0,0.0
4012017,09:00,10:00,228.0,0.0,0.0
4012017,10:00,11:00,254.0,0.0,0.0
4012017,11:00,12:00,252.0,0.0,0.0
4012017,12:00,13:00,245.0,0.0,0.0
4012017,13:00,14:00,247.0,0.0,0.0
4012017,14:00,15:00,256.0,0.0,0.0
4012017,15:00,16:00,267.0,0.0,0.0
4012017,16:00,17:00,268.0,0.0,0.0
4012017,17:00,18:00,264.0,0.0,0.0
4012017,18:00,19:00,270.0,0.0,0.0
4012017,19:00,20:00,297.0,0.0,0.0
4012017,20:00,21:00,311.0,0.0,0.0
4012017,21:00,22:00,313.0,0.0,0.0
4012017,22:00,23:00,341.0,0.0,0.0
4012017,23:00,00:00,255.0,0.0,0.0
5012017,00:00,01:00,386.0,0.0,0.0
5012017,01:00,02:00,377.0,0.0,0.0
5012017,02:00,03:00,236.0,0.0,0.0
5012017,03:00,04:00,260.0,0.0,0.0
5012017,04:00,05:00,405.0,0.0,0.0
5012017,05:00,06:00,368.0,0.0,0.0
5012017,06:00,07:00,333.0,0.0,0.0
5012017,07:00,08:00,308.0,0.0,0.0
5012017,08:00,09:00,277.0,0.0,0.0
5012017,09:00,10:00,281.0,0.0,0.0
5012017,10:00,11:00,281.0,0.0,0.0
5012017,11:00,12:00,277.0,0.0,0.0
5012017,12:00,13:00,271.0,0.0,0.0
5012017,13:00,14:00,269.0,0.0,0.0
5012017,14:00,15:00,259.0,0.0,0.0
5012017,15:00,16:00,263.0,0.0,0.0
5012017,16:00,17:00,273.0,0.0,0.0
5012017,17:00,18:00,265.0,0.0,0.0
5012017,18:00,19:00,266.0,0.0,0.0
5012017,19:00,20:00,280.0,0.0,0.0
5012017,20:00,21:00,316.0,0.0,0.0
5012017,21:00,22:00,316.0,0.0,0.0
5012017,22:00,23:00,336.0,0.0,0.0
