date,start,end,11WD8SWPU1L---AK,11WD8SWPU1L---BI
1012020,00:00,01:00,0,726
1012020,01:00,02:00,0,723
1012020,02:00,03:00,0,728
1012020,03:00,04:00,0,730
1012020,04:00,05:00,0,733
1012020,05:00,06:00,0,729
1012020,06:00,07:00,0,730
1012020,07:00,08:00,47,725
1012020,08:00,09:00,281,710
1012020,09:00,10:00,335,708
1012020,10:00,11:00,390,721
1012020,11:00,12:00,530,726
1012020,12:00,13:00,620,721
1012020,13:00,14:00,624,722
1012020,14:00,15:00,729,738
1012020,15:00,16:00,747,736
1012020,16:00,17:00,745,738
1012020,17:00,18:00,739,733
1012020,18:00,19:00,716,722
1012020,19:00,20:00,623,634
1012020,20:00,21:00,713,713
1012020,21:00,22:00,745,736
1012020,22:00,23:00,747,740
1012020,23:00,00:00,752,733
2012020,00:00,01:00,743,733
2012020,01:00,02:00,750,736
2012020,02:00,03:00,752,736
2012020,03:00,04:00,720,721
2012020,04:00,05:00,589,594
2012020,05:00,06:00,606,630
2012020,06:00,07:00,647,710
2012020,07:00,08:00,619,722
2012020,08:00,09:00,697,735
2012020,09:00,10:00,683,733
2012020,10:00,11:00,681,727
2012020,11:00,12:00,685,728
2012020,12:00,13:00,697,732
2012020,13:00,14:00,695,732
2012020,14:00,15:00,665,169
2012020,15:00,16:00,652,0
2012020,16:00,17:00,652,0
2012020,17:00,18:00,658,17
2012020,18:00,19:00,653,304
2012020,19:00,20:00,657,571
2012020,20:00,21:00,674,731
2012020,21:00,22:00,674,726
2012020,22:00,23:00,674,731
2012020,23:00,00:00,515,578
3012020,00:00,01:00,476,593
3012020,01:00,02:00,333,541
3012020,02:00,03:00,333,416
3012020,03:00,04:00,318,318
3012020,04:00,05:00,307,313
3012020,05:00,06:00,316,310
3012020,06:00,07:00,332,299
3012020,07:00,08:00,358,368
3012020,08:00,09:00,378,439
3012020,09:00,10:00,417,485
3012020,10:00,11:00,547,623
3012020,11:00,12:00,665,721
3012020,12:00,13:00,686,721
3012020,13:00,14:00,635,683
3012020,14:00,15:00,645,682
3012020,15:00,16:00,566,612
3012020,16:00,17:00,609,654
3012020,17:00,18:00,533,543
3012020,18:00,19:00,388,394
3012020,19:00,20:00,364,410
3012020,20:00,21:00,334,308
3012020,21:00,22:00,326,294
3012020,22:00,23:00,326,291
3012020,23:00,00:00,347,303
4012020,00:00,01:00,312,278
4012020,01:00,02:00,333,276
4012020,02:00,03:00,345,283
4012020,03:00,04:00,342,384
4012020,04:00,05:00,333,285
4012020,05:00,06:00,358,380
4012020,06:00,07:00,362,371
4012020,07:00,08:00,348,285
4012020,08:00,09:00,323,291
4012020,09:00,10:00,316,286
4012020,10:00,11:00,313,291
4012020,11:00,12:00,352,291
4012020,12:00,13:00,434,358
4012020,13:00,14:00,361,284
4012020,14:00,15:00,370,300
4012020,15:00,16:00,398,412
4012020,16:00,17:00,486,340
4012020,17:00,18:00,667,685
4012020,18:00,19:00,706,723
4012020,19:00,20:00,711,724
4012020,20:00,21:00,711,733
4012020,21:00,22:00,722,737
4012020,22:00,23:00,719,738
4012020,23:00,00:00,716,735
5012020,00:00,01:00,702,725
5012020,01:00,02:00,702,724
5012020,02:00,03:00,715,734
5012020,03:00,04:00,715,737
5012020,04:00,05:00,730,739
5012020,05:00,06:00,740,746
5012020,06:00,07:00,748,748
5012020,07:00,08:00,746,745
5012020,08:00,09:00,746,747
5012020,09:00,10:00,725,732
5012020,10:00,11:00,731,735
5012020,11:00,12:00,732,736
5012020,12:00,13:00,727,734
5012020,13:00,14:00,738,739
5012020,14:00,15:00,725,733
5012020,15:00,16:00,727,735
5012020,16:00,17:00,737,742
5012020,17:00,18:00,736,741
5012020,18:00,19:00,741,747
5012020,19:00,20:00,735,743
5012020,20:00,21:00,737,741
5012020,21:00,22:00,740,742
5012020,22:00,23:00,739,747
5012020,23:00,00:00,739,745
6012020,00:00,01:00,734,746
6012020,01:00,02:00,722,740
6012020,02:00,03:00,728,735
6012020,03:00,04:00,682,686
6012020,04:00,05:00,715,718
6012020,05:00,06:00,737,740
6012020,06:00,07:00,710,732
6012020,07:00,08:00,685,722
6012020,08:00,09:00,692,730
6012020,09:00,10:00,680,736
6012020,10:00,11:00,665,722
6012020,11:00,12:00,670,717
6012020,12:00,13:00,670,720
6012020,13:00,14:00,675,718
6012020,14:00,15:00,671,719
6012020,15:00,16:00,666,737
6012020,16:00,17:00,663,724
6012020,17:00,18:00,678,743
6012020,18:00,19:00,686,740
6012020,19:00,20:00,666,740
6012020,20:00,21:00,651,713
6012020,21:00,22:00,672,710
6012020,22:00,23:00,669,720
6012020,23:00,00:00,643,708
7012020,00:00,01:00,628,722
7012020,01:00,02:00,640,723
7012020,02:00,03:00,640,720
7012020,03:00,04:00,636,701
7012020,04:00,05:00,659,719
7012020,05:00,06:00,671,723
7012020,06:00,07:00,673,720
7012020,07:00,08:00,677,724
7012020,08:00,09:00,697,722
7012020,09:00,10:00,704,724
7012020,10:00,11:00,694,722
7012020,11:00,12:00,679,721
7012020,12:00,13:00,656,719
7012020,13:00,14:00,676,714
7012020,14:00,15:00,683,722
7012020,15:00,16:00,678,721
7012020,16:00,17:00,680,722
7012020,17:00,18:00,678,717
7012020,18:00,19:00,670,719
7012020,19:00,20:00,664,718
7012020,20:00,21:00,665,719
7012020,21:00,22:00,687,727
7012020,22:00,23:00,672,719
7012020,23:00,00:00,649,691
8012020,00:00,01:00,380,395
8012020,01:00,02:00,346,371
8012020,02:00,03:00,348,381
8012020,03:00,04:00,369,379
8012020,04:00,05:00,376,401
8012020,05:00,06:00,411,622
8012020,06:00,07:00,571,607
8012020,07:00,08:00,677,702
8012020,08:00,09:00,681,580
8012020,09:00,10:00,687,584
8012020,10:00,11:00,682,623
8012020,11:00,12:00,688,647
8012020,12:00,13:00,691,716
8012020,13:00,14:00,698,728
8012020,14:00,15:00,687,708
8012020,15:00,16:00,697,718
8012020,16:00,17:00,689,708
