Timestamp,11WD8SWPU1L---AK,11WD8SWPU1L---BI
2016-01-01 00:00:00,733,739
2016-01-01 01:00:00,739,741
2016-01-01 02:00:00,737,743
2016-01-01 03:00:00,737,746
2016-01-01 04:00:00,740,745
2016-01-01 05:00:00,741,744
2016-01-01 06:00:00,737,741
2016-01-01 07:00:00,736,743
2016-01-01 08:00:00,741,745
2016-01-01 09:00:00,742,749
2016-01-01 10:00:00,736,744
2016-01-01 11:00:00,740,743
2016-01-01 12:00:00,743,749
2016-01-01 13:00:00,740,747
2016-01-01 14:00:00,741,744
2016-01-01 15:00:00,742,741
2016-01-01 16:00:00,740,745
2016-01-01 17:00:00,738,744
2016-01-01 18:00:00,739,740
2016-01-01 19:00:00,741,745
2016-01-01 20:00:00,741,745
2016-01-01 21:00:00,743,743
2016-01-01 22:00:00,740,745
2016-01-01 23:00:00,737,743
2016-01-02 00:00:00,726,726
2016-01-02 01:00:00,728,734
2016-01-02 02:00:00,705,709
2016-01-02 03:00:00,723,545
2016-01-02 04:00:00,681,400
2016-01-02 05:00:00,722,625
2016-01-02 06:00:00,642,542
2016-01-02 07:00:00,735,635
2016-01-02 08:00:00,734,719
2016-01-02 09:00:00,734,719
2016-01-02 10:00:00,734,498
2016-01-02 11:00:00,733,425
2016-01-02 12:00:00,624,381
2016-01-02 13:00:00,606,303
2016-01-02 14:00:00,507,298
2016-01-02 15:00:00,649,346
2016-01-02 16:00:00,652,391
2016-01-02 17:00:00,641,298
2016-01-02 18:00:00,724,296
2016-01-02 19:00:00,721,314
2016-01-02 20:00:00,602,374
2016-01-02 21:00:00,636,516
2016-01-02 22:00:00,713,681
2016-01-02 23:00:00,707,730
2016-01-03 00:00:00,465,464
2016-01-03 01:00:00,351,360
2016-01-03 02:00:00,350,399
2016-01-03 03:00:00,349,395
2016-01-03 04:00:00,352,436
2016-01-03 05:00:00,350,433
2016-01-03 06:00:00,344,410
2016-01-03 07:00:00,340,349
2016-01-03 08:00:00,566,606
2016-01-03 09:00:00,710,652
2016-01-03 10:00:00,686,655
2016-01-03 11:00:00,726,667
2016-01-03 12:00:00,718,662
2016-01-03 13:00:00,735,730
2016-01-03 14:00:00,722,732
2016-01-03 15:00:00,723,733
2016-01-03 16:00:00,725,737
2016-01-03 17:00:00,726,595
2016-01-03 18:00:00,725,649
2016-01-03 19:00:00,656,654
2016-01-03 20:00:00,726,514
2016-01-03 21:00:00,703,510
2016-01-03 22:00:00,725,698
2016-01-03 23:00:00,727,733
2016-01-04 00:00:00,727,736
2016-01-04 01:00:00,727,737
2016-01-04 02:00:00,655,498
2016-01-04 03:00:00,611,431
2016-01-04 04:00:00,633,546
2016-01-04 05:00:00,691,553
2016-01-04 06:00:00,660,685
2016-01-04 07:00:00,722,725
2016-01-04 08:00:00,721,728
2016-01-04 09:00:00,724,728
2016-01-04 10:00:00,727,730
2016-01-04 11:00:00,728,731
2016-01-04 12:00:00,731,731
2016-01-04 13:00:00,729,737
2016-01-04 14:00:00,725,728
2016-01-04 15:00:00,727,731
2016-01-04 16:00:00,719,728
2016-01-04 17:00:00,717,731
2016-01-04 18:00:00,721,730
2016-01-04 19:00:00,718,732
2016-01-04 20:00:00,717,733
2016-01-04 21:00:00,712,733
2016-01-04 22:00:00,697,733
2016-01-04 23:00:00,702,724
2016-01-05 00:00:00,696,727
2016-01-05 01:00:00,700,730
2016-01-05 02:00:00,705,733
2016-01-05 03:00:00,692,731
2016-01-05 04:00:00,688,731
2016-01-05 05:00:00,693,735
2016-01-05 06:00:00,702,732
2016-01-05 07:00:00,704,732
2016-01-05 08:00:00,716,734
2016-01-05 09:00:00,717,734
2016-01-05 10:00:00,714,731
2016-01-05 11:00:00,698,728
2016-01-05 12:00:00,698,728
2016-01-05 13:00:00,699,732
2016-01-05 14:00:00,698,730
2016-01-05 15:00:00,693,732
2016-01-05 16:00:00,697,731
2016-01-05 17:00:00,682,728
2016-01-05 18:00:00,682,728
2016-01-05 19:00:00,689,729
