date,start,end,11WD2STA4000065N
1012016,00:00,01:00,227
1012016,01:00,02:00,227
1012016,02:00,03:00,228
1012016,03:00,04:00,227
1012016,04:00,05:00,228
1012016,05:00,06:00,227
1012016,06:00,07:00,226
1012016,07:00,08:00,227
1012016,08:00,09:00,226
1012016,09:00,10:00,228
1012016,10:00,11:00,226
1012016,11:00,12:00,227
1012016,12:00,13:00,228
1012016,13:00,14:00,228
1012016,14:00,15:00,228
1012016,15:00,16:00,228
1012016,16:00,17:00,308
1012016,17:00,18:00,424
1012016,18:00,19:00,485
1012016,19:00,20:00,394
1012016,20:00,21:00,278
1012016,21:00,22:00,278
1012016,22:00,23:00,228
1012016,23:00,00:00,216
2012016,00:00,01:00,217
2012016,01:00,02:00,218
2012016,02:00,03:00,217
2012016,03:00,04:00,217
2012016,04:00,05:00,217
2012016,05:00,06:00,217
2012016,06:00,07:00,217
2012016,07:00,08:00,217
2012016,08:00,09:00,264
2012016,09:00,10:00,304
2012016,10:00,11:00,261
2012016,11:00,12:00,330
2012016,12:00,13:00,409
2012016,13:00,14:00,422
2012016,14:00,15:00,422
2012016,15:00,16:00,420
2012016,16:00,17:00,421
2012016,17:00,18:00,421
2012016,18:00,19:00,422
2012016,19:00,20:00,421
2012016,20:00,21:00,424
2012016,21:00,22:00,428
2012016,22:00,23:00,465
2012016,23:00,00:00,305
3012016,00:00,01:00,217
3012016,01:00,02:00,216
3012016,02:00,03:00,217
3012016,03:00,04:00,217
3012016,04:00,05:00,218
3012016,05:00,06:00,217
3012016,06:00,07:00,216
3012016,07:00,08:00,216
3012016,08:00,09:00,215
3012016,09:00,10:00,326
3012016,10:00,11:00,446
3012016,11:00,12:00,448
3012016,12:00,13:00,449
3012016,13:00,14:00,446
3012016,14:00,15:00,446
3012016,15:00,16:00,449
3012016,16:00,17:00,449
3012016,17:00,18:00,450
3012016,18:00,19:00,449
3012016,19:00,20:00,442
3012016,20:00,21:00,447
3012016,21:00,22:00,450
3012016,22:00,23:00,450
3012016,23:00,00:00,433
4012016,00:00,01:00,250
4012016,01:00,02:00,216
4012016,02:00,03:00,216
4012016,03:00,04:00,218
4012016,04:00,05:00,218
4012016,05:00,06:00,219
4012016,06:00,07:00,235
4012016,07:00,08:00,265
4012016,08:00,09:00,424
4012016,09:00,10:00,483
4012016,10:00,11:00,478
4012016,11:00,12:00,474
4012016,12:00,13:00,395
4012016,13:00,14:00,441
4012016,14:00,15:00,425
4012016,15:00,16:00,421
4012016,16:00,17:00,420
4012016,17:00,18:00,462
4012016,18:00,19:00,509
4012016,19:00,20:00,471
4012016,20:00,21:00,454
4012016,21:00,22:00,458
4012016,22:00,23:00,437
4012016,23:00,00:00,445
5012016,00:00,01:00,322
5012016,01:00,02:00,323
5012016,02:00,03:00,263
5012016,03:00,04:00,268
5012016,04:00,05:00,261
5012016,05:00,06:00,283
5012016,06:00,07:00,361
5012016,07:00,08:00,478
5012016,08:00,09:00,494
5012016,09:00,10:00,419
5012016,10:00,11:00,374
5012016,11:00,12:00,434
5012016,12:00,13:00,410
5012016,13:00,14:00,444
5012016,14:00,15:00,393
5012016,15:00,16:00,409
5012016,16:00,17:00,412
5012016,17:00,18:00,480
5012016,18:00,19:00,466
5012016,19:00,20:00,449
5012016,20:00,21:00,426
5012016,21:00,22:00,433
5012016,22:00,23:00,429
5012016,23:00,00:00,433
6012016,00:00,01:00,437
6012016,01:00,02:00,355
6012016,02:00,03:00,262
6012016,03:00,04:00,267
6012016,04:00,05:00,268
6012016,05:00,06:00,267
6012016,06:00,07:00,294
6012016,07:00,08:00,442
6012016,08:00,09:00,459
6012016,09:00,10:00,507
6012016,10:00,11:00,431
6012016,11:00,12:00,403
6012016,12:00,13:00,448
6012016,13:00,14:00,414
6012016,14:00,15:00,439
6012016,15:00,16:00,424
6012016,16:00,17:00,430
6012016,17:00,18:00,497
6012016,18:00,19:00,504
6012016,19:00,20:00,509
6012016,20:00,21:00,477
6012016,21:00,22:00,509
6012016,22:00,23:00,507
6012016,23:00,00:00,497
7012016,00:00,01:00,365
7012016,01:00,02:00,257
7012016,02:00,03:00,258
7012016,03:00,04:00,260
7012016,04:00,05:00,268
7012016,05:00,06:00,307
7012016,06:00,07:00,450
7012016,07:00,08:00,485
7012016,08:00,09:00,484
7012016,09:00,10:00,485
7012016,10:00,11:00,441
7012016,11:00,12:00,408
7012016,12:00,13:00,449
7012016,13:00,14:00,435
7012016,14:00,15:00,413
7012016,15:00,16:00,467
7012016,16:00,17:00,450
7012016,17:00,18:00,477
7012016,18:00,19:00,497
7012016,19:00,20:00,455
7012016,20:00,21:00,410
7012016,21:00,22:00,313
7012016,22:00,23:00,241
7012016,23:00,00:00,225
8012016,00:00,01:00,227
8012016,01:00,02:00,228
8012016,02:00,03:00,229
8012016,03:00,04:00,227
8012016,04:00,05:00,228
8012016,05:00,06:00,227
8012016,06:00,07:00,233
8012016,07:00,08:00,310
8012016,08:00,09:00,267
8012016,09:00,10:00,243
8012016,10:00,11:00,234
8012016,11:00,12:00,236
8012016,12:00,13:00,259
8012016,13:00,14:00,340
8012016,14:00,15:00,387
8012016,15:00,16:00,471
8012016,16:00,17:00,481
8012016,17:00,18:00,483
8012016,18:00,19:00,482
8012016,19:00,20:00,480
8012016,20:00,21:00,474
8012016,21:00,22:00,448
8012016,22:00,23:00,463
8012016,23:00,00:00,424
9012016,00:00,01:00,352
9012016,01:00,02:00,277
9012016,02:00,03:00,272
9012016,03:00,04:00,272
9012016,04:00,05:00,259
9012016,05:00,06:00,267
9012016,06:00,07:00,271
9012016,07:00,08:00,357
9012016,08:00,09:00,444
9012016,09:00,10:00,423
9012016,10:00,11:00,451
9012016,11:00,12:00,475
9012016,12:00,13:00,448
9012016,13:00,14:00,404
9012016,14:00,15:00,429
9012016,15:00,16:00,407
9012016,16:00,17:00,421
9012016,17:00,18:00,411
9012016,18:00,19:00,457
9012016,19:00,20:00,423
9012016,20:00,21:00,374
9012016,21:00,22:00,290
9012016,22:00,23:00,331
9012016,23:00,00:00,287
10012016,00:00,01:00,262
10012016,01:00,02:00,303
10012016,02:00,03:00,258
10012016,03:00,04:00,250
10012016,04:00,05:00,269
10012016,05:00,06:00,266
10012016,06:00,07:00,251
10012016,07:00,08:00,276
10012016,08:00,09:00,270
10012016,09:00,10:00,259
10012016,10:00,11:00,237
10012016,11:00,12:00,203
10012016,12:00,13:00,197
10012016,13:00,14:00,196
10012016,14:00,15:00,220
10012016,15:00,16:00,324
10012016,16:00,17:00,331
10012016,17:00,18:00,459
10012016,18:00,19:00,477
10012016,19:00,20:00,359
10012016,20:00,21:00,292
10012016,21:00,22:00,284
10012016,22:00,23:00,375
10012016,23:00,00:00,307
11012016,00:00,01:00,281
11012016,01:00,02:00,243
11012016,02:00,03:00,242
11012016,03:00,04:00,316
11012016,04:00,05:00,375
11012016,05:00,06:00,308
11012016,06:00,07:00,391
11012016,07:00,08:00,417
11012016,08:00,09:00,469
11012016,09:00,10:00,482
11012016,10:00,11:00,482
11012016,11:00,12:00,481
11012016,12:00,13:00,479
11012016,13:00,14:00,480
11012016,14:00,15:00,461
11012016,15:00,16:00,457
11012016,16:00,17:00,479
11012016,17:00,18:00,465
11012016,18:00,19:00,480
11012016,19:00,20:00,478
11012016,20:00,21:00,459
11012016,21:00,22:00,432
11012016,22:00,23:00,411
11012016,23:00,00:00,327
12012016,00:00,01:00,245
12012016,01:00,02:00,229
12012016,02:00,03:00,230
12012016,03:00,04:00,234
12012016,04:00,05:00,234
12012016,05:00,06:00,259
12012016,06:00,07:00,380
12012016,07:00,08:00,455
12012016,08:00,09:00,462
12012016,09:00,10:00,475
12012016,10:00,11:00,448
12012016,11:00,12:00,447
12012016,12:00,13:00,342
12012016,13:00,14:00,357
12012016,14:00,15:00,308
12012016,15:00,16:00,336
12012016,16:00,17:00,330
12012016,17:00,18:00,478
12012016,18:00,19:00,463
12012016,19:00,20:00,441
12012016,20:00,21:00,360
12012016,21:00,22:00,285
12012016,22:00,23:00,234
12012016,23:00,00:00,227
13012016,00:00,01:00,248
13012016,01:00,02:00,318
13012016,02:00,03:00,311
13012016,03:00,04:00,285
13012016,04:00,05:00,297
13012016,05:00,06:00,304
13012016,06:00,07:00,341
13012016,07:00,08:00,360
13012016,08:00,09:00,442
13012016,09:00,10:00,480
13012016,10:00,11:00,464
13012016,11:00,12:00,459
13012016,12:00,13:00,447
13012016,13:00,14:00,470
13012016,14:00,15:00,477
13012016,15:00,16:00,480
13012016,16:00,17:00,479
13012016,17:00,18:00,479
13012016,18:00,19:00,480
13012016,19:00,20:00,465
13012016,20:00,21:00,446
13012016,21:00,22:00,386
13012016,22:00,23:00,295
13012016,23:00,00:00,254
14012016,00:00,01:00,238
14012016,01:00,02:00,242
14012016,02:00,03:00,273
14012016,03:00,04:00,287
14012016,04:00,05:00,289
14012016,05:00,06:00,340
14012016,06:00,07:00,385
14012016,07:00,08:00,403
14012016,08:00,09:00,475
14012016,09:00,10:00,462
14012016,10:00,11:00,426
14012016,11:00,12:00,384
14012016,12:00,13:00,411
14012016,13:00,14:00,412
14012016,14:00,15:00,417
14012016,15:00,16:00,430
14012016,16:00,17:00,505
14012016,17:00,18:00,459
14012016,18:00,19:00,474
14012016,19:00,20:00,481
14012016,20:00,21:00,448
14012016,21:00,22:00,389
14012016,22:00,23:00,372
14012016,23:00,00:00,267
15012016,00:00,01:00,247
15012016,01:00,02:00,249
15012016,02:00,03:00,251
15012016,03:00,04:00,251
15012016,04:00,05:00,248
15012016,05:00,06:00,263
15012016,06:00,07:00,325
15012016,07:00,08:00,456
15012016,08:00,09:00,501
15012016,09:00,10:00,508
15012016,10:00,11:00,461
15012016,11:00,12:00,415
15012016,12:00,13:00,423
15012016,13:00,14:00,425
15012016,14:00,15:00,419
15012016,15:00,16:00,476
15012016,16:00,17:00,483
15012016,17:00,18:00,482
15012016,18:00,19:00,478
15012016,19:00,20:00,467
15012016,20:00,21:00,464
15012016,21:00,22:00,471
15012016,22:00,23:00,449
15012016,23:00,00:00,407
16012016,00:00,01:00,347
16012016,01:00,02:00,280
16012016,02:00,03:00,231
16012016,03:00,04:00,176
16012016,04:00,05:00,174
16012016,05:00,06:00,245
16012016,06:00,07:00,248
16012016,07:00,08:00,313
16012016,08:00,09:00,363
16012016,09:00,10:00,449
16012016,10:00,11:00,386
16012016,11:00,12:00,415
16012016,12:00,13:00,441
16012016,13:00,14:00,402
16012016,14:00,15:00,403
16012016,15:00,16:00,402
16012016,16:00,17:00,431
16012016,17:00,18:00,507
16012016,18:00,19:00,506
16012016,19:00,20:00,376
16012016,20:00,21:00,267
16012016,21:00,22:00,224
16012016,22:00,23:00,225
16012016,23:00,00:00,246
17012016,00:00,01:00,240
17012016,01:00,02:00,301
17012016,02:00,03:00,252
17012016,03:00,04:00,297
17012016,04:00,05:00,263
17012016,05:00,06:00,251
17012016,06:00,07:00,236
17012016,07:00,08:00,239
17012016,08:00,09:00,315
17012016,09:00,10:00,402
17012016,10:00,11:00,400
17012016,11:00,12:00,404
17012016,12:00,13:00,400
17012016,13:00,14:00,397
17012016,14:00,15:00,390
17012016,15:00,16:00,391
17012016,16:00,17:00,396
17012016,17:00,18:00,401
17012016,18:00,19:00,424
17012016,19:00,20:00,418
17012016,20:00,21:00,411
17012016,21:00,22:00,425
17012016,22:00,23:00,339
17012016,23:00,00:00,296
18012016,00:00,01:00,258
18012016,01:00,02:00,284
18012016,02:00,03:00,286
18012016,03:00,04:00,452
18012016,04:00,05:00,470
18012016,05:00,06:00,465
18012016,06:00,07:00,479
18012016,07:00,08:00,479
18012016,08:00,09:00,482
18012016,09:00,10:00,478
18012016,10:00,11:00,478
18012016,11:00,12:00,476
18012016,12:00,13:00,476
18012016,13:00,14:00,478
18012016,14:00,15:00,477
18012016,15:00,16:00,476
18012016,16:00,17:00,478
18012016,17:00,18:00,478
18012016,18:00,19:00,475
18012016,19:00,20:00,475
18012016,20:00,21:00,476
18012016,21:00,22:00,473
18012016,22:00,23:00,452
18012016,23:00,00:00,390
19012016,00:00,01:00,390
19012016,01:00,02:00,459
19012016,02:00,03:00,382
19012016,03:00,04:00,303
19012016,04:00,05:00,335
19012016,05:00,06:00,401
19012016,06:00,07:00,481
19012016,07:00,08:00,480
19012016,08:00,09:00,478
19012016,09:00,10:00,477
19012016,10:00,11:00,482
19012016,11:00,12:00,481
19012016,12:00,13:00,478
19012016,13:00,14:00,481
19012016,14:00,15:00,479
19012016,15:00,16:00,483
19012016,16:00,17:00,477
19012016,17:00,18:00,481
19012016,18:00,19:00,485
19012016,19:00,20:00,482
19012016,20:00,21:00,482
19012016,21:00,22:00,472
19012016,22:00,23:00,470
19012016,23:00,00:00,450
20012016,00:00,01:00,453
20012016,01:00,02:00,407
20012016,02:00,03:00,409
20012016,03:00,04:00,413
20012016,04:00,05:00,416
20012016,05:00,06:00,465
20012016,06:00,07:00,481
20012016,07:00,08:00,491
20012016,08:00,09:00,481
20012016,09:00,10:00,475
20012016,10:00,11:00,478
20012016,11:00,12:00,481
20012016,12:00,13:00,479
20012016,13:00,14:00,477
20012016,14:00,15:00,481
20012016,15:00,16:00,482
20012016,16:00,17:00,482
20012016,17:00,18:00,483
20012016,18:00,19:00,477
20012016,19:00,20:00,476
20012016,20:00,21:00,481
20012016,21:00,22:00,478
20012016,22:00,23:00,465
20012016,23:00,00:00,428
21012016,00:00,01:00,416
21012016,01:00,02:00,424
21012016,02:00,03:00,385
21012016,03:00,04:00,439
21012016,04:00,05:00,455
21012016,05:00,06:00,485
21012016,06:00,07:00,481
21012016,07:00,08:00,496
21012016,08:00,09:00,488
21012016,09:00,10:00,482
21012016,10:00,11:00,482
21012016,11:00,12:00,481
21012016,12:00,13:00,484
21012016,13:00,14:00,483
21012016,14:00,15:00,483
21012016,15:00,16:00,482
21012016,16:00,17:00,483
21012016,17:00,18:00,480
21012016,18:00,19:00,480
21012016,19:00,20:00,483
21012016,20:00,21:00,481
21012016,21:00,22:00,480
21012016,22:00,23:00,478
21012016,23:00,00:00,459
22012016,00:00,01:00,464
22012016,01:00,02:00,459
22012016,02:00,03:00,456
22012016,03:00,04:00,435
22012016,04:00,05:00,454
22012016,05:00,06:00,468
22012016,06:00,07:00,482
22012016,07:00,08:00,482
22012016,08:00,09:00,482
22012016,09:00,10:00,480
22012016,10:00,11:00,483
22012016,11:00,12:00,486
22012016,12:00,13:00,485
22012016,13:00,14:00,481
22012016,14:00,15:00,497
22012016,15:00,16:00,500
22012016,16:00,17:00,495
22012016,17:00,18:00,493
22012016,18:00,19:00,441
22012016,19:00,20:00,450
22012016,20:00,21:00,325
22012016,21:00,22:00,220
22012016,22:00,23:00,223
22012016,23:00,00:00,286
23012016,00:00,01:00,413
23012016,01:00,02:00,477
23012016,02:00,03:00,326
23012016,03:00,04:00,274
23012016,04:00,05:00,248
23012016,05:00,06:00,258
23012016,06:00,07:00,234
23012016,07:00,08:00,275
23012016,08:00,09:00,350
23012016,09:00,10:00,427
23012016,10:00,11:00,485
23012016,11:00,12:00,487
23012016,12:00,13:00,470
23012016,13:00,14:00,401
23012016,14:00,15:00,357
23012016,15:00,16:00,410
23012016,16:00,17:00,390
23012016,17:00,18:00,361
23012016,18:00,19:00,449
23012016,19:00,20:00,372
23012016,20:00,21:00,298
23012016,21:00,22:00,270
23012016,22:00,23:00,243
23012016,23:00,00:00,245
24012016,00:00,01:00,245
24012016,01:00,02:00,245
24012016,02:00,03:00,245
24012016,03:00,04:00,339
24012016,04:00,05:00,427
24012016,05:00,06:00,446
24012016,06:00,07:00,392
24012016,07:00,08:00,360
24012016,08:00,09:00,380
24012016,09:00,10:00,412
24012016,10:00,11:00,302
24012016,11:00,12:00,289
24012016,12:00,13:00,351
24012016,13:00,14:00,262
24012016,14:00,15:00,318
24012016,15:00,16:00,306
24012016,16:00,17:00,255
24012016,17:00,18:00,353
24012016,18:00,19:00,443
24012016,19:00,20:00,379
24012016,20:00,21:00,263
24012016,21:00,22:00,243
24012016,22:00,23:00,244
24012016,23:00,00:00,246
25012016,00:00,01:00,310
25012016,01:00,02:00,310
25012016,02:00,03:00,365
25012016,03:00,04:00,287
25012016,04:00,05:00,241
25012016,05:00,06:00,241
25012016,06:00,07:00,373
25012016,07:00,08:00,481
25012016,08:00,09:00,480
25012016,09:00,10:00,479
25012016,10:00,11:00,467
25012016,11:00,12:00,367
25012016,12:00,13:00,360
25012016,13:00,14:00,391
25012016,14:00,15:00,407
25012016,15:00,16:00,418
25012016,16:00,17:00,400
25012016,17:00,18:00,383
25012016,18:00,19:00,464
25012016,19:00,20:00,420
25012016,20:00,21:00,495
25012016,21:00,22:00,497
25012016,22:00,23:00,498
25012016,23:00,00:00,499
26012016,00:00,01:00,498
26012016,01:00,02:00,494
26012016,02:00,03:00,405
26012016,03:00,04:00,402
26012016,04:00,05:00,467
26012016,05:00,06:00,500
26012016,06:00,07:00,501
26012016,07:00,08:00,500
26012016,08:00,09:00,501
26012016,09:00,10:00,499
26012016,10:00,11:00,504
26012016,11:00,12:00,502
26012016,12:00,13:00,499
26012016,13:00,14:00,501
26012016,14:00,15:00,490
26012016,15:00,16:00,462
26012016,16:00,17:00,467
26012016,17:00,18:00,491
26012016,18:00,19:00,481
26012016,19:00,20:00,496
26012016,20:00,21:00,496
26012016,21:00,22:00,497
26012016,22:00,23:00,486
26012016,23:00,00:00,320
27012016,00:00,01:00,213
27012016,01:00,02:00,217
27012016,02:00,03:00,215
27012016,03:00,04:00,217
27012016,04:00,05:00,233
27012016,05:00,06:00,320
27012016,06:00,07:00,474
27012016,07:00,08:00,475
27012016,08:00,09:00,474
27012016,09:00,10:00,435
27012016,10:00,11:00,422
27012016,11:00,12:00,415
27012016,12:00,13:00,242
27012016,13:00,14:00,312
27012016,14:00,15:00,261
27012016,15:00,16:00,229
27012016,16:00,17:00,231
27012016,17:00,18:00,242
27012016,18:00,19:00,447
27012016,19:00,20:00,370
27012016,20:00,21:00,227
27012016,21:00,22:00,225
27012016,22:00,23:00,226
27012016,23:00,00:00,228
28012016,00:00,01:00,225
28012016,01:00,02:00,213
28012016,02:00,03:00,218
28012016,03:00,04:00,215
28012016,04:00,05:00,215
28012016,05:00,06:00,215
28012016,06:00,07:00,253
28012016,07:00,08:00,400
28012016,08:00,09:00,466
28012016,09:00,10:00,456
28012016,10:00,11:00,439
28012016,11:00,12:00,361
28012016,12:00,13:00,439
28012016,13:00,14:00,482
28012016,14:00,15:00,481
28012016,15:00,16:00,483
28012016,16:00,17:00,479
28012016,17:00,18:00,485
28012016,18:00,19:00,482
28012016,19:00,20:00,470
28012016,20:00,21:00,463
28012016,21:00,22:00,264
28012016,22:00,23:00,215
28012016,23:00,00:00,219
29012016,00:00,01:00,221
29012016,01:00,02:00,243
29012016,02:00,03:00,252
29012016,03:00,04:00,231
29012016,04:00,05:00,230
29012016,05:00,06:00,228
29012016,06:00,07:00,229
29012016,07:00,08:00,227
29012016,08:00,09:00,226
29012016,09:00,10:00,228
29012016,10:00,11:00,230
29012016,11:00,12:00,229
29012016,12:00,13:00,229
29012016,13:00,14:00,229
29012016,14:00,15:00,229
29012016,15:00,16:00,229
29012016,16:00,17:00,228
29012016,17:00,18:00,227
29012016,18:00,19:00,227
29012016,19:00,20:00,228
29012016,20:00,21:00,227
29012016,21:00,22:00,228
29012016,22:00,23:00,227
29012016,23:00,00:00,230
30012016,00:00,01:00,276
30012016,01:00,02:00,228
30012016,02:00,03:00,228
30012016,03:00,04:00,228
