date,start,end,11WD2HANN5C---1X,11WD2HANN5C---2V
1012019,00:00,01:00,88,51
1012019,01:00,02:00,76,51
1012019,02:00,03:00,76,50
1012019,03:00,04:00,77,51
1012019,04:00,05:00,80,50
1012019,05:00,06:00,81,49
1012019,06:00,07:00,87,50
1012019,07:00,08:00,82,49
1012019,08:00,09:00,99,51
1012019,09:00,10:00,113,52
1012019,10:00,11:00,114,54
1012019,11:00,12:00,116,56
1012019,12:00,13:00,116,55
1012019,13:00,14:00,114,55
1012019,14:00,15:00,115,50
1012019,15:00,16:00,115,50
1012019,16:00,17:00,118,49
1012019,17:00,18:00,116,49
1012019,18:00,19:00,117,50
1012019,19:00,20:00,118,51
1012019,20:00,21:00,111,51
1012019,21:00,22:00,104,51
1012019,22:00,23:00,100,49
1012019,23:00,00:00,99,51
2012019,00:00,01:00,100,51
2012019,01:00,02:00,103,50
2012019,02:00,03:00,103,50
2012019,03:00,04:00,103,51
2012019,04:00,05:00,105,50
2012019,05:00,06:00,110,49
2012019,06:00,07:00,111,50
2012019,07:00,08:00,115,61
2012019,08:00,09:00,116,59
2012019,09:00,10:00,116,59
2012019,10:00,11:00,117,59
2012019,11:00,12:00,117,59
2012019,12:00,13:00,118,60
2012019,13:00,14:00,118,61
2012019,14:00,15:00,117,61
2012019,15:00,16:00,117,61
2012019,16:00,17:00,117,68
2012019,17:00,18:00,117,75
2012019,18:00,19:00,117,81
2012019,19:00,20:00,117,62
2012019,20:00,21:00,117,61
2012019,21:00,22:00,118,60
2012019,22:00,23:00,117,60
2012019,23:00,00:00,116,60
3012019,00:00,01:00,115,60
3012019,01:00,02:00,116,60
3012019,02:00,03:00,116,61
3012019,03:00,04:00,116,58
3012019,04:00,05:00,116,61
3012019,05:00,06:00,114,59
3012019,06:00,07:00,115,64
3012019,07:00,08:00,115,98
3012019,08:00,09:00,118,108
3012019,09:00,10:00,115,100
3012019,10:00,11:00,118,105
3012019,11:00,12:00,116,126
3012019,12:00,13:00,115,125
3012019,13:00,14:00,115,127
3012019,14:00,15:00,117,126
3012019,15:00,16:00,117,126
3012019,16:00,17:00,118,126
3012019,17:00,18:00,117,125
3012019,18:00,19:00,119,125
3012019,19:00,20:00,115,126
3012019,20:00,21:00,117,126
3012019,21:00,22:00,114,126
3012019,22:00,23:00,113,118
3012019,23:00,00:00,94,83
4012019,00:00,01:00,91,76
4012019,01:00,02:00,89,75
4012019,02:00,03:00,89,75
4012019,03:00,04:00,89,75
4012019,04:00,05:00,89,74
4012019,05:00,06:00,89,75
4012019,06:00,07:00,89,74
4012019,07:00,08:00,90,91
4012019,08:00,09:00,90,107
4012019,09:00,10:00,107,110
4012019,10:00,11:00,114,120
4012019,11:00,12:00,115,121
4012019,12:00,13:00,114,107
4012019,13:00,14:00,114,96
4012019,14:00,15:00,116,101
4012019,15:00,16:00,119,95
4012019,16:00,17:00,118,102
4012019,17:00,18:00,118,118
4012019,18:00,19:00,118,103
4012019,19:00,20:00,109,83
4012019,20:00,21:00,115,61
4012019,21:00,22:00,110,46
4012019,22:00,23:00,111,0
4012019,23:00,00:00,110,0
5012019,00:00,01:00,104,0
5012019,01:00,02:00,103,0
5012019,02:00,03:00,103,0
5012019,03:00,04:00,109,0
5012019,04:00,05:00,111,0
5012019,05:00,06:00,110,0
5012019,06:00,07:00,105,0
5012019,07:00,08:00,106,0
5012019,08:00,09:00,106,0
5012019,09:00,10:00,104,0
5012019,10:00,11:00,105,0
5012019,11:00,12:00,104,0
5012019,12:00,13:00,104,0
5012019,13:00,14:00,105,0
5012019,14:00,15:00,105,0
5012019,15:00,16:00,104,0
5012019,16:00,17:00,106,0
5012019,17:00,18:00,105,0
5012019,18:00,19:00,105,0
5012019,19:00,20:00,104,0
5012019,20:00,21:00,105,0
5012019,21:00,22:00,103,0
5012019,22:00,23:00,105,0
5012019,23:00,00:00,106,0
6012019,00:00,01:00,104,0
6012019,01:00,02:00,104,0
6012019,02:00,03:00,106,0
6012019,03:00,04:00,106,0
6012019,04:00,05:00,105,0
6012019,05:00,06:00,104,0
6012019,06:00,07:00,105,0
6012019,07:00,08:00,106,0
6012019,08:00,09:00,105,0
6012019,09:00,10:00,104,0
6012019,10:00,11:00,104,0
6012019,11:00,12:00,104,0
6012019,12:00,13:00,104,0
6012019,13:00,14:00,105,0
6012019,14:00,15:00,104,0
6012019,15:00,16:00,114,4
6012019,16:00,17:00,115,52
6012019,17:00,18:00,115,78
6012019,18:00,19:00,114,79
6012019,19:00,20:00,115,79
6012019,20:00,21:00,115,71
6012019,21:00,22:00,115,89
6012019,22:00,23:00,115,69
6012019,23:00,00:00,115,61
7012019,00:00,01:00,109,67
7012019,01:00,02:00,105,70
7012019,02:00,03:00,110,64
7012019,03:00,04:00,116,61
7012019,04:00,05:00,114,61
7012019,05:00,06:00,115,65
7012019,06:00,07:00,115,102
7012019,07:00,08:00,117,124
7012019,08:00,09:00,120,127
7012019,09:00,10:00,122,130
7012019,10:00,11:00,122,131
7012019,11:00,12:00,115,131
7012019,12:00,13:00,113,130
7012019,13:00,14:00,126,131
7012019,14:00,15:00,127,131
7012019,15:00,16:00,129,131
7012019,16:00,17:00,129,130
7012019,17:00,18:00,129,130
7012019,18:00,19:00,116,109
7012019,19:00,20:00,115,104
7012019,20:00,21:00,117,92
7012019,21:00,22:00,116,91
7012019,22:00,23:00,111,96
7012019,23:00,00:00,112,83
8012019,00:00,01:00,109,54
8012019,01:00,02:00,109,50
8012019,02:00,03:00,110,51
8012019,03:00,04:00,109,51
8012019,04:00,05:00,109,50
8012019,05:00,06:00,112,54
8012019,06:00,07:00,108,72
8012019,07:00,08:00,110,91
8012019,08:00,09:00,114,101
8012019,09:00,10:00,114,97
8012019,10:00,11:00,114,93
8012019,11:00,12:00,114,95
8012019,12:00,13:00,115,96
8012019,13:00,14:00,114,93
8012019,14:00,15:00,114,92
8012019,15:00,16:00,114,90
8012019,16:00,17:00,113,91
8012019,17:00,18:00,113,97
8012019,18:00,19:00,113,98
8012019,19:00,20:00,114,96
8012019,20:00,21:00,116,95
8012019,21:00,22:00,115,83
8012019,22:00,23:00,114,73
8012019,23:00,00:00,112,66
9012019,00:00,01:00,57,113
9012019,01:00,02:00,34,110
9012019,02:00,03:00,0,110
9012019,03:00,04:00,0,108
9012019,04:00,05:00,0,110
9012019,05:00,06:00,0,110
9012019,06:00,07:00,0,111
9012019,07:00,08:00,0,108
9012019,08:00,09:00,0,108
9012019,09:00,10:00,0,110
9012019,10:00,11:00,0,111
9012019,11:00,12:00,0,110
9012019,12:00,13:00,0,110
9012019,13:00,14:00,0,110
9012019,14:00,15:00,0,111
9012019,15:00,16:00,0,109
9012019,16:00,17:00,0,108
9012019,17:00,18:00,0,108
9012019,18:00,19:00,0,108
9012019,19:00,20:00,0,109
9012019,20:00,21:00,0,109
9012019,21:00,22:00,0,109
9012019,22:00,23:00,0,110
9012019,23:00,00:00,0,111
10012019,00:00,01:00,0,108
10012019,01:00,02:00,0,107
10012019,02:00,03:00,0,106
10012019,03:00,04:00,0,106
10012019,04:00,05:00,0,107
10012019,05:00,06:00,0,107
10012019,06:00,07:00,0,107
10012019,07:00,08:00,0,106
10012019,08:00,09:00,0,105
10012019,09:00,10:00,0,105
10012019,10:00,11:00,0,106
10012019,11:00,12:00,0,107
10012019,12:00,13:00,0,108
10012019,13:00,14:00,0,108
10012019,14:00,15:00,0,108
