date,start,end,11WD2S2610001015,11WD2S262000102W,11WD2S260000100F
1012019,00:00,01:00,79,0,28
1012019,01:00,02:00,68,0,27
1012019,02:00,03:00,63,0,0
1012019,03:00,04:00,66,0,0
1012019,04:00,05:00,73,0,0
1012019,05:00,06:00,69,0,0
1012019,06:00,07:00,71,0,0
1012019,07:00,08:00,73,0,0
1012019,08:00,09:00,62,0,0
1012019,09:00,10:00,62,0,0
1012019,10:00,11:00,61,0,0
1012019,11:00,12:00,61,0,0
1012019,12:00,13:00,66,0,0
1012019,13:00,14:00,65,0,0
1012019,14:00,15:00,69,0,0
1012019,15:00,16:00,70,0,0
1012019,16:00,17:00,69,0,0
1012019,17:00,18:00,69,0,0
1012019,18:00,19:00,69,0,0
1012019,19:00,20:00,69,0,0
1012019,20:00,21:00,69,0,0
1012019,21:00,22:00,69,0,0
1012019,22:00,23:00,80,0,0
1012019,23:00,00:00,65,0,0
2012019,00:00,01:00,58,0,0
2012019,01:00,02:00,60,0,0
2012019,02:00,03:00,61,0,0
2012019,03:00,04:00,59,0,0
2012019,04:00,05:00,65,0,0
2012019,05:00,06:00,70,0,12
2012019,06:00,07:00,72,0,28
2012019,07:00,08:00,75,47,42
2012019,08:00,09:00,106,102,85
2012019,09:00,10:00,106,98,81
2012019,10:00,11:00,106,95,81
2012019,11:00,12:00,107,96,84
2012019,12:00,13:00,108,97,87
2012019,13:00,14:00,111,103,93
2012019,14:00,15:00,110,107,74
2012019,15:00,16:00,111,102,59
2012019,16:00,17:00,110,106,79
2012019,17:00,18:00,111,109,89
2012019,18:00,19:00,112,109,90
2012019,19:00,20:00,112,107,99
2012019,20:00,21:00,113,112,100
2012019,21:00,22:00,113,114,93
2012019,22:00,23:00,106,105,89
2012019,23:00,00:00,96,94,75
3012019,00:00,01:00,98,97,73
3012019,01:00,02:00,95,94,72
3012019,02:00,03:00,95,94,71
3012019,03:00,04:00,95,93,71
3012019,04:00,05:00,111,110,79
3012019,05:00,06:00,113,111,97
3012019,06:00,07:00,113,111,105
3012019,07:00,08:00,112,109,103
3012019,08:00,09:00,110,108,98
3012019,09:00,10:00,109,107,96
3012019,10:00,11:00,109,107,96
3012019,11:00,12:00,109,107,94
3012019,12:00,13:00,109,107,94
3012019,13:00,14:00,110,110,99
3012019,14:00,15:00,111,111,101
3012019,15:00,16:00,113,113,104
3012019,16:00,17:00,113,113,109
3012019,17:00,18:00,113,113,114
3012019,18:00,19:00,113,113,111
3012019,19:00,20:00,113,113,106
3012019,20:00,21:00,113,113,92
3012019,21:00,22:00,113,114,83
3012019,22:00,23:00,113,113,100
3012019,23:00,00:00,113,113,90
4012019,00:00,01:00,105,104,79
4012019,01:00,02:00,99,97,77
4012019,02:00,03:00,99,97,77
4012019,03:00,04:00,102,101,83
4012019,04:00,05:00,113,111,100
4012019,05:00,06:00,114,112,104
4012019,06:00,07:00,112,110,99
4012019,07:00,08:00,110,108,96
