date,start,end,11WD8WED15C---2K,11WD8WED15C---1M
28122020,00:00,01:00,,
28122020,01:00,02:00,,
28122020,02:00,03:00,,
28122020,03:00,04:00,,
28122020,04:00,05:00,,
28122020,05:00,06:00,,
28122020,06:00,07:00,,
28122020,07:00,08:00,,
28122020,08:00,09:00,,
28122020,09:00,10:00,,
28122020,10:00,11:00,,
28122020,11:00,12:00,,
28122020,12:00,13:00,,
28122020,13:00,14:00,,
28122020,14:00,15:00,,
28122020,15:00,16:00,,
28122020,16:00,17:00,,
28122020,17:00,18:00,,
28122020,18:00,19:00,,
28122020,19:00,20:00,,
28122020,20:00,21:00,,
28122020,21:00,22:00,,
28122020,22:00,23:00,,
28122020,23:00,00:00,,
29122020,00:00,01:00,,
29122020,01:00,02:00,,
29122020,02:00,03:00,,
29122020,03:00,04:00,,
29122020,04:00,05:00,,
29122020,05:00,06:00,,
29122020,06:00,07:00,,
29122020,07:00,08:00,,
29122020,08:00,09:00,,
29122020,09:00,10:00,,
29122020,10:00,11:00,,
29122020,11:00,12:00,,
29122020,12:00,13:00,,
29122020,13:00,14:00,,
29122020,14:00,15:00,,
29122020,15:00,16:00,,
29122020,16:00,17:00,,
29122020,17:00,18:00,,
29122020,18:00,19:00,,
29122020,19:00,20:00,,
29122020,20:00,21:00,,
29122020,21:00,22:00,,
29122020,22:00,23:00,,
29122020,23:00,00:00,,
30122020,00:00,01:00,,
30122020,01:00,02:00,,
30122020,02:00,03:00,,
30122020,03:00,04:00,,
30122020,04:00,05:00,,
30122020,05:00,06:00,,
30122020,06:00,07:00,,
30122020,07:00,08:00,,
30122020,08:00,09:00,,
30122020,09:00,10:00,,
30122020,10:00,11:00,,
30122020,11:00,12:00,,
30122020,12:00,13:00,,
30122020,13:00,14:00,,
30122020,14:00,15:00,,
30122020,15:00,16:00,,
30122020,16:00,17:00,,
30122020,17:00,18:00,,
30122020,18:00,19:00,,
30122020,19:00,20:00,,
30122020,20:00,21:00,,
30122020,21:00,22:00,,
30122020,22:00,23:00,,
30122020,23:00,00:00,,
31122020,00:00,01:00,,
31122020,01:00,02:00,,
31122020,02:00,03:00,,
31122020,03:00,04:00,,
31122020,04:00,05:00,,
31122020,05:00,06:00,,
31122020,06:00,07:00,,
31122020,07:00,08:00,,
31122020,08:00,09:00,,
31122020,09:00,10:00,,
31122020,10:00,11:00,,
31122020,11:00,12:00,,
31122020,12:00,13:00,,
31122020,13:00,14:00,,
31122020,14:00,15:00,,
31122020,15:00,16:00,,
31122020,16:00,17:00,,
31122020,17:00,18:00,,
31122020,18:00,19:00,,
31122020,19:00,20:00,,
31122020,20:00,21:00,,
31122020,21:00,22:00,,
31122020,22:00,23:00,,
31122020,23:00,00:00,,
