date,start,end,11WD7WEIS5B--E-Y,11WD7WEIS5GVGTGU,11WD7WEIS5GVGTHS,11WD7WEIS1B--F-M,11WD7WEIS1B--G-J,11WD7WEIS1B--H-G
1012016,00:00,01:00,324.0,0.0,0.0,319.0,653.0,651.0
1012016,01:00,02:00,321.0,0.0,0.0,319.0,653.0,651.0
1012016,02:00,03:00,324.0,0.0,0.0,319.0,655.0,652.0
1012016,03:00,04:00,323.0,0.0,0.0,320.0,655.0,653.0
1012016,04:00,05:00,322.0,0.0,0.0,319.0,653.0,652.0
1012016,05:00,06:00,324.0,0.0,0.0,320.0,654.0,652.0
1012016,06:00,07:00,321.0,0.0,0.0,320.0,654.0,652.0
1012016,07:00,08:00,323.0,0.0,0.0,320.0,654.0,652.0
1012016,08:00,09:00,324.0,0.0,0.0,319.0,654.0,652.0
1012016,09:00,10:00,324.0,0.0,0.0,319.0,652.0,652.0
1012016,10:00,11:00,323.0,0.0,0.0,319.0,653.0,651.0
1012016,11:00,12:00,322.0,0.0,0.0,319.0,653.0,652.0
1012016,12:00,13:00,323.0,0.0,0.0,319.0,653.0,652.0
1012016,13:00,14:00,323.0,0.0,0.0,319.0,653.0,652.0
1012016,14:00,15:00,322.0,0.0,0.0,319.0,652.0,652.0
1012016,15:00,16:00,324.0,0.0,0.0,320.0,653.0,651.0
1012016,16:00,17:00,324.0,0.0,0.0,320.0,653.0,652.0
1012016,17:00,18:00,322.0,0.0,0.0,319.0,653.0,652.0
1012016,18:00,19:00,325.0,0.0,0.0,319.0,656.0,652.0
1012016,19:00,20:00,323.0,0.0,0.0,320.0,652.0,652.0
1012016,20:00,21:00,324.0,0.0,0.0,319.0,653.0,650.0
1012016,21:00,22:00,323.0,0.0,0.0,320.0,654.0,652.0
1012016,22:00,23:00,323.0,0.0,0.0,320.0,654.0,652.0
1012016,23:00,00:00,326.0,0.0,0.0,319.0,654.0,652.0
2012016,00:00,01:00,325.0,0.0,0.0,319.0,654.0,651.0
2012016,01:00,02:00,323.0,0.0,0.0,319.0,617.0,614.0
2012016,02:00,03:00,326.0,0.0,0.0,319.0,299.0,325.0
2012016,03:00,04:00,245.0,0.0,0.0,259.0,247.0,255.0
2012016,04:00,05:00,197.0,0.0,0.0,247.0,249.0,254.0
2012016,05:00,06:00,190.0,0.0,0.0,237.0,248.0,266.0
2012016,06:00,07:00,170.0,0.0,0.0,209.0,248.0,267.0
2012016,07:00,08:00,171.0,0.0,0.0,212.0,247.0,267.0
2012016,08:00,09:00,196.0,0.0,0.0,232.0,333.0,353.0
2012016,09:00,10:00,309.0,0.0,0.0,297.0,640.0,629.0
2012016,10:00,11:00,324.0,0.0,0.0,315.0,653.0,650.0
2012016,11:00,12:00,321.0,0.0,0.0,319.0,655.0,650.0
2012016,12:00,13:00,323.0,0.0,0.0,319.0,654.0,651.0
2012016,13:00,14:00,321.0,0.0,0.0,319.0,654.0,651.0
2012016,14:00,15:00,323.0,0.0,0.0,319.0,654.0,651.0
2012016,15:00,16:00,320.0,0.0,0.0,319.0,656.0,651.0
2012016,16:00,17:00,322.0,0.0,0.0,319.0,653.0,652.0
2012016,17:00,18:00,321.0,0.0,0.0,319.0,653.0,651.0
2012016,18:00,19:00,323.0,0.0,0.0,319.0,655.0,651.0
2012016,19:00,20:00,323.0,0.0,0.0,319.0,653.0,651.0
2012016,20:00,21:00,320.0,0.0,0.0,319.0,655.0,652.0
2012016,21:00,22:00,322.0,0.0,0.0,319.0,654.0,651.0
2012016,22:00,23:00,322.0,0.0,0.0,319.0,654.0,652.0
2012016,23:00,00:00,324.0,0.0,0.0,318.0,639.0,637.0
3012016,00:00,01:00,322.0,0.0,0.0,319.0,373.0,379.0
3012016,01:00,02:00,323.0,0.0,0.0,318.0,248.0,288.0
3012016,02:00,03:00,313.0,0.0,0.0,317.0,249.0,287.0
3012016,03:00,04:00,215.0,0.0,0.0,318.0,249.0,287.0
