Timestamp,11WD7WEIS5B--E-Y,11WD7WEIS5GVGTGU,11WD7WEIS5GVGTHS,11WD7WEIS1B--F-M,11WD7WEIS1B--G-J,11WD7WEIS1B--H-G
2020-01-01 00:00:00,309,0,0,0,0,636
2020-01-01 01:00:00,305,0,0,0,0,635
2020-01-01 02:00:00,218,0,0,0,0,634
2020-01-01 03:00:00,192,0,0,0,0,629
2020-01-01 04:00:00,194,0,0,0,0,630
2020-01-01 05:00:00,192,0,0,0,0,630
2020-01-01 06:00:00,193,0,0,0,0,604
2020-01-01 07:00:00,193,0,0,0,0,562
2020-01-01 08:00:00,193,0,0,0,0,553
2020-01-01 09:00:00,193,0,0,0,0,621
2020-01-01 10:00:00,194,0,0,0,0,620
2020-01-01 11:00:00,194,0,0,0,0,421
2020-01-01 12:00:00,193,0,0,0,0,319
2020-01-01 13:00:00,193,0,0,0,0,322
2020-01-01 14:00:00,193,0,0,0,0,496
2020-01-01 15:00:00,193,0,0,0,0,630
2020-01-01 16:00:00,252,0,0,0,0,619
2020-01-01 17:00:00,306,0,0,0,0,628
2020-01-01 18:00:00,300,0,0,0,0,629
2020-01-01 19:00:00,307,0,0,0,0,630
2020-01-01 20:00:00,306,0,0,0,0,629
2020-01-01 21:00:00,307,0,0,0,0,633
2020-01-01 22:00:00,306,0,0,0,0,630
2020-01-01 23:00:00,306,0,0,0,0,631
2020-01-02 00:00:00,304,0,0,0,0,612
2020-01-02 01:00:00,304,0,0,0,0,610
2020-01-02 02:00:00,265,0,0,0,0,489
2020-01-02 03:00:00,194,0,0,0,0,557
2020-01-02 04:00:00,195,0,0,0,0,630
2020-01-02 05:00:00,201,0,0,0,0,633
2020-01-02 06:00:00,292,0,0,0,0,630
2020-01-02 07:00:00,308,0,137,0,0,643
2020-01-02 08:00:00,309,0,201,0,0,639
2020-01-02 09:00:00,308,0,201,0,0,641
2020-01-02 10:00:00,304,0,202,0,0,641
2020-01-02 11:00:00,305,0,200,0,0,640
2020-01-02 12:00:00,304,0,198,0,0,640
2020-01-02 13:00:00,306,0,196,0,0,639
2020-01-02 14:00:00,305,0,196,0,0,638
2020-01-02 15:00:00,307,0,194,0,0,644
2020-01-02 16:00:00,313,0,193,0,0,642
2020-01-02 17:00:00,316,0,194,0,0,642
2020-01-02 18:00:00,318,0,194,0,0,643
2020-01-02 19:00:00,314,0,194,0,0,645
2020-01-02 20:00:00,317,0,161,0,0,618
2020-01-02 21:00:00,268,0,0,0,0,596
2020-01-02 22:00:00,193,0,0,0,0,517
2020-01-02 23:00:00,189,0,0,0,0,337
2020-01-03 00:00:00,190,0,0,0,0,263
2020-01-03 01:00:00,192,0,0,0,0,253
2020-01-03 02:00:00,192,0,0,0,0,252
2020-01-03 03:00:00,193,0,0,0,0,294
2020-01-03 04:00:00,192,0,0,0,0,294
2020-01-03 05:00:00,190,0,0,0,0,293
2020-01-03 06:00:00,191,0,0,0,0,291
2020-01-03 07:00:00,192,0,0,0,0,292
2020-01-03 08:00:00,193,0,0,0,0,293
2020-01-03 09:00:00,192,0,0,0,0,279
2020-01-03 10:00:00,191,0,0,0,0,277
2020-01-03 11:00:00,191,0,0,0,0,318
2020-01-03 12:00:00,194,0,0,0,0,594
2020-01-03 13:00:00,194,0,0,0,0,651
2020-01-03 14:00:00,192,0,0,0,0,654
2020-01-03 15:00:00,194,0,0,0,0,654
2020-01-03 16:00:00,194,0,0,0,0,648
2020-01-03 17:00:00,193,0,0,0,0,591
2020-01-03 18:00:00,193,0,0,0,0,432
2020-01-03 19:00:00,190,0,0,0,0,273
2020-01-03 20:00:00,192,0,0,0,0,290
2020-01-03 21:00:00,192,0,0,0,0,303
2020-01-03 22:00:00,190,0,0,0,0,305
2020-01-03 23:00:00,194,0,0,0,0,294
